Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
alex ferrari,Cremonese,1994,16,13,1007,0,0,3,0,2,27,5,2022-2023,serie-a
salvador ferrer,Spezia,1998,5,0,136,0,0,0,0,0,1,2,2022-2023,serie-a
vincenzo fiorillo,Salernitana,1990,1,1,90,0,0,0,0,0,0,0,2022-2023,serie-a
alessandro florenzi,Milan,1991,6,2,203,0,0,1,0,1,10,19,2022-2023,serie-a
davide frattesi,Sassuolo,1999,36,35,2873,7,0,4,0,73,137,94,2022-2023,serie-a
matteo gabbia,Milan,1999,12,6,613,0,0,2,0,1,15,1,2022-2023,serie-a
manolo gabbiadini,Sampdoria,1991,35,27,2354,7,2,6,0,32,55,111,2022-2023,serie-a
gianluca gaetano,Napoli,2000,8,0,76,1,1,0,0,4,4,9,2022-2023,serie-a
roberto gagliardini,Inter,1994,19,7,783,0,0,5,1,20,39,22,2022-2023,serie-a
adolfo gaich,Hellas Verona,1999,16,8,726,2,0,2,0,6,11,33,2022-2023,serie-a
pablo galdames millan,Cremonese,1996,13,10,734,1,2,2,0,5,33,17,2022-2023,serie-a
antonino gallo,Lecce,2000,32,28,2486,0,1,5,1,71,154,65,2022-2023,serie-a
federico gatti,Juventus,1998,18,16,1448,0,0,4,0,18,56,13,2022-2023,serie-a
valentin gendrey,Lecce,2000,37,35,3101,0,2,4,0,47,112,107,2022-2023,serie-a
paolo ghiglione,Cremonese,1997,15,8,711,1,1,4,0,5,19,35,2022-2023,serie-a
mario gila,Lazio,2000,4,0,90,0,0,0,0,1,6,2,2022-2023,serie-a
gvidas gineitis,Torino,2004,3,2,136,0,0,2,0,3,6,7,2022-2023,serie-a
olivier giroud,Milan,1986,33,25,2139,13,5,8,1,12,36,152,2022-2023,serie-a
pierluigi gollini,Fiorentina,1995,3,3,270,0,0,0,0,0,0,0,2022-2023,serie-a
pierluigi gollini,Napoli,1995,4,4,360,0,0,0,0,0,0,0,2022-2023,serie-a
joan gonzalez,Lecce,2002,35,26,2197,1,3,8,0,18,71,67,2022-2023,serie-a
nicolas gonzalez,Fiorentina,1998,24,13,1354,6,1,3,0,37,70,112,2022-2023,serie-a
robin gosens,Inter,1994,32,11,1184,3,0,2,0,29,41,102,2022-2023,serie-a
alberto grassi,Empoli,1995,25,14,1194,0,0,3,0,5,50,10,2022-2023,serie-a
andrew gravillon,Torino,1998,7,4,312,0,0,2,0,1,9,0,2022-2023,serie-a
axel guessand,Udinese,2004,1,1,79,0,0,0,0,0,0,0,2022-2023,serie-a
koray gunter,Hellas Verona,1994,13,11,1003,1,0,3,0,7,36,3,2022-2023,serie-a
koray gunter,Sampdoria,1994,10,8,776,0,0,2,0,4,21,2,2022-2023,serie-a
emmanuel gyasi,Spezia,1994,35,35,2810,2,0,10,0,35,52,154,2022-2023,serie-a
norbert gyomber,Salernitana,1992,27,23,1740,0,1,5,0,5,45,2,2022-2023,serie-a
christian gytkjr,Monza,1990,22,3,559,1,0,0,0,1,6,32,2022-2023,serie-a
nicolas haas,Empoli,1996,24,12,1156,1,1,2,0,10,36,23,2022-2023,serie-a
samir handanovic,Inter,1984,14,14,1234,0,0,0,0,0,0,0,2022-2023,serie-a
abdou harroui,Sassuolo,1998,23,5,647,2,0,2,0,21,36,32,2022-2023,serie-a
hans hateboer,Atalanta,1994,17,17,1397,1,1,7,0,16,55,73,2022-2023,serie-a
liam henderson,Empoli,1996,25,11,1007,0,1,9,0,11,38,38,2022-2023,serie-a
jack hendry,Cremonese,1995,4,2,220,0,0,1,0,1,9,0,2022-2023,serie-a
matheus henrique,Sassuolo,1997,30,21,1947,4,1,4,0,40,116,68,2022-2023,serie-a
thomas henry,Hellas Verona,1994,16,13,1030,2,0,4,0,3,18,58,2022-2023,serie-a
theo hernandez,Milan,1997,32,32,2771,4,3,7,0,108,128,146,2022-2023,serie-a
isak hien,Hellas Verona,1999,32,28,2607,0,0,9,0,17,54,2,2022-2023,serie-a
morten hjulmand,Lecce,1999,35,34,2962,0,4,9,1,9,159,16,2022-2023,serie-a
emil holm,Spezia,2000,20,17,1393,1,1,4,0,41,40,82,2022-2023,serie-a
martin hongla,Hellas Verona,1998,9,6,523,0,0,4,0,6,24,10,2022-2023,serie-a
petko hristov,Spezia,1999,9,4,365,0,0,0,0,2,8,3,2022-2023,serie-a
ajdin hrustic,Hellas Verona,1996,6,3,226,0,0,0,0,7,8,12,2022-2023,serie-a
elseid hysaj,Lazio,1994,34,22,1998,1,1,3,0,36,103,60,2022-2023,serie-a
rasmus hjlund,Atalanta,2003,32,20,1834,9,2,1,0,40,37,224,2022-2023,serie-a
roger ibanez,Roma,1998,33,32,2796,3,0,11,1,24,77,9,2022-2023,serie-a
zlatan ibrahimovic,Milan,1981,4,1,146,1,0,0,0,0,4,10,2022-2023,serie-a
antonio iervolino,Salernitana,2003,1,0,5,0,0,0,0,0,2,2,2022-2023,serie-a
igor,Fiorentina,1998,27,23,2057,0,0,10,1,19,76,2,2022-2023,serie-a
jonathan ikone,Fiorentina,1998,33,24,2007,4,4,4,0,83,67,178,2022-2023,serie-a
ivan ilic,Hellas Verona,2001,11,10,851,0,1,1,0,18,39,20,2022-2023,serie-a
ivan ilic,Torino,2001,14,13,1177,2,2,3,0,29,66,28,2022-2023,serie-a
samuel ilingjunior,Juventus,2003,12,1,318,1,1,1,0,11,18,36,2022-2023,serie-a
emirhan ilkhan,Torino,2004,4,1,87,0,0,1,0,2,8,3,2022-2023,serie-a
emirhan ilkhan,Sampdoria,2004,8,0,113,0,0,0,0,1,5,8,2022-2023,serie-a
ciro immobile,Lazio,1990,31,27,2219,12,5,3,0,40,43,174,2022-2023,serie-a
ardian ismajli,Empoli,1996,25,22,2094,0,0,3,0,10,42,0,2022-2023,serie-a
mihailo ivanovic,Sampdoria,2004,1,0,4,0,0,0,0,0,0,0,2022-2023,serie-a
armando izzo,Monza,1992,30,29,2466,1,0,10,0,22,96,29,2022-2023,serie-a
mato jajalo,Udinese,1988,3,0,63,0,0,0,0,0,4,1,2022-2023,serie-a
jese,Sampdoria,1993,11,1,210,1,1,0,0,1,1,15,2022-2023,serie-a
juan jesus,Napoli,1991,15,10,933,1,0,2,0,14,55,3,2022-2023,serie-a
orir johann helgason,Lecce,2000,12,2,222,0,0,0,0,2,2,5,2022-2023,serie-a
luka jovic,Fiorentina,1997,31,16,1534,6,3,3,0,8,28,75,2022-2023,serie-a
hamed junior traore,Sassuolo,2000,11,6,591,0,3,1,0,14,26,36,2022-2023,serie-a
yayah kallon,Hellas Verona,2001,22,8,860,1,1,1,0,33,22,64,2022-2023,serie-a
pierre kalulu,Milan,2000,34,26,2548,1,0,4,0,52,138,43,2022-2023,serie-a
yann karamoh,Torino,1998,21,7,716,4,0,2,0,27,12,74,2022-2023,serie-a
rick karsdorp,Roma,1995,13,8,711,0,0,0,0,16,24,33,2022-2023,serie-a
denso kasius,Bologna,2002,7,4,342,0,2,1,0,9,9,21,2022-2023,serie-a
grigoris kastanos,Salernitana,1998,28,13,1286,2,1,4,0,27,57,59,2022-2023,serie-a
moise kean,Juventus,2000,28,11,995,6,0,5,1,30,13,76,2022-2023,serie-a
jakub kiwior,Spezia,2000,17,17,1443,0,0,3,0,13,37,6,2022-2023,serie-a
simon kjr,Milan,1989,17,12,1007,0,0,4,0,3,45,1,2022-2023,serie-a
teun koopmeiners,Atalanta,1998,33,32,2858,10,4,7,0,60,186,106,2022-2023,serie-a
filip kostic,Juventus,1992,37,33,2564,3,8,3,0,101,78,230,2022-2023,serie-a
christian kouame,Fiorentina,1997,28,22,1866,4,4,5,0,50,54,203,2022-2023,serie-a
viktor kovalenko,Spezia,1996,18,7,548,0,0,1,0,4,22,28,2022-2023,serie-a
