nombre,club_actual,temporada,liga,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,altura,valor,xG_xA_por_90,eficiencia_gol,asistencias_esperadas_por_90
mislav orsic,premier-league,2022-2023,premier-league,MF,1992,1,0,7.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,1,0,0,,1,1,0,0,0,,,0.0,,0.0
moanes dabbur,bundesliga,2022-2023,bundesliga,FW,1992,21,8,933.0,6.0,2.0,3,1,10,33,61,,,,,,,4,5,2,33.3,11,8,8,0,8,,,,,
mohamed camara,serie-a,2022-2023,serie-a,MF,1997,15,8,696.0,0.0,0.0,3,0,13,30,14,,,,,,,3,7,3,33.3,13,10,5,1,4,,,,,
mohamed elyounoussi,premier-league,2022-2023,premier-league,"MF,FW",1994,33,27,2168.0,1.0,1.0,4,0,56,50,98,3.0692358,1.8251841,3.0692358,18,7.860458409413695,4.556406237185001,22,20,4,43.2,46,28,40,3,37,,,0.2,0.3258140021197349,0.08
mohammed amoura,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,10.863603,4.3084507,9.348049,35,16.025755416601896,5.196772448718548,,,,,,,,,,,,,,
mohammed salisu,premier-league,2022-2023,premier-league,DF,1999,22,21,1973.0,0.0,1.0,5,0,5,82,4,1.6058198,0.61157393,1.6058198,7,5.882307862862945,5.379752596840262,34,16,2,70.6,52,29,56,25,31,,,0.1,0.0,0.03
monchu,laliga,2022-2023,laliga,MF,1999,33,23,2031.0,3.0,2.0,10,0,17,111,25,2.3767002,2.798762,2.3767002,25,6.02782881911844,3.670932489447296,20,21,9,41.3,50,29,28,11,17,,,0.23,1.2622542998251611,0.12
morgan gibbswhite,premier-league,2024-2025,premier-league,MF,2000,34,34,2803.0,7.0,8.0,11,1,69,164,136,6.1403046,6.105839,6.1403046,51,17.928511697798967,10.13072724826634,14,23,6,51.5,43,22,18,5,13,,,0.39,1.1400085981745032,0.2
moritz broschinski,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,4.3421917,2.2623973,4.3421917,11,8.05997022241354,1.6537080090492964,,,,,,,,,,,,,,
moritz nicolas,bundesliga,2023-2024,bundesliga,GK,1997,27,27,2430.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0,0,3.909672226756811,3.909672226756811,1,0,0,33.3,1,0,0,0,0,,,0.0,,0.0
moritzbroni kwarteng,bundesliga,2023-2024,bundesliga,FW,1998,11,2,281.0,0.0,1.0,1,1,8,6,24,1.7395308,0.37390056,1.7395308,4,1.8945809453725813,0.6347060203552246,0,3,0,14.3,3,0,4,0,4,,,0.68,0.0,0.12
morten hjulmand,serie-a,2022-2023,serie-a,MF,1999,35,34,2962.0,0.0,4.0,9,1,9,159,16,0.49127278,1.7949368,0.49127278,25,7.871476680040359,6.6831129267811775,49,40,1,55.2,90,52,43,11,32,,,0.07,0.0,0.05
mykhailo mudryk,premier-league,2024-2025,premier-league,FW,2001,7,1,151.0,0.0,0.0,0,0,7,5,12,0.12253074,1.0799011,0.12253074,2,1.4741904512047768,0.2717585638165474,2,0,0,,2,2,3,1,2,1.75,,0.72,0.0,0.64
myron boadu,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,8.229468,1.6477083,7.4716916,11,10.03551159799099,1.1547716669738293,,,,,,,,,,,,,,
myziane maolida,bundesliga,2022-2023,bundesliga,"FW,MF",1999,3,1,95.0,0.0,0.0,0,0,1,0,9,0.0,0.137279,0.0,1,0.1372790038585662,0.0,1,0,0,50.0,1,1,0,0,0,,,0.13,,0.13
nabil fekir,laliga,2023-2024,laliga,"MF,FW",1993,19,10,1049.0,1.0,2.0,1,0,32,67,77,2.299122,2.2748833,2.299122,30,4.824952717870474,2.524621143937111,5,7,3,50.0,15,10,9,0,9,,,0.39,0.4349486276208448,0.2
nampalys mendy,premier-league,2022-2023,premier-league,MF,1992,19,7,757.0,1.0,0.0,1,0,2,28,4,0.0925477,0.02725802,0.0925477,2,2.870108552277088,2.802908446639776,7,6,0,53.3,13,9,20,4,16,,,0.01,10.805238834276775,0.0
nathan broadhead,premier-league,2024-2025,premier-league,"MF,FW",1998,18,7,702.0,2.0,0.0,1,0,20,14,33,1.8282658,0.83857465,1.8282658,7,4.232192199677229,2.159004925750196,3,6,0,25.0,9,4,8,1,7,,,0.34,1.0939328488932198,0.11
nathan redmond,premier-league,2022-2023,premier-league,DF,1994,1,0,1.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0,0,0,0,,,0.0,,0.0
nathan woodgordon,premier-league,2024-2025,premier-league,DF,2002,11,9,773.0,0.0,0.0,2,0,2,17,0,0.29378557,0.021479303,0.29378557,1,2.371581122279167,2.3501018211245537,8,5,1,72.7,14,8,9,6,3,,,0.04,0.0,0.0
nathaniel brown,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,2.4949195,6.540988,2.4949195,39,11.759051386266949,6.8294026125222445,,,,,,,,,,,,,,
nemanja maksimovic,laliga,2022-2023,laliga,MF,1995,29,26,2053.0,0.0,0.0,3,0,13,42,29,2.1963494,0.44953823,2.1963494,10,5.5006568767130375,3.0556418485939503,17,18,6,59.4,41,30,36,14,22,,,0.12,0.0,0.02
nianzou kouassi,laliga,2022-2023,laliga,,,,,,,,,,,,,0.3527459,0.0168818,0.3527459,1,1.5653829770162702,1.548500974662602,,,,,,,,,,,,,,
niccolo pisilli,serie-a,2022-2023,serie-a,MF,2004,1,0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0,0,0,0,,,0.0,,0.0
nicholas pierini,serie-a,2024-2025,serie-a,MF,1998,2,0,83.0,0.0,0.0,0,0,1,2,4,0.039100714,0.06792364,0.039100714,2,0.1263615116477012,0.092625506222248,0,0,0,0.0,0,0,2,0,2,,,0.12,0.0,0.07
nicholas pierini,serie-a,2024-2025,serie-a,MF,1998,2,0,83.0,0.0,0.0,0,0,1,2,4,0.039100714,0.06792364,0.039100714,2,0.1263615116477012,0.092625506222248,0,0,0,0.0,0,0,2,0,2,,,0.12,0.0,0.07
nico elvedi,bundesliga,2023-2024,bundesliga,DF,1996,30,28,2482.0,2.0,1.0,5,0,37,109,6,1.9831135,0.10356853,1.9831135,3,8.107086041942239,7.5018914844840765,22,10,1,75.0,33,18,40,25,15,,,0.08,1.0085151316198395,0.0
nicola murru,serie-a,2022-2023,serie-a,DF,1994,20,5,784.0,0.0,0.0,3,0,7,27,13,0.0270106,0.08006621,0.0270106,2,0.8131302823312581,0.7330644689500332,15,8,1,53.8,24,14,17,7,10,,,0.01,0.0,0.01
nicolas haas,serie-a,2023-2024,serie-a,MF,1996,1,1,90.0,0.0,0.0,1,0,0,6,4,0.06858255,0.0,0.06858255,0,0.1952812671661377,0.1266987174749374,1,2,2,100.0,5,3,1,0,1,,,0.07,0.0,0.0
nicolas paz,serie-a,2024-2025,serie-a,"MF,FW",2004,35,30,2687.0,6.0,8.0,6,0,77,163,171,,,,,,,18,26,7,47.1,51,33,49,3,46,,,,,
nicolas paz,serie-a,2024-2025,serie-a,"MF,FW",2004,35,30,2687.0,6.0,8.0,6,0,77,163,171,,,,,,,18,26,7,47.1,51,33,49,3,46,,,,,
nicolo cambiaghi,serie-a,2023-2024,serie-a,"FW,MF",2000,37,29,2553.0,1.0,1.0,3,0,128,63,197,4.165543,2.8089519,4.165543,31,9.30418773368001,3.278561648912728,15,20,16,45.7,51,39,26,1,25,,,0.25,0.24006473608472378,0.1
niels nkounkou,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,0.4677811,1.2774153,0.4677811,9,2.973861999809742,1.4079697281122208,,,,,,,,,,,,,,
nnamdi collins,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,1.0886548,0.9670564,1.0886548,2,6.908555801957846,6.240201342850924,,,,,,,,,,,,,,
norbert gyomber,serie-a,2022-2023,serie-a,DF,1992,27,23,1740.0,0.0,1.0,5,0,5,45,2,0.7806355,0.52993155,0.7806355,3,3.316725486889481,3.144677074626088,25,6,1,66.7,32,23,33,22,11,,,0.07,0.0,0.03
norbert gyomber,serie-a,2023-2024,serie-a,DF,1992,22,20,1760.0,0.0,0.0,9,0,4,42,2,0.14693151,0.13023838,0.14693151,5,2.5037967041134834,2.309079956263304,30,6,0,76.9,36,18,33,23,10,,,0.01,0.0,0.01
nuha jatta,bundesliga,2023-2024,bundesliga,FW,2006,1,0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0,0,0,0,1.93,,0.0,,0.0
nunzio lella,serie-a,2024-2025,serie-a,MF,2000,1,0,5.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0,0,0,0,,,0.0,,0.0
nunzio lella,serie-a,2024-2025,serie-a,MF,2000,1,0,5.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0,0,0,0,,,0.0,,0.0
obite ndicka,serie-a,2023-2024,serie-a,DF,1999,25,25,2168.0,0.0,3.0,6,0,26,87,11,,,,,,,12,19,1,60.0,32,18,30,16,14,,,,,
obite ndicka,serie-a,2024-2025,serie-a,DF,1999,38,38,3420.0,0.0,1.0,2,0,29,107,5,,,,,,,17,15,0,66.7,32,26,46,30,16,,,,,
obite ndicka,serie-a,2024-2025,serie-a,DF,1999,38,38,3420.0,0.0,1.0,2,0,29,107,5,,,,,,,17,15,0,66.7,32,26,46,30,16,,,,,
ola solbakken,serie-a,2022-2023,serie-a,"MF,FW",1998,14,7,502.0,1.0,2.0,2,0,5,14,35,1.0562525,1.4002539,1.0562525,11,2.4018823951482773,0.158398400992155,1,1,0,28.6,2,2,2,0,2,,,0.44,0.9467433396444981,0.25
