Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
javi galan,Atlético Madrid,406,529,344,16,78,35.9,2315,34,6,22,15,2024-2025,laliga
inigo ruiz de galarreta,Athletic Club,153,618,222,8,23,69.6,1266,14,3,17,16,2024-2025,laliga
conor gallagher,Atlético Madrid,232,555,287,38,42,40.5,1104,23,7,25,23,2024-2025,laliga
facundo garces,Alavés,122,137,21,13,0,,187,0,0,2,0,2024-2025,laliga
alvaro garcia,Rayo Vallecano,204,357,611,127,27,37.0,1484,28,25,61,16,2024-2025,laliga
eric garcia,Barcelona,369,927,225,25,12,41.7,1877,12,1,17,5,2024-2025,laliga
fran garcia,Real Madrid,498,703,606,33,23,34.8,2683,52,15,20,10,2024-2025,laliga
gonzalo garcia,Real Madrid,1,6,15,5,0,,19,0,0,0,3,2024-2025,laliga
joan garcia,Espanyol,1341,7,1,1,0,,3182,0,0,2,0,2024-2025,laliga
pablo garcia,Betis,3,7,14,2,2,50.0,59,0,1,3,1,2024-2025,laliga
ruben garcia,Osasuna,205,649,629,64,36,33.3,1382,46,13,39,21,2024-2025,laliga
unai garcia,Osasuna,25,16,2,1,0,,41,0,0,1,0,2024-2025,laliga
yarek gasiorowski,Valencia,295,309,22,6,0,,736,2,0,1,0,2024-2025,laliga
gavi,Barcelona,107,601,240,34,18,50.0,1128,16,1,19,9,2024-2025,laliga
paulo gazzaniga,Girona,1283,6,0,0,4,75.0,2167,0,0,1,0,2024-2025,laliga
bryan gil,Girona,110,356,568,82,104,39.4,2103,43,34,56,39,2024-2025,laliga
dani gomez,Valencia,12,49,78,22,10,30.0,103,4,2,11,8,2024-2025,laliga
moi gomez,Osasuna,92,337,146,7,26,53.8,524,10,1,10,8,2024-2025,laliga
sergi gomez,Espanyol,280,131,8,4,0,,376,0,0,1,0,2024-2025,laliga
sergio gomez,Real Sociedad,292,746,708,52,51,43.1,1912,46,6,45,16,2024-2025,laliga
unai gomez,Athletic Club,63,215,168,21,29,41.4,617,17,3,23,21,2024-2025,laliga
fabio gonzalez,Las Palmas,5,41,11,2,0,,85,0,0,1,0,2024-2025,laliga
peter gonzalez,Getafe,29,68,119,16,15,20.0,187,5,4,17,15,2024-2025,laliga
urko gonzalez,Espanyol,205,334,83,11,17,35.3,1133,14,3,18,12,2024-2025,laliga
urko gonzalez,Real Sociedad,7,10,3,1,0,,5,0,0,1,2,2024-2025,laliga
andoni gorosabel,Athletic Club,292,547,252,13,14,50.0,691,18,3,18,14,2024-2025,laliga
jose gragera,Espanyol,74,190,21,4,4,25.0,216,0,0,3,1,2024-2025,laliga
dominik greif,Mallorca,1098,11,0,0,2,100.0,1668,0,0,1,0,2024-2025,laliga
antoine griezmann,Atlético Madrid,216,748,729,93,35,42.9,2040,56,6,41,20,2024-2025,laliga
florian grillitsch,Valladolid,91,266,49,4,15,73.3,706,4,0,5,5,2024-2025,laliga
vicente guaita,Celta Vigo,1033,6,0,0,0,,1561,0,0,3,1,2024-2025,laliga
sergi guardiola,Rayo Vallecano,11,55,64,18,2,0.0,90,3,1,11,5,2024-2025,laliga
nemanja gudelj,Sevilla,703,789,150,5,9,66.7,1401,8,0,19,3,2024-2025,laliga
javier guerra,Valencia,354,939,401,49,78,37.2,2585,42,13,50,54,2024-2025,laliga
ander guevara,Alavés,265,761,189,12,15,60.0,1078,16,0,22,19,2024-2025,laliga
pape gueye,Villarreal,355,807,308,65,33,33.3,2199,28,7,33,19,2024-2025,laliga
hugo guillamon,Valencia,62,129,37,1,2,50.0,129,1,0,3,3,2024-2025,laliga
carlos guirao,Betis,14,38,10,1,1,100.0,60,1,0,1,2,2024-2025,laliga
arda guler,Real Madrid,131,477,460,50,45,44.4,1720,33,10,23,9,2024-2025,laliga
gerard gumbau,Rayo Vallecano,104,276,129,10,4,50.0,365,9,0,8,2,2024-2025,laliga
jon guridi,Alavés,122,493,335,60,26,30.8,1129,31,4,38,17,2024-2025,laliga
gorka guruzeta,Athletic Club,67,342,240,78,20,55.0,375,12,2,48,20,2024-2025,laliga
miguel gutierrez,Girona,365,671,722,50,55,52.7,2320,48,11,37,25,2024-2025,laliga
munir el haddadi,Leganés,34,176,164,17,21,33.3,357,9,1,22,25,2024-2025,laliga
sebastien haller,Leganés,21,66,45,11,3,33.3,105,2,0,17,5,2024-2025,laliga
henrique,Valladolid,75,139,24,1,7,42.9,355,3,0,3,4,2024-2025,laliga
javi hernandez,Leganés,425,607,309,27,29,55.2,1835,32,5,27,26,2024-2025,laliga
aridane hernandez,Rayo Vallecano,394,270,17,12,6,50.0,566,0,0,4,1,2024-2025,laliga
jorge herrando,Osasuna,419,422,34,17,1,100.0,1149,3,0,4,1,2024-2025,laliga
ander herrera,Athletic Club,37,151,49,6,5,40.0,196,4,0,3,2,2024-2025,laliga
sergio herrera,Osasuna,1344,14,0,0,1,100.0,2294,0,0,2,0,2024-2025,laliga
yangel herrera,Girona,317,739,362,60,47,40.4,1760,35,3,54,35,2024-2025,laliga
juan herzog,Las Palmas,492,297,27,20,2,0.0,569,1,0,2,0,2024-2025,laliga
omar el hilali,Espanyol,869,935,208,5,29,58.6,2372,21,2,21,7,2024-2025,laliga
roger hinojo,Espanyol,3,2,6,0,0,,23,0,0,0,0,2024-2025,laliga
dinko horkas,Las Palmas,538,22,0,0,1,100.0,929,0,0,0,0,2024-2025,laliga
pablo ibanez,Osasuna,109,391,185,31,27,48.1,985,20,3,20,16,2024-2025,laliga
