Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
adam hlozek,Leverkusen,21,99,105,29,14,28.6,386,9,5,10,13,2023-2024,bundesliga
nicolas hofler,Freiburg,417,805,175,20,18,77.8,1249,11,0,19,20,2023-2024,bundesliga
jonas hofmann,Leverkusen,122,676,928,110,35,51.4,2294,50,13,34,17,2023-2024,bundesliga
philipp hofmann,Bochum,45,282,257,84,15,60.0,208,6,2,43,14,2023-2024,bundesliga
lucas holer,Freiburg,159,457,399,97,29,44.8,844,12,5,59,19,2023-2024,bundesliga
fabian holland,Darmstadt 98,291,619,209,18,15,53.3,1313,12,1,22,9,2023-2024,bundesliga
benedict hollerbach,Union Berlin,70,289,316,77,74,40.5,1220,28,24,66,52,2023-2024,bundesliga
gerrit holtmann,Darmstadt 98,37,92,101,11,15,46.7,441,11,8,15,13,2023-2024,bundesliga
franck honorat,Gladbach,249,501,680,66,54,38.9,2675,60,26,26,18,2023-2024,bundesliga
mathias honsak,Darmstadt 98,99,181,199,36,30,30.0,571,14,8,51,14,2023-2024,bundesliga
fraser hornby,Darmstadt 98,8,34,51,18,4,25.0,125,3,4,4,4,2023-2024,bundesliga
lukas hradecky,Leverkusen,925,14,0,0,0,,1580,1,1,1,0,2023-2024,bundesliga
timo hubers,Köln,1200,897,65,31,6,66.7,3442,14,1,11,7,2023-2024,bundesliga
mats hummels,Dortmund,698,888,76,20,7,28.6,3224,13,1,7,6,2023-2024,bundesliga
denis huseinbasic,Köln,214,550,203,13,23,43.5,1553,30,3,19,19,2023-2024,bundesliga
iago,Augsburg,296,434,239,33,37,51.4,1197,20,4,24,10,2023-2024,bundesliga
borja iglesias,Leverkusen,2,28,66,19,1,0.0,74,2,3,5,6,2023-2024,bundesliga
joel imasuen,Werder Bremen,0,0,1,0,0,,1,0,0,0,0,2023-2024,bundesliga
thomas isherwood,Darmstadt 98,208,127,11,2,1,100.0,587,6,0,3,0,2023-2024,bundesliga
ko itakura,Gladbach,522,523,74,29,7,71.4,1766,11,1,7,5,2023-2024,bundesliga
hiroki ito,Stuttgart,873,1204,204,18,11,63.6,2647,26,2,13,5,2023-2024,bundesliga
lee jaesung,Mainz 05,147,533,363,83,38,39.5,920,17,4,42,22,2023-2024,bundesliga
paul jaeckel,Union Berlin,81,77,4,0,1,0.0,194,1,0,1,1,2023-2024,bundesliga
kristijan jakic,Augsburg,154,367,104,11,11,54.5,624,6,2,8,13,2023-2024,bundesliga
