Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
pierre hjbjerg,Tottenham,377,913,309,16,23,52.2,1820,25,2,20,9,2023-2024,premier-league
rasmus hjlund,Manchester Utd,61,262,297,96,38,47.4,1088,26,14,50,29,2023-2024,premier-league
igor,Brighton,604,913,141,7,22,72.7,2867,23,0,9,6,2023-2024,premier-league
danny ings,West Ham,20,68,79,24,13,46.2,129,2,3,9,4,2023-2024,premier-league
tim iroegbunam,Aston Villa,27,46,8,0,7,42.9,115,0,0,2,3,2023-2024,premier-league
alexander isak,Newcastle Utd,46,299,387,139,74,56.8,1613,31,38,49,23,2023-2024,premier-league
alex iwobi,Everton,5,17,38,3,4,75.0,221,5,2,3,1,2023-2024,premier-league
alex iwobi,Fulham,190,585,537,81,72,51.4,2979,80,27,50,28,2023-2024,premier-league
nicolas jackson,Chelsea,94,450,480,151,105,51.4,2122,44,32,87,66,2023-2024,premier-league
reece james,Chelsea,118,153,124,20,15,60.0,548,8,3,6,6,2023-2024,premier-league
vitaly janelt,Brentford,513,772,437,72,18,44.4,1558,25,3,27,10,2023-2024,premier-league
daniel jebbison,Sheffield Utd,0,5,4,2,0,,1,0,0,1,0,2023-2024,premier-league
mathias jensen,Brentford,288,689,475,21,44,40.9,1265,17,3,31,18,2023-2024,premier-league
gabriel jesus,Arsenal,75,247,472,139,75,46.7,1146,21,25,61,38,2023-2024,premier-league
raul jimenez,Fulham,58,269,240,67,24,41.7,453,14,5,44,32,2023-2024,premier-league
joao pedro,Brighton,105,475,629,184,107,40.2,2295,42,47,83,63,2023-2024,premier-league
joelinton,Newcastle Utd,152,410,253,38,35,48.6,1061,24,6,22,28,2023-2024,premier-league
ben johnson,West Ham,139,169,119,4,25,44.0,633,11,1,6,10,2023-2024,premier-league
brennan johnson,Tottenham,94,316,578,154,71,35.2,2091,35,48,35,19,2023-2024,premier-league
