Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
emirhan ilkhan,Torino,12,34,12,0,2,50.0,86,4,0,2,2,2022-2023,serie-a
emirhan ilkhan,Sampdoria,16,53,21,1,3,33.3,74,1,0,5,0,2022-2023,serie-a
ciro immobile,Lazio,55,370,451,159,43,41.9,1134,21,27,63,22,2022-2023,serie-a
ardian ismajli,Empoli,785,494,25,18,2,100.0,1752,2,0,3,2,2022-2023,serie-a
mihailo ivanovic,Sampdoria,0,0,0,0,0,,0,0,0,0,0,2022-2023,serie-a
armando izzo,Monza,962,812,130,28,22,50.0,2484,10,1,11,8,2022-2023,serie-a
mato jajalo,Udinese,7,14,16,1,2,50.0,40,2,0,1,0,2022-2023,serie-a
jese,Sampdoria,5,47,41,6,5,60.0,74,4,0,5,3,2022-2023,serie-a
juan jesus,Napoli,300,518,21,7,0,,2091,9,0,5,1,2022-2023,serie-a
orir johann helgason,Lecce,25,42,31,3,1,0.0,88,2,1,4,2,2022-2023,serie-a
luka jovic,Fiorentina,27,196,219,79,22,68.2,316,8,4,25,16,2022-2023,serie-a
hamed junior traore,Sassuolo,43,142,127,24,15,26.7,600,7,7,16,23,2022-2023,serie-a
yayah kallon,Hellas Verona,31,127,207,43,30,26.7,764,20,14,28,15,2022-2023,serie-a
pierre kalulu,Milan,890,1056,172,18,18,55.6,4148,25,0,25,5,2022-2023,serie-a
yann karamoh,Torino,22,139,192,35,57,45.6,646,10,11,33,13,2022-2023,serie-a
