Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
james justin,Leicester City,1998.0,36,34,2912,2,2,6,0,39,91,96,2024-2025,premier-league
filip jrgensen,Chelsea,2002.0,6,6,540,0,0,0,0,0,0,0,2024-2025,premier-league
ferdi kadioglu,Brighton,1999.0,6,5,385,1,0,1,0,1,15,27,2024-2025,premier-league
daichi kamada,Crystal Palace,1996.0,34,15,1564,0,0,4,1,25,89,56,2024-2025,premier-league
boubacar kamara,Aston Villa,1999.0,26,20,1726,1,0,2,0,19,85,7,2024-2025,premier-league
joachim kayi sanda,Southampton,2006.0,2,0,14,0,0,0,0,0,1,0,2024-2025,premier-league
michael kayode,Brentford,2004.0,12,6,528,0,1,2,0,12,12,24,2024-2025,premier-league
michael keane,Everton,1993.0,14,11,1049,3,0,5,0,1,14,3,2024-2025,premier-league
caoimhin kelleher,Liverpool,1998.0,10,10,900,0,0,0,0,0,0,0,2024-2025,premier-league
lloyd kelly,Newcastle Utd,1998.0,10,4,303,0,1,2,0,0,9,5,2024-2025,premier-league
milos kerkez,Bournemouth,2003.0,38,38,3336,2,5,4,0,106,159,197,2024-2025,premier-league
bilal el khannouss,Leicester City,2004.0,32,27,2182,2,3,4,0,73,128,89,2024-2025,premier-league
abdukodir khusanov,Manchester City,2004.0,6,6,503,0,0,1,0,1,25,2,2024-2025,premier-league
max kilman,West Ham,1997.0,38,38,3348,0,1,5,0,31,113,6,2024-2025,premier-league
joshua king,Fulham,2007.0,8,1,130,0,0,0,0,3,9,16,2024-2025,premier-league
tom king,Wolves,1995.0,1,0,1,0,0,0,0,0,0,0,2024-2025,premier-league
antonin kinsky,Tottenham,2003.0,6,6,540,0,0,0,0,1,1,0,2024-2025,premier-league
jakub kiwior,Arsenal,2000.0,17,10,1122,1,0,1,0,5,48,1,2024-2025,premier-league
justin kluivert,Bournemouth,1999.0,34,29,2340,12,6,8,0,81,105,173,2024-2025,premier-league
ibrahima konate,Liverpool,1999.0,31,30,2560,1,2,5,0,25,115,3,2024-2025,premier-league
ezri konsa,Aston Villa,1997.0,34,33,2936,2,0,1,0,24,90,11,2024-2025,premier-league
mateo kovacic,Manchester City,1994.0,31,25,2198,6,2,5,1,56,164,16,2024-2025,premier-league
