Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
nicolas pallois,Nantes,1987,23,17,1589,0,1,5,0,6,55,2,2023-2024,ligue1
andy pelmard,Clermont Foot,2000,34,33,2989,0,0,1,0,39,120,7,2023-2024,ligue1
aurelien pelon,Lorient,2004,1,1,90,0,0,1,0,0,1,0,2023-2024,ligue1
faris pemi moumbagna,Marseille,2000,13,5,547,3,1,2,1,6,16,32,2023-2024,ligue1
danilo pereira,Paris S-G,1991,26,22,1995,0,0,2,0,28,148,2,2023-2024,ligue1
mathias pereira lage,Brest,1996,30,12,1187,3,2,3,0,19,23,95,2023-2024,ligue1
romain perraud,Nice,1997,19,2,370,0,1,2,0,6,11,13,2023-2024,ligue1
lucas perrin,Strasbourg,1998,31,30,2723,0,1,3,0,17,115,8,2023-2024,ligue1
denis petric,Nantes,1988,1,0,24,0,0,0,0,0,0,0,2023-2024,ligue1
ronael pierregabriel,Nantes,1998,12,6,598,0,0,3,0,12,17,12,2023-2024,ligue1
julien ponceau,Lorient,2000,32,27,2244,3,2,5,0,106,154,152,2023-2024,ligue1
sanjin prcic,Strasbourg,1993,3,1,88,0,0,0,0,0,5,0,2023-2024,ligue1
goncalo ramos,Paris S-G,2001,29,16,1419,11,1,1,0,11,29,88,2023-2024,ligue1
elba rashani,Clermont Foot,1993,24,14,1175,2,0,4,2,19,22,102,2023-2024,ligue1
guillaume restes,Toulouse,2005,34,34,3060,0,0,3,0,0,0,0,2023-2024,ligue1
alexsandro ribeiro,Lille,1999,29,24,2220,0,0,6,1,15,82,7,2023-2024,ligue1
amir richardson,Reims,2002,28,14,1352,3,1,4,0,28,72,40,2023-2024,ligue1
fabian rieder,Rennes,2002,15,2,365,1,0,0,0,10,41,18,2023-2024,ligue1
remy riou,Lyon,1987,3,3,270,0,0,0,0,0,0,0,2023-2024,ligue1
valentin rongier,Marseille,1994,10,10,851,0,0,2,0,19,73,10,2023-2024,ligue1
pablo rosario,Nice,1997,30,21,2009,0,0,4,0,20,93,27,2023-2024,ligue1
valentin rosier,Nice,1996,3,0,53,0,0,0,0,3,5,2,2023-2024,ligue1
fabian ruiz pena,Paris S-G,1996,21,14,1197,1,3,3,0,16,78,40,2023-2024,ligue1
emmanuel sabbi,Le Havre,1997,30,18,1584,5,1,5,0,38,36,101,2023-2024,ligue1
falaye sacko,Montpellier,1995,19,15,1382,0,1,0,0,38,63,42,2023-2024,ligue1
modibo sagnan,Montpellier,1999,13,12,1054,2,0,5,0,7,25,5,2023-2024,ligue1
moise sahi dion,Strasbourg,2001,18,7,628,3,1,0,0,13,21,42,2023-2024,ligue1
wesley said,Lens,1995,27,11,1020,7,1,1,0,18,26,95,2023-2024,ligue1
theo sainteluce,Montpellier,1998,6,3,346,0,0,1,0,8,15,6,2023-2024,ligue1
mamadou sakho,Montpellier,1990,1,0,7,0,0,0,0,0,1,0,2023-2024,ligue1
ibrahim salah,Rennes,2001,23,4,524,4,1,3,0,15,18,61,2023-2024,ligue1
amine salama,Reims,2000,11,2,313,0,0,0,0,10,7,33,2023-2024,ligue1
mohammed salisu,Monaco,1999,12,11,1035,0,1,2,0,7,72,6,2023-2024,ligue1
