Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
andoni gorosabel,Alavés,1996.0,36,33,2854,1,0,6,0,58,117,121,2023-2024,laliga
pablo gozalbez,Valencia,2001.0,5,1,103,0,0,0,0,0,0,5,2023-2024,laliga
mason greenwood,Getafe,2001.0,33,30,2662,8,6,6,1,127,89,239,2023-2024,laliga
dominik greif,Mallorca,1997.0,1,1,90,0,0,0,0,0,0,0,2023-2024,laliga
antoine griezmann,Atlético Madrid,1991.0,33,31,2644,16,6,5,0,43,118,196,2023-2024,laliga
vicente guaita,Celta Vigo,1987.0,27,26,2403,0,0,2,0,0,0,0,2023-2024,laliga
andres guardado,Betis,1986.0,12,4,447,0,0,2,0,5,36,6,2023-2024,laliga
sergi guardiola,Cádiz,1991.0,22,1,495,1,1,1,0,10,19,32,2023-2024,laliga
nemanja gudelj,Sevilla,1991.0,22,20,1742,1,1,7,0,23,73,5,2023-2024,laliga
goncalo guedes,Villarreal,1996.0,17,9,951,3,2,0,0,38,50,88,2023-2024,laliga
javier guerra,Valencia,2003.0,36,28,2498,4,1,3,1,47,81,68,2023-2024,laliga
ander guevara,Alavés,1997.0,37,33,2932,1,0,7,0,53,187,37,2023-2024,laliga
hugo guillamon,Valencia,2000.0,26,12,1315,1,0,7,0,6,65,10,2023-2024,laliga
marc guiu,Barcelona,2006.0,3,1,74,1,0,1,0,1,1,8,2023-2024,laliga
arda guler,Real Madrid,2005.0,10,4,377,6,0,1,0,16,17,25,2023-2024,laliga
gerard gumbau,Granada,1994.0,35,31,2674,0,3,12,0,20,135,29,2023-2024,laliga
ilkay gundogan,Barcelona,1990.0,36,33,2994,5,9,5,0,71,224,116,2023-2024,laliga
jon guridi,Alavés,1995.0,36,34,2678,3,4,2,0,30,117,92,2023-2024,laliga
gorka guruzeta,Athletic Club,1996.0,32,30,2217,14,5,2,0,18,55,102,2023-2024,laliga
miguel gutierrez,Girona,2001.0,35,35,3032,2,7,4,0,74,146,184,2023-2024,laliga
munir el haddadi,Las Palmas,1995.0,38,32,2449,3,2,3,0,26,78,167,2023-2024,laliga
ianis hagi,Alavés,1998.0,22,8,804,0,2,3,0,17,32,58,2023-2024,laliga
luiz henrique,Betis,2001.0,14,6,616,0,3,1,0,35,17,58,2023-2024,laliga
mario hermoso,Atlético Madrid,1995.0,31,29,2557,0,1,9,0,39,177,61,2023-2024,laliga
javi hernandez,Cádiz,1998.0,30,28,2514,1,2,10,0,40,94,57,2023-2024,laliga
aridane hernandez,Rayo Vallecano,1989.0,19,19,1690,0,0,3,0,0,21,0,2023-2024,laliga
luis hernandez,Cádiz,1989.0,9,8,723,1,0,4,0,2,31,1,2023-2024,laliga
jorge herrando,Osasuna,2001.0,19,18,1644,0,1,4,0,3,35,1,2023-2024,laliga
ander herrera,Athletic Club,1989.0,23,10,1030,0,3,4,0,11,94,17,2023-2024,laliga
cristian herrera,Las Palmas,1991.0,8,1,166,1,0,1,0,2,8,16,2023-2024,laliga
sergio herrera,Osasuna,1993.0,32,32,2869,0,0,2,0,0,1,0,2023-2024,laliga
yangel herrera,Girona,1998.0,29,27,2107,5,0,9,0,31,92,76,2023-2024,laliga
juan herzog,Las Palmas,2003.0,4,3,292,2,0,1,0,0,3,0,2023-2024,laliga
martin hongla,Granada,1998.0,13,6,562,0,0,0,0,3,16,5,2023-2024,laliga
xabier huarte armendariz,Osasuna,2001.0,1,0,9,0,0,0,0,0,1,0,2023-2024,laliga
pablo ibanez,Osasuna,1998.0,33,12,1152,1,2,5,0,26,67,54,2023-2024,laliga
iglesias,Getafe,1998.0,23,16,1412,0,2,4,0,16,43,48,2023-2024,laliga
borja iglesias,Betis,1993.0,11,4,408,0,1,2,0,5,12,32,2023-2024,laliga
imanol,Athletic Club,2000.0,9,5,525,0,0,2,0,13,21,15,2023-2024,laliga
isco,Betis,1992.0,29,28,2326,8,5,10,0,100,216,145,2023-2024,laliga
diego iturralde,Sevilla,2003.0,1,0,37,0,0,0,0,1,1,0,2023-2024,laliga
adnan januzaj,Sevilla,1995.0,8,0,193,0,0,0,0,1,9,17,2023-2024,laliga
mikel jauregizar,Athletic Club,2003.0,7,1,151,0,0,0,0,2,5,3,2023-2024,laliga
luis javier suarez,Almería,1997.0,15,10,917,6,0,3,0,30,15,53,2023-2024,laliga
salim el jebari,Atlético Madrid,2004.0,1,0,13,0,0,0,0,1,0,1,2023-2024,laliga
frenkie de jong,Barcelona,1997.0,20,20,1634,2,0,7,0,69,168,38,2023-2024,laliga
joan jordan,Sevilla,1994.0,8,4,380,0,0,1,0,0,32,1,2023-2024,laliga
jordi,Getafe,2001.0,13,5,573,0,0,1,0,6,14,28,2023-2024,laliga
jeremy jorge,Getafe,2003.0,1,0,2,0,0,0,0,0,0,0,2023-2024,laliga
willian jose,Betis,1991.0,33,25,1971,10,5,0,1,8,32,90,2023-2024,laliga
joselu,Real Madrid,1990.0,34,15,1687,10,2,1,0,15,20,98,2023-2024,laliga
kamil jozwiak,Granada,1998.0,11,7,571,0,1,2,0,15,21,31,2023-2024,laliga
juanmi,Cádiz,1993.0,16,9,873,3,1,3,0,7,12,40,2023-2024,laliga
juanpe,Girona,1991.0,17,6,746,0,0,4,0,3,14,0,2023-2024,laliga
vinicius junior,Real Madrid,2000.0,26,22,1864,15,5,7,0,137,57,277,2023-2024,laliga
filip jrgensen,Villarreal,2002.0,36,36,3240,0,0,4,0,0,0,0,2023-2024,laliga
sory kaba,Las Palmas,1995.0,17,9,720,1,1,2,0,7,12,36,2023-2024,laliga
kaiky,Almería,2004.0,8,5,523,1,0,2,0,4,24,1,2023-2024,laliga
jon karrikaburu,Alavés,2002.0,2,0,16,0,0,0,0,0,0,1,2023-2024,laliga
ibrahima kebe,Girona,2000.0,2,0,9,0,0,1,0,0,0,1,2023-2024,laliga
kike,Alavés,1989.0,33,15,1423,3,2,3,0,18,32,97,2023-2024,laliga
koke,Atlético Madrid,1992.0,35,32,2493,0,4,5,0,26,212,26,2023-2024,laliga
ibrahima kone,Almería,1999.0,9,2,277,0,0,0,0,5,3,18,2023-2024,laliga
rominigue kouame,Cádiz,1996.0,16,9,821,0,0,2,0,16,34,5,2023-2024,laliga
jules kounde,Barcelona,1998.0,35,32,2899,1,2,4,0,67,245,64,2023-2024,laliga
toni kroos,Real Madrid,1990.0,33,24,2124,1,8,3,0,32,290,29,2023-2024,laliga
takefusa kubo,Real Sociedad,2001.0,30,24,2150,7,4,1,0,136,89,231,2023-2024,laliga
luca de la torre,Celta Vigo,1998.0,31,22,1956,1,4,4,1,58,93,88,2023-2024,laliga
yoel lago,Celta Vigo,2004.0,1,1,90,0,0,0,0,0,2,0,2023-2024,laliga
erik lamela,Sevilla,1992.0,13,5,463,2,0,3,0,11,17,28,2023-2024,laliga
bruno langa,Almería,1997.0,11,9,820,1,0,1,1,14,25,30,2023-2024,laliga
