Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
dennis geiger,Hoffenheim,1998.0,3,0,64,0,0,1,0,1,3,2,2023-2024,bundesliga
yannick gerhardt,Wolfsburg,1994.0,25,18,1630,2,1,5,0,17,49,73,2023-2024,bundesliga
anwar el ghazi,Mainz 05,1995.0,3,0,54,0,1,0,0,2,4,5,2023-2024,bundesliga
benedikt gimber,Heidenheim,1997.0,24,24,2021,1,1,9,0,3,25,6,2023-2024,bundesliga
matthias ginter,Freiburg,1994.0,23,22,1913,0,2,3,0,23,136,20,2023-2024,bundesliga
jamie gittens,Dortmund,2004.0,25,14,1058,1,4,1,0,64,26,105,2023-2024,bundesliga
klaus gjasula,Darmstadt 98,1989.0,22,17,1363,0,0,7,1,8,70,7,2023-2024,bundesliga
serge gnabry,Bayern Munich,1995.0,10,5,432,3,1,0,0,23,23,49,2023-2024,bundesliga
leon goretzka,Bayern Munich,1995.0,30,25,2241,6,7,3,0,66,176,71,2023-2024,bundesliga
robin gosens,Union Berlin,1994.0,30,27,2283,6,3,9,1,21,97,113,2023-2024,bundesliga
mario gotze,Eint Frankfurt,1992.0,30,23,2068,3,2,5,1,22,115,118,2023-2024,bundesliga
jeffrey gouweleeuw,Augsburg,1991.0,30,29,2593,1,0,7,0,33,143,17,2023-2024,bundesliga
jens grahl,Eint Frankfurt,1988.0,2,2,180,0,1,0,0,0,0,0,2023-2024,bundesliga
ryan gravenberch,Bayern Munich,2002.0,1,0,10,0,0,1,0,0,1,3,2023-2024,bundesliga
michael gregoritsch,Freiburg,1994.0,32,19,1682,7,4,2,0,12,48,89,2023-2024,bundesliga
vincenzo grifo,Freiburg,1993.0,32,29,2325,8,8,3,0,54,115,148,2023-2024,bundesliga
florian grillitsch,Hoffenheim,1995.0,30,25,2295,1,6,8,0,32,152,22,2023-2024,bundesliga
alex grimaldo,Leverkusen,1995.0,33,31,2784,10,13,1,0,77,162,261,2023-2024,bundesliga
christian gro,Werder Bremen,1989.0,20,8,797,0,1,1,0,17,46,5,2023-2024,bundesliga
brajan gruda,Mainz 05,2004.0,28,19,1641,4,3,5,0,100,71,167,2023-2024,bundesliga
ilia gruev,Werder Bremen,2000.0,1,0,4,0,0,0,0,0,0,0,2023-2024,bundesliga
raphael guerreiro,Bayern Munich,1993.0,20,13,1191,3,0,2,0,36,86,90,2023-2024,bundesliga
josuha guilavogui,Mainz 05,1990.0,11,5,409,0,1,1,0,1,9,1,2023-2024,bundesliga
serhou guirassy,Stuttgart,1996.0,28,25,2208,28,3,0,0,32,56,183,2023-2024,bundesliga
peter gulacsi,RB Leipzig,1990.0,13,13,1170,0,0,0,0,0,1,0,2023-2024,bundesliga
manuel gulde,Freiburg,1991.0,27,23,2047,1,0,5,1,10,74,3,2023-2024,bundesliga
robert gumny,Augsburg,1998.0,13,6,481,0,0,3,0,9,18,17,2023-2024,bundesliga
christian gunter,Freiburg,1993.0,15,13,1060,1,2,1,0,15,23,63,2023-2024,bundesliga
janik haberer,Union Berlin,1994.0,21,14,1221,1,1,7,0,10,47,36,2023-2024,bundesliga
robin hack,Gladbach,1998.0,29,14,1348,10,2,2,0,50,46,103,2023-2024,bundesliga
amadou haidara,RB Leipzig,1998.0,21,19,1526,2,1,5,0,8,97,11,2023-2024,bundesliga
sebastien haller,Dortmund,1994.0,14,5,396,0,1,2,0,11,11,34,2023-2024,bundesliga
andreas hancheolsen,Mainz 05,1997.0,15,12,992,1,0,5,0,1,19,0,2023-2024,bundesliga
isak hansenaaren,Werder Bremen,2004.0,3,0,27,0,0,1,0,2,2,3,2023-2024,bundesliga
genki haraguchi,Stuttgart,1991.0,2,0,27,0,0,0,0,1,3,0,2023-2024,bundesliga
