Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
morgan sanson,Strasbourg,115,479,265,36,843,46,37.0,19,41.3,1880,49,12,34,23,2022-2023,ligue-1
baptiste santamaria,Rennes,271,1023,218,16,1499,17,52.9,7,41.2,2726,37,1,30,11,2022-2023,ligue-1
pablo sarabia,Paris S-G,40,91,94,15,225,5,20.0,3,60.0,406,8,0,11,7,2022-2023,ligue-1
amin sarr,Lyon,13,96,97,20,203,14,28.6,8,57.1,344,15,5,20,5,2022-2023,ligue-1
malang sarr,Monaco,210,366,17,1,590,4,50.0,2,50.0,1656,7,2,4,2,2022-2023,ligue-1
mamadou sarr,Lyon,6,3,0,0,9,0,,0,,6,0,0,0,0,2022-2023,ligue-1
teji savanier,Montpellier,289,1138,677,34,2061,138,52.2,42,30.4,3547,63,4,71,50,2022-2023,ligue-1
kasper schmeichel,Nice,1253,5,0,0,1258,0,,0,,2015,0,0,2,0,2022-2023,ligue-1
alidu seidu,Clermont Foot,710,805,158,3,1646,61,50.8,9,14.8,3574,34,2,34,15,2022-2023,ligue-1
matz sels,Strasbourg,1076,8,0,0,1082,0,,0,,2281,0,0,1,0,2022-2023,ligue-1
marvin senaya,Strasbourg,4,1,2,0,7,0,,0,,11,0,0,0,0,2022-2023,ligue-1
kaj sierhuis,Reims,10,28,54,15,91,5,40.0,2,40.0,130,4,1,5,5,2022-2023,ligue-1
vincent sierro,Toulouse,100,296,92,6,485,8,75.0,1,12.5,666,10,2,6,7,2022-2023,ligue-1
caio henrique oliveira silva,Monaco,621,1025,595,36,2218,33,57.6,8,24.2,4299,49,9,27,10,2022-2023,ligue-1
abdallah sima,Angers,54,271,281,78,589,50,42.0,25,50.0,915,25,17,60,31,2022-2023,ligue-1
moses simon,Nantes,103,321,567,104,966,95,35.8,50,52.6,3150,61,43,49,36,2022-2023,ligue-1
lassine sinayoko,Auxerre,125,329,355,76,787,60,46.7,24,40.0,1782,33,22,42,33,2022-2023,ligue-1
ibrahima sissoko,Strasbourg,177,464,176,28,803,17,47.1,8,47.1,1159,23,1,22,19,2022-2023,ligue-1
moussa sissoko,Nantes,189,562,240,25,963,36,41.7,19,52.8,2141,30,4,29,18,2022-2023,ligue-1
naatan skytta,Toulouse,2,7,5,3,14,0,,0,,49,0,0,1,0,2022-2023,ligue-1
islam slimani,Brest,30,269,170,45,466,13,30.8,8,61.5,467,11,2,36,17,2022-2023,ligue-1
eduard sobol,Strasbourg,97,230,156,8,479,25,44.0,9,36.0,771,15,2,12,7,2022-2023,ligue-1
carlos soler,Paris S-G,105,359,290,25,749,12,41.7,4,33.3,1120,28,2,20,13,2022-2023,ligue-1
francoisjoseph sollacaro,Ajaccio,150,0,0,0,150,0,,0,,322,0,0,0,0,2022-2023,ligue-1
florian sotoca,Lens,212,915,775,140,1884,40,40.0,18,45.0,2546,61,16,44,25,2022-2023,ligue-1
moussa soumano,Ajaccio,4,54,43,10,101,7,71.4,2,28.6,100,3,4,16,7,2022-2023,ligue-1
arnaud souquet,Montpellier,57,93,37,3,185,7,28.6,4,57.1,245,1,0,5,1,2022-2023,ligue-1
kevin spadanuda,Ajaccio,74,172,167,27,405,44,52.3,17,38.6,758,12,8,29,21,2022-2023,ligue-1
djed spence,Rennes,102,204,98,8,394,27,55.6,9,33.3,909,16,5,14,4,2022-2023,ligue-1
stijn spierings,Toulouse,582,1532,340,20,2428,40,40.0,13,32.5,3759,41,4,27,25,2022-2023,ligue-1
calvin stengs,Nice,14,47,61,6,119,10,60.0,3,30.0,332,11,1,6,3,2022-2023,ligue-1
tony strata,Ajaccio,30,22,0,0,51,0,,0,,105,0,0,1,0,2022-2023,ligue-1
gabriel suazo,Toulouse,306,483,199,15,976,34,64.7,11,32.4,2110,34,2,16,10,2022-2023,ligue-1
kamaldeen sulemana,Rennes,19,82,133,25,230,32,46.9,14,43.8,540,10,10,13,12,2022-2023,ligue-1
yuito suzuki,Strasbourg,2,10,12,4,23,3,66.7,1,33.3,52,1,2,3,0,2022-2023,ligue-1
issiaga sylla,Montpellier,282,473,239,14,984,29,31.0,17,58.6,1842,33,3,17,9,2022-2023,ligue-1
issiaga sylla,Toulouse,261,448,332,17,1027,34,29.4,22,64.7,2097,44,5,23,34,2022-2023,ligue-1
nicolas tagliafico,Lyon,527,1118,610,48,2237,38,26.3,19,50.0,3182,44,5,46,16,2022-2023,ligue-1
waniss taibi,Angers,35,98,39,2,171,3,66.7,1,33.3,317,3,1,5,0,2022-2023,ligue-1
flavien tait,Rennes,143,803,336,44,1268,45,48.9,17,37.8,2800,46,13,25,29,2022-2023,ligue-1
montassar talbi,Lorient,1500,847,28,16,2365,11,63.6,4,36.4,5959,7,0,14,8,2022-2023,ligue-1
thibault tamas,Montpellier,3,3,3,0,9,0,,0,,8,0,0,1,0,2022-2023,ligue-1
florian tardieu,Troyes,218,503,158,11,867,12,58.3,3,25.0,1385,22,4,12,12,2022-2023,ligue-1
nuno tavares,Marseille,361,685,765,88,1779,139,39.6,74,53.2,3913,68,19,75,67,2022-2023,ligue-1
enzo tchato,Montpellier,190,301,204,9,687,13,30.8,7,53.8,1198,26,2,14,7,2022-2023,ligue-1
martin terrier,Rennes,65,361,362,85,782,26,34.6,14,53.8,1254,33,9,26,15,2022-2023,ligue-1
tete,Lyon,58,252,351,60,649,54,38.9,28,51.9,1322,28,27,31,15,2022-2023,ligue-1
arthur theate,Rennes,1081,1644,141,40,2856,14,50.0,7,50.0,8082,35,0,15,5,2022-2023,ligue-1
sada thioub,Angers,116,301,234,21,640,35,45.7,16,45.7,1288,22,5,15,20,2022-2023,ligue-1
adrien thomasson,Strasbourg,88,305,249,50,640,16,50.0,6,37.5,930,17,3,21,18,2022-2023,ligue-1
adrien thomasson,Lens,124,342,246,47,707,18,66.7,2,11.1,956,18,2,26,17,2022-2023,ligue-1
khephren thuram,Nice,365,946,396,61,1667,77,59.7,24,31.2,4400,78,18,31,35,2022-2023,ligue-1
alexis tibidi,Troyes,2,13,11,0,25,3,66.7,0,0.0,46,1,0,1,1,2022-2023,ligue-1
jeanclair todibo,Nice,1267,1222,57,24,2514,28,71.4,6,21.4,5931,13,0,23,10,2022-2023,ligue-1
karl toko ekambi,Rennes,23,183,176,51,378,19,63.2,7,36.8,764,23,16,18,15,2022-2023,ligue-1
