Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
erhan masovic,Bochum,276,244,21,11,539,1,0.0,1,100.0,513,1,0,5,3,2024-2025,bundesliga
igor matanovic,Eint Frankfurt,17,73,44,17,133,5,60.0,2,40.0,118,3,2,21,9,2024-2025,bundesliga
chrislain matsima,Augsburg,700,846,138,24,1669,12,58.3,4,33.3,1731,18,2,20,9,2024-2025,bundesliga
jean matteo bahoya,Eint Frankfurt,79,208,199,33,475,30,56.7,12,40.0,796,14,10,19,17,2024-2025,bundesliga
maurides,St. Pauli,0,0,2,0,2,0,,0,,0,0,0,0,0,2024-2025,bundesliga
keke maximilian topp,Werder Bremen,8,45,83,29,135,9,33.3,5,55.6,213,5,3,12,14,2024-2025,bundesliga
jakov medic,Bochum,552,383,42,22,975,3,66.7,1,33.3,947,0,0,7,3,2024-2025,bundesliga
connor metcalfe,St. Pauli,38,69,52,4,156,6,50.0,1,16.7,165,5,2,5,0,2024-2025,bundesliga
karol mets,St. Pauli,360,346,32,8,736,1,0.0,1,100.0,736,6,0,4,0,2024-2025,bundesliga
alexander meyer,Dortmund,86,1,0,0,87,0,,0,,130,0,0,0,0,2024-2025,bundesliga
florian micheler,Hoffenheim,2,6,4,0,12,1,100.0,0,0.0,28,1,0,0,0,2024-2025,bundesliga
enzo millot,Stuttgart,180,760,470,75,1396,67,46.3,35,52.2,1826,34,12,46,36,2024-2025,bundesliga
kim minjae,Bayern Munich,911,1762,101,14,2764,5,60.0,2,40.0,3311,23,1,14,5,2024-2025,bundesliga
maximilian mittelstadt,Stuttgart,525,1225,646,32,2385,38,55.3,14,36.8,2909,52,2,24,8,2024-2025,bundesliga
koji miyoshi,Bochum,31,90,85,21,201,14,35.7,9,64.3,303,6,3,14,5,2024-2025,bundesliga
max moerstedt,Hoffenheim,15,62,85,31,159,4,25.0,3,75.0,128,2,3,13,11,2024-2025,bundesliga
david mokwa,Hoffenheim,2,4,5,2,11,1,100.0,0,0.0,9,0,0,2,2,2024-2025,bundesliga
steve mounie,Augsburg,14,58,92,36,164,4,25.0,3,75.0,152,5,3,12,5,2024-2025,bundesliga
nordi mukiele,Leverkusen,184,407,141,22,725,17,52.9,7,41.2,992,14,6,10,3,2024-2025,bundesliga
florian muller,Freiburg,332,5,0,0,337,0,,0,,552,0,0,0,0,2024-2025,bundesliga
