Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
andrea pinamonti,Genoa,77,531,349,116,951,23,47.8,12,52.2,557,12,11,67,34,2024-2025,serie-a
nicola pintus,Cagliari,3,0,0,0,3,0,,0,,0,0,0,0,0,2024-2025,serie-a
niccolo pisilli,Roma,101,417,205,34,718,14,35.7,6,42.9,921,16,6,27,15,2024-2025,serie-a
damian pizarro,Udinese,0,2,1,0,3,0,,0,,0,0,0,0,0,2024-2025,serie-a
semuel pizzignacco,Monza,336,3,1,0,340,0,,0,,622,0,0,0,0,2024-2025,serie-a
tommaso pobega,Bologna,106,368,141,20,608,8,37.5,4,50.0,517,10,2,13,6,2024-2025,serie-a
joel pohjanpalo,Venezia,67,240,187,66,487,10,30.0,7,70.0,367,7,4,23,11,2024-2025,serie-a
matteo politano,Napoli,233,533,804,90,1561,80,40.0,36,45.0,3264,57,38,47,24,2024-2025,serie-a
marin pongracic,Fiorentina,494,399,42,6,922,14,64.3,4,28.6,1465,13,1,10,7,2024-2025,serie-a
stefan posch,Bologna,186,290,133,13,602,11,27.3,8,72.7,581,8,1,9,12,2024-2025,serie-a
stefan posch,Atalanta,113,142,46,4,299,2,50.0,1,50.0,728,7,0,3,5,2024-2025,serie-a
matteo prati,Cagliari,89,177,48,3,313,11,27.3,6,54.5,244,3,0,4,2,2024-2025,serie-a
ivan provedel,Lazio,1135,33,0,0,1167,0,,0,,2307,0,0,0,0,2024-2025,serie-a
diego pugno,Juventus,0,2,3,0,4,1,0.0,1,100.0,3,1,0,0,0,2024-2025,serie-a
christian pulisic,Milan,156,524,709,128,1363,87,44.8,36,41.4,3406,75,37,57,40,2024-2025,serie-a
ionut radu,Venezia,586,1,0,0,587,1,100.0,0,0.0,1207,0,0,1,0,2024-2025,serie-a
hamza rafia,Lecce,132,367,164,12,651,22,45.5,7,31.8,662,16,2,21,20,2024-2025,serie-a
antonio raimondo,Venezia,2,15,19,5,34,0,,0,,37,4,1,5,3,2024-2025,serie-a
ylber ramadani,Lecce,346,587,123,8,1038,24,54.2,11,45.8,902,11,2,21,22,2024-2025,serie-a
luca ranieri,Fiorentina,1078,979,81,16,2124,19,47.4,9,47.4,3027,19,2,10,3,2024-2025,serie-a
giacomo raspadori,Napoli,62,246,247,54,549,14,64.3,3,21.4,502,6,5,25,9,2024-2025,serie-a
federico ravaglia,Bologna,480,8,0,0,488,2,100.0,0,0.0,960,0,0,0,0,2024-2025,serie-a
ante rebic,Lecce,40,184,210,43,429,30,26.7,17,56.7,449,9,7,39,14,2024-2025,serie-a
tijjani reijnders,Milan,280,950,651,82,1863,71,50.7,29,40.8,4203,99,29,36,32,2024-2025,serie-a
pepe reina,Como,380,1,0,0,381,1,0.0,0,0.0,757,0,0,0,0,2024-2025,serie-a
devyne rensch,Roma,86,157,76,8,319,3,0.0,1,33.3,226,6,1,5,2,2024-2025,serie-a
mateo retegui,Atalanta,30,378,474,173,869,30,40.0,12,40.0,472,12,11,96,48,2024-2025,serie-a
samuele ricci,Torino,337,975,294,19,1589,22,27.3,13,59.1,2648,38,6,35,18,2024-2025,serie-a
amir richardson,Fiorentina,152,439,160,18,748,19,57.9,6,31.6,1033,20,2,19,10,2024-2025,serie-a
sergi roberto,Como,114,348,123,9,582,10,30.0,6,60.0,775,13,2,14,5,2024-2025,serie-a
alessio romagnoli,Lazio,923,1045,83,41,2042,3,33.3,2,66.7,1826,6,0,6,1,2024-2025,serie-a
marten de roon,Atalanta,615,1479,463,19,2538,13,46.2,6,46.2,3579,51,1,24,9,2024-2025,serie-a
jonas rouhi,Juventus,63,97,33,2,192,5,40.0,3,60.0,158,2,0,5,5,2024-2025,serie-a
nicolo rovella,Lazio,589,1458,335,16,2354,25,72.0,6,24.0,3837,49,2,22,14,2024-2025,serie-a
amir rrahmani,Napoli,1355,1687,118,34,3152,6,66.7,2,33.3,5052,19,0,9,6,2024-2025,serie-a
tommaso rubino,Fiorentina,1,2,0,0,3,0,,0,,4,0,0,0,0,2024-2025,serie-a
matteo ruggeri,Atalanta,384,634,471,13,1479,11,54.5,4,36.4,2046,34,0,13,4,2024-2025,serie-a
stefano sabelli,Genoa,507,676,252,10,1428,13,30.8,5,38.5,1836,23,1,22,4,2024-2025,serie-a
alexis saelemaekers,Roma,149,390,417,47,945,52,42.3,27,51.9,1499,32,14,39,14,2024-2025,serie-a
alexis saelemaekers,Milan,9,34,38,2,81,0,,0,,234,4,1,1,0,2024-2025,serie-a
richie sagrado,Venezia,16,20,11,0,46,0,,0,,55,0,0,3,0,2024-2025,serie-a
marco sala,Como,54,69,51,1,173,2,50.0,0,0.0,311,10,1,1,1,2024-2025,serie-a
