Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
youssef maleh,Fiorentina,8,0,7,20,42.9,2022-2023,serie-a
youssef maleh,Lecce,22,3,8,50,50.0,2022-2023,serie-a
ruslan malinovskyi,Atalanta,10,0,23,57,41.7,2022-2023,serie-a
gianluca mancini,Roma,39,2,28,112,69.0,2022-2023,serie-a
rolando mandragora,Fiorentina,31,1,74,121,60.3,2022-2023,serie-a
federico marchetti,Spezia,0,0,0,1,,2022-2023,serie-a
riccardo marchizza,Sassuolo,7,1,18,7,71.4,2022-2023,serie-a
gian marco ferrari,Sassuolo,24,0,6,110,66.2,2022-2023,serie-a
pablo mari,Monza,31,1,1,131,68.6,2022-2023,serie-a
razvan marin,Empoli,31,1,140,148,48.5,2022-2023,serie-a
marlon,Monza,23,1,5,71,65.6,2022-2023,serie-a
luca marrone,Monza,1,0,0,8,44.4,2022-2023,serie-a
lautaro martinez,Inter,46,13,14,95,48.8,2022-2023,serie-a
lucas martinez quarta,Fiorentina,21,1,4,167,67.9,2022-2023,serie-a
adam marusic,Lazio,22,1,17,175,53.7,2022-2023,serie-a
adam masina,Udinese,11,0,10,44,70.3,2022-2023,serie-a
nemanja matic,Roma,19,1,12,171,57.6,2022-2023,serie-a
luis maximiano,Lazio,1,0,0,0,,2022-2023,serie-a
pasquale mazzocchi,Salernitana,27,5,90,129,46.2,2022-2023,serie-a
weston mckennie,Juventus,13,3,15,43,42.9,2022-2023,serie-a
gary medel,Bologna,19,0,4,141,50.0,2022-2023,serie-a
soualiho meite,Cremonese,27,0,9,174,62.2,2022-2023,serie-a
alex meret,Napoli,0,0,0,66,100.0,2022-2023,serie-a
yldrm mert cetin,Lecce,0,0,0,3,,2022-2023,serie-a
junior messias,Milan,24,1,25,69,37.9,2022-2023,serie-a
tommaso milanese,Cremonese,1,0,2,0,0.0,2022-2023,serie-a
nikola milenkovic,Fiorentina,39,0,0,127,70.9,2022-2023,serie-a
arkadiusz milik,Juventus,27,8,6,40,39.1,2022-2023,serie-a
sergej milinkovicsavic,Lazio,45,2,29,168,57.5,2022-2023,serie-a
vanja milinkovicsavic,Torino,0,0,0,64,85.7,2022-2023,serie-a
kim minjae,Napoli,30,0,6,211,62.8,2022-2023,serie-a
aleksei miranchuk,Torino,9,1,30,92,32.3,2022-2023,serie-a
antonio mirante,Milan,0,0,0,0,,2022-2023,serie-a
fabio miretti,Juventus,24,4,28,74,33.3,2022-2023,serie-a
