comp_name,region,country,season_start_year,squad,player_num,player_name,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url,Season,Liga
LaLiga,Europe,Spain,2024,Villarreal CF,19,Karl Etta Eyong,Right Winger,,,Cote d'Ivoire,Villarreal CF,1.83,left,,Trabzonspor,,6000000,https://www.transfermarkt.com/karl-etta-eyong/profil/spieler/1038950,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Real Valladolid CF,13,Karl Hein,Goalkeeper,,,Estonia,SV Werder Bremen,1.93,right,,Arsenal FC,,3000000,https://www.transfermarkt.com/karl-hein/profil/spieler/493513,2024-2025,La-Liga
Ligue 1,Europe,France,2024,RC Strasbourg Alsace,5,Karl-Johan Johnsson,Centre-Back,,,Cote d'Ivoire,RC Strasbourg Alsace,1.88,left,,Club Brugge KV,,10000000,https://www.transfermarkt.com/karl-johan-johnsson/profil/spieler/112822,2024-2025,Ligue-1
Serie A,Europe,Italy,2024,Hellas Verona,-,Karlson Nwanege,Attacking Midfield,,,Belgium,Montpellier HSC,1.69,right,,RC Lens,,1500000,https://www.transfermarkt.com/karlson-nwanege/profil/spieler/1062513,2024-2025,Serie-A
Ligue 1,Europe,France,2024,RC Strasbourg Alsace,-,Karol Fila,Left Winger,,,Martinique,SC Bastia,1.87,right,,Racing Strasbourg B,,,https://www.transfermarkt.com/karol-fila/profil/spieler/385817,2024-2025,Ligue-1
Serie A,Europe,Italy,2024,Torino FC,1,Karol Linetty,Goalkeeper,,,Italy,Torino FC,1.93,right,,Benevento Calcio,,,https://www.transfermarkt.com/karol-linetty/profil/spieler/225873,2024-2025,Serie-A
Bundesliga,Europe,Germany,2024,FC St. Pauli,42,Karol Mets,Defensive Midfield,,,Germany,FC St. Pauli,1.8,right,,FC St. Pauli II,,,https://www.transfermarkt.com/karol-mets/profil/spieler/139304,2024-2025,Bundesliga
Premier League,Europe,England,2024,Leicester City,4,Kasey McAteer,Centre-Back,,,England,Wrexham AFC,1.85,right,,Wolverhampton Wanderers,,2200000,https://www.transfermarkt.com/kasey-mcateer/profil/spieler/621193,2024-2025,Premier-League
Ligue 1,Europe,France,2024,AS Monaco,-,Kassoum Ouattara,Central Midfield,,,Belgium,Hull City,1.7,right,,AS Monaco B,,2000000,https://www.transfermarkt.com/kassoum-ouattara/profil/spieler/947360,2024-2025,Ligue-1
Bundesliga,Europe,Germany,2024,Eintracht Frankfurt,-,Kauã Santos,Goalkeeper,,,Sweden,Brighton & Hove Albion U21,1.94,both,,,,,https://www.transfermarkt.com/kaua-santos/profil/spieler/997861,2024-2025,Bundesliga
Ligue 1,Europe,France,2024,Stade Rennais FC,-,Kazeem Olaigbe,Defensive Midfield,,,France,Valencia CF,1.83,right,,SC Freiburg,,7000000,https://www.transfermarkt.com/kazeem-olaigbe/profil/spieler/565406,2024-2025,Ligue-1
Premier League,Europe,England,2024,Brentford FC,3,Keane Lewis-Potter,Left-Back,,,Jamaica,Brentford FC,1.7,left,,Walsall FC,,15000000,https://www.transfermarkt.com/keane-lewis-potter/profil/spieler/644401,2024-2025,Premier-League
Serie A,Europe,Italy,2024,Udinese Calcio,20,Keinan Davis,Attacking Midfield,,,Italy,UC Sampdoria,1.66,left,,Udinese Primavera,,5000000,https://www.transfermarkt.com/keinan-davis/profil/spieler/412660,2024-2025,Serie-A
Serie A,Europe,Italy,2024,AC Monza,11,Keita Baldé,Central Midfield,,,Italy,SSC Bari,1.87,right,,SS Lazio,,1500000,https://www.transfermarkt.com/keita-balde/profil/spieler/238752,2024-2025,Serie-A
