Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
hugo novoa,RB Leipzig,21,58,58,11,135,10,50.0,4,40.0,124,1,3,1,7,2022-2023,bundesliga
rjan nyland,RB Leipzig,103,0,0,0,103,0,,0,,196,0,0,0,0,2022-2023,bundesliga
tim oermann,Bochum,51,18,0,0,69,0,,0,,82,0,0,1,0,2022-2023,bundesliga
finn ole becker,Hoffenheim,58,116,88,9,262,9,44.4,5,55.6,296,10,2,5,5,2022-2023,bundesliga
mathias olesen,Köln,45,113,38,3,193,4,50.0,1,25.0,212,5,0,4,9,2022-2023,bundesliga
dani olmo,RB Leipzig,71,385,360,53,802,74,51.4,24,32.4,1358,36,15,45,30,2022-2023,bundesliga
jan olschowsky,Gladbach,177,0,0,0,177,0,,0,,300,0,0,0,0,2022-2023,bundesliga
jonas omlin,Gladbach,769,4,0,0,773,0,,0,,1262,0,0,0,0,2022-2023,bundesliga
karim onisiwo,Mainz 05,42,387,569,157,978,104,35.6,55,52.9,1365,39,33,111,50,2022-2023,bundesliga
willi orban,RB Leipzig,1473,1441,99,55,3000,17,47.1,6,35.3,4775,21,1,13,8,2022-2023,bundesliga
ivan ordets,Bochum,716,520,103,66,1335,3,66.7,1,33.3,647,4,1,9,4,2022-2023,bundesliga
jordi oseitutu,Bochum,95,125,135,21,350,24,41.7,12,50.0,758,13,8,25,11,2022-2023,bundesliga
patrick osterhage,Bochum,134,242,102,12,470,14,35.7,7,50.0,386,11,1,17,12,2022-2023,bundesliga
paulo otavio,Wolfsburg,508,676,338,29,1507,47,46.8,19,40.4,2264,24,2,28,7,2022-2023,bundesliga
thomas ouwejan,Schalke 04,172,245,196,9,604,5,20.0,4,80.0,525,13,1,9,4,2022-2023,bundesliga
reece oxford,Augsburg,47,19,2,0,67,0,,0,,70,0,0,1,0,2022-2023,bundesliga
salih ozcan,Dortmund,286,773,115,7,1171,12,50.0,5,41.7,1014,10,0,18,21,2022-2023,bundesliga
levin oztunal,Union Berlin,0,2,1,0,2,0,,0,,41,1,0,0,0,2022-2023,bundesliga
exequiel palacios,Leverkusen,364,861,220,16,1427,16,62.5,5,31.3,1349,15,2,19,24,2022-2023,bundesliga
milos pantovic,Union Berlin,34,41,33,7,107,1,0.0,0,0.0,81,0,0,3,2,2022-2023,bundesliga
antonios papadopoulos,Dortmund,8,12,1,1,21,0,,0,,56,0,0,0,0,2022-2023,bundesliga
kevin paredes,Wolfsburg,52,105,122,15,277,15,26.7,7,46.7,651,7,7,9,4,2022-2023,bundesliga
marco pasalic,Dortmund,2,3,5,0,9,1,100.0,0,0.0,53,1,0,1,1,2022-2023,bundesliga
felix passlack,Dortmund,13,25,10,1,47,1,100.0,0,0.0,43,1,0,1,1,2022-2023,bundesliga
paulinho,Leverkusen,4,18,17,3,38,4,50.0,2,50.0,58,2,3,2,1,2022-2023,bundesliga
benjamin pavard,Bayern Munich,1017,1351,337,47,2699,6,0.0,1,16.7,4097,21,2,11,2,2022-2023,bundesliga
jiri pavlenka,Werder Bremen,1275,5,0,0,1280,1,0.0,1,100.0,2157,2,2,1,0,2022-2023,bundesliga
kristian pedersen,Köln,94,91,31,2,215,7,28.6,5,71.4,222,0,0,1,1,2022-2023,bundesliga
mads pedersen,Augsburg,325,364,261,13,931,39,43.6,21,53.8,1157,29,5,34,14,2022-2023,bundesliga
jordan pefok,Union Berlin,55,195,244,71,488,16,56.3,7,43.8,177,3,1,42,26,2022-2023,bundesliga
dzenan pejcinovic,Wolfsburg,0,0,1,1,1,0,,0,,0,0,0,0,0,2022-2023,bundesliga
peter pekarik,Hertha BSC,58,66,15,0,137,0,,0,,213,0,0,1,1,2022-2023,bundesliga
luca pellegrini,Eint Frankfurt,127,224,170,10,514,26,42.3,12,46.2,674,17,2,7,5,2022-2023,bundesliga
ricardo pepi,Augsburg,6,21,14,2,40,5,60.0,2,40.0,57,2,1,4,0,2022-2023,bundesliga
juan perea,Stuttgart,14,65,66,12,145,16,25.0,12,75.0,165,4,2,17,10,2022-2023,bundesliga
