Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
benjamin pavard,Inter,599,693,184,31,1473,7,28.6,1,14.3,2195,25,1,7,0,2023-2024,serie-a
leonardo pavoletti,Cagliari,16,105,111,42,232,0,,0,,59,0,1,25,5,2023-2024,serie-a
martin payero,Udinese,173,434,255,24,829,65,36.9,33,50.8,1783,35,3,45,19,2023-2024,serie-a
marcus pedersen,Sassuolo,303,355,262,19,907,19,57.9,7,36.8,1495,34,8,30,11,2023-2024,serie-a
pedro,Lazio,60,297,203,25,551,32,43.8,14,43.8,917,30,4,29,17,2023-2024,serie-a
pietro pellegri,Torino,18,99,123,25,231,15,33.3,7,46.7,366,15,2,25,15,2023-2024,serie-a
lorenzo pellegrini,Roma,161,581,364,49,1089,38,50.0,16,42.1,1797,36,5,42,20,2023-2024,serie-a
luca pellegrini,Lazio,197,275,150,7,613,28,50.0,12,42.9,983,8,2,10,6,2023-2024,serie-a
marco pellegrino,Salernitana,171,136,12,5,318,2,50.0,1,50.0,369,2,0,1,2,2023-2024,serie-a
marco pellegrino,Milan,33,20,2,1,55,1,0.0,1,100.0,153,0,0,0,0,2023-2024,serie-a
pepin,Monza,28,87,62,2,177,4,25.0,1,25.0,162,3,0,6,1,2023-2024,serie-a
pedro pereira,Monza,164,261,179,15,600,11,45.5,4,36.4,886,18,3,6,8,2023-2024,serie-a
roberto pereyra,Udinese,182,387,254,41,806,40,40.0,22,55.0,1350,21,8,46,27,2023-2024,serie-a
nehuen perez,Udinese,947,939,133,29,1991,15,60.0,5,33.3,2854,21,1,18,6,2023-2024,serie-a
simone perilli,Hellas Verona,44,1,0,0,45,0,,0,,58,0,0,0,0,2023-2024,serie-a
mattia perin,Juventus,69,1,0,0,70,0,,0,,141,0,0,0,0,2023-2024,serie-a
samuele perisan,Empoli,33,0,0,0,33,0,,0,,53,0,0,0,0,2023-2024,serie-a
matteo pessina,Monza,502,1550,421,31,2454,34,41.2,15,44.1,4472,66,2,54,18,2023-2024,serie-a
andrea petagna,Cagliari,26,153,153,39,328,17,64.7,4,23.5,264,8,3,31,23,2023-2024,serie-a
giuseppe pezzella,Empoli,221,305,186,7,707,25,40.0,14,56.0,1406,22,1,11,6,2023-2024,serie-a
roberto piccoli,Empoli,0,4,6,1,10,1,0.0,1,100.0,1,0,0,1,0,2023-2024,serie-a
roberto piccoli,Lecce,58,206,223,77,477,34,38.2,19,55.9,595,12,14,49,31,2023-2024,serie-a
santiago pierotti,Lecce,7,56,50,13,110,11,63.6,4,36.4,93,3,4,10,5,2023-2024,serie-a
niccolo pierozzi,Salernitana,192,220,53,9,463,2,50.0,1,50.0,401,5,0,8,0,2023-2024,serie-a
andrea pinamonti,Sassuolo,76,447,420,144,936,31,38.7,16,51.6,475,11,15,63,37,2023-2024,serie-a
carlo pinsoglio,Juventus,23,0,0,0,23,0,,0,,26,0,0,0,0,2023-2024,serie-a
lorenzo pirola,Salernitana,664,567,53,21,1280,6,0.0,4,66.7,1499,7,0,5,5,2023-2024,serie-a
niccolo pisilli,Roma,0,6,1,0,7,0,,0,,10,0,0,1,0,2023-2024,serie-a
tommaso pobega,Milan,57,102,30,5,186,6,50.0,3,50.0,258,4,1,4,3,2023-2024,serie-a
paul pogba,Juventus,4,25,14,2,43,2,50.0,1,50.0,53,1,0,2,0,2023-2024,serie-a
matteo politano,Napoli,166,555,845,86,1547,83,37.3,39,47.0,3397,80,22,45,24,2023-2024,serie-a
marin pongracic,Lecce,1143,1018,60,23,2191,23,65.2,4,17.4,5791,18,1,15,3,2023-2024,serie-a
stefan posch,Bologna,852,1158,363,33,2358,26,42.3,13,50.0,3253,35,4,29,12,2023-2024,serie-a
matteo prati,Cagliari,217,574,164,22,945,9,44.4,5,55.6,701,9,1,15,7,2023-2024,serie-a
ivan provedel,Lazio,1075,17,0,0,1092,2,50.0,1,50.0,1775,0,0,1,0,2023-2024,serie-a
christian pulisic,Milan,113,588,709,128,1389,122,38.5,54,44.3,3876,62,46,70,33,2023-2024,serie-a
george puscas,Genoa,2,45,46,17,92,3,33.3,2,66.7,119,5,3,10,6,2023-2024,serie-a
domingos quina,Udinese,1,1,0,0,2,0,,0,,0,0,0,0,0,2023-2024,serie-a
adrien rabiot,Juventus,269,829,447,79,1525,54,51.9,21,38.9,2746,59,10,52,19,2023-2024,serie-a
uros racic,Sassuolo,117,284,83,5,481,7,85.7,1,14.3,493,6,0,9,6,2023-2024,serie-a
nemanja radonjic,Torino,9,50,81,15,140,23,43.5,11,47.8,251,3,6,15,3,2023-2024,serie-a
boris radunovic,Cagliari,237,1,0,0,238,0,,0,,366,0,0,1,0,2023-2024,serie-a
hamza rafia,Lecce,108,385,198,12,685,30,40.0,14,46.7,610,12,3,29,22,2023-2024,serie-a
ylber ramadani,Lecce,434,958,232,6,1589,40,57.5,14,35.0,1919,32,0,35,25,2023-2024,serie-a
luca ranieri,Fiorentina,683,775,89,16,1538,13,30.8,8,61.5,2808,22,0,13,0,2023-2024,serie-a
filippo ranocchia,Empoli,69,165,51,4,284,10,60.0,2,20.0,359,4,0,12,8,2023-2024,serie-a
giacomo raspadori,Napoli,69,373,449,90,885,30,46.7,14,46.7,899,18,12,33,18,2023-2024,serie-a
federico ravaglia,Bologna,214,4,0,0,218,1,100.0,0,0.0,320,0,0,1,0,2023-2024,serie-a
tijjani reijnders,Milan,323,1181,533,62,2022,55,63.6,17,30.9,4195,81,18,40,38,2023-2024,serie-a
reinier,Frosinone,67,256,211,33,528,18,50.0,8,44.4,526,7,1,22,15,2023-2024,serie-a
mateo retegui,Genoa,77,307,308,92,684,36,38.9,18,50.0,386,12,8,81,40,2023-2024,serie-a
samuele ricci,Torino,235,929,363,28,1516,29,31.0,18,62.1,2405,35,7,20,12,2023-2024,serie-a
ricardo rodriguez,Torino,673,989,243,9,1894,11,72.7,3,27.3,3677,36,4,10,4,2023-2024,serie-a
alessio romagnoli,Lazio,973,992,36,18,1995,1,0.0,1,100.0,2024,2,0,9,0,2023-2024,serie-a
simone romagnoli,Frosinone,1076,620,42,23,1733,0,,0,,1598,2,0,4,0,2023-2024,serie-a
luka romero,Milan,8,23,19,2,48,3,33.3,2,66.7,103,2,0,3,2,2023-2024,serie-a
marten de roon,Atalanta,589,1110,294,4,1981,9,33.3,5,55.6,2569,22,0,19,8,2023-2024,serie-a
francesco rossi,Atalanta,2,0,0,0,2,0,,0,,12,0,0,0,0,2023-2024,serie-a
nicolo rovella,Lazio,316,723,131,3,1157,18,55.6,7,38.9,1311,11,1,18,11,2023-2024,serie-a
amir rrahmani,Napoli,973,1399,116,40,2477,15,66.7,3,20.0,4596,15,1,7,6,2023-2024,serie-a
ruan,Sassuolo,460,359,43,16,853,4,50.0,2,50.0,978,4,0,6,2,2023-2024,serie-a
daniele rugani,Juventus,329,373,40,12,738,0,,0,,899,4,0,3,2,2023-2024,serie-a
matteo ruggeri,Atalanta,488,787,539,25,1799,41,51.2,16,39.0,2186,40,5,29,10,2023-2024,serie-a
mario rui,Napoli,294,647,251,8,1185,9,33.3,4,44.4,1775,21,1,10,9,2023-2024,serie-a
stefano sabelli,Genoa,303,499,440,16,1230,33,24.2,20,60.6,1772,44,4,39,11,2023-2024,serie-a
alexis saelemaekers,Bologna,177,555,558,47,1271,106,37.7,58,54.7,2370,49,17,49,25,2023-2024,serie-a
lazar samardzic,Udinese,216,616,487,32,1283,101,46.5,49,48.5,2253,39,8,53,20,2023-2024,serie-a
junior sambia,Salernitana,183,287,170,18,634,24,20.8,12,50.0,868,20,9,16,12,2023-2024,serie-a
antonio sanabria,Torino,78,467,322,82,854,32,43.8,17,53.1,721,16,4,55,23,2023-2024,serie-a
renato sanches,Roma,23,46,26,3,94,5,80.0,1,20.0,184,5,1,3,5,2023-2024,serie-a
alexis sanchez,Inter,28,189,240,37,452,22,54.5,8,36.4,581,16,4,22,15,2023-2024,serie-a
alex sandro,Juventus,217,338,85,8,639,10,30.0,3,30.0,1068,9,0,7,4,2023-2024,serie-a
nicola sansone,Lecce,48,170,159,26,372,24,45.8,11,45.8,689,10,6,7,18,2023-2024,serie-a
riccardo saponara,Hellas Verona,21,80,65,11,164,9,44.4,4,44.4,346,9,3,15,3,2023-2024,serie-a
zanos savva,Torino,7,4,4,1,15,0,,0,,5,0,0,0,1,2023-2024,serie-a
saba sazonov,Torino,147,91,5,1,242,0,,0,,290,0,0,3,0,2023-2024,serie-a
giorgio scalvini,Atalanta,790,879,209,41,1864,19,78.9,4,21.1,2433,22,6,22,12,2023-2024,serie-a
gianluca scamacca,Atalanta,35,283,340,93,655,31,48.4,11,35.5,629,21,5,72,48,2023-2024,serie-a
perr schuurs,Torino,239,233,34,7,500,2,100.0,0,0.0,562,6,0,9,5,2023-2024,serie-a
simone scuffet,Cagliari,991,4,0,0,995,0,,0,,1456,0,0,0,0,2023-2024,serie-a
demba seck,Torino,11,65,88,16,160,20,35.0,8,40.0,542,20,10,14,10,2023-2024,serie-a
demba seck,Frosinone,11,60,72,13,141,13,30.8,7,53.8,318,9,6,7,3,2023-2024,serie-a
nikola sekulov,Juventus,0,2,0,0,2,0,,0,,0,0,0,0,0,2023-2024,serie-a
vivaldo semedo,Udinese,0,2,1,1,3,0,,0,,2,0,1,1,2,2023-2024,serie-a
stefano sensi,Inter,8,39,11,0,58,1,100.0,0,0.0,101,2,0,1,1,2023-2024,serie-a
suat serdar,Hellas Verona,179,486,158,22,813,34,52.9,14,41.2,786,15,3,21,13,2023-2024,serie-a
andres sfait,Salernitana,3,2,4,0,9,1,0.0,1,100.0,19,0,0,0,0,2023-2024,serie-a
stephan el shaarawy,Roma,159,368,328,60,843,54,40.7,27,50.0,1574,29,22,27,17,2023-2024,serie-a
