Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
ibou sane,Metz,13,28,38,3,77,7,42.9,4,57.1,167,2,3,8,4,2023-2024,ligue-1
sadibou sane,Metz,239,171,34,9,441,3,100.0,0,0.0,829,3,1,4,0,2023-2024,ligue-1
arouna sangante,Le Havre,760,863,224,35,1827,17,64.7,4,23.5,2969,23,2,19,15,2023-2024,ligue-1
morgan sanson,Nice,170,505,436,46,1093,50,50.0,22,44.0,2036,51,12,61,41,2023-2024,ligue-1
baptiste santamaria,Rennes,333,906,212,18,1444,25,56.0,9,36.0,2275,28,0,27,19,2023-2024,ligue-1
andrey santos,Strasbourg,135,398,86,7,614,19,42.1,9,47.4,1018,19,0,12,10,2023-2024,ligue-1
tiago santos,Lille,371,876,494,53,1715,105,51.4,36,34.3,3810,55,22,44,26,2023-2024,ligue-1
amin sarr,Lyon,3,14,18,7,35,3,66.7,1,33.3,50,1,2,4,0,2023-2024,ligue-1
ismaila sarr,Marseille,72,252,357,89,675,45,31.1,25,55.6,1556,33,21,32,25,2023-2024,ligue-1
mamadou sarr,Lyon,1,4,0,0,5,0,,0,,5,0,0,0,0,2023-2024,ligue-1
martin satriano,Brest,79,297,347,99,714,45,46.7,24,53.3,889,22,12,67,16,2023-2024,ligue-1
teji savanier,Montpellier,434,1212,682,52,2276,108,50.9,42,38.9,3398,59,8,59,38,2023-2024,ligue-1
niklas schmidt,Toulouse,172,565,234,14,959,20,55.0,9,45.0,1630,26,1,18,9,2023-2024,ligue-1
jeremy sebas,Strasbourg,14,44,69,14,123,18,55.6,8,44.4,329,9,7,9,8,2023-2024,ligue-1
alidu seidu,Rennes,121,215,109,2,439,11,54.5,3,27.3,812,16,1,11,3,2023-2024,ligue-1
alidu seidu,Clermont Foot,372,488,55,1,905,25,44.0,12,48.0,1861,17,0,13,6,2023-2024,ligue-1
matz sels,Strasbourg,657,7,0,0,664,0,,0,,1252,0,0,0,0,2023-2024,ligue-1
marvin senaya,Strasbourg,458,693,329,27,1465,72,37.5,35,48.6,2495,43,6,37,12,2023-2024,ligue-1
sofiane sidi ali,Marseille,2,8,7,2,17,3,0.0,3,100.0,17,0,0,1,2,2023-2024,ligue-1
vincent sierro,Toulouse,314,891,396,23,1573,30,56.7,11,36.7,2250,26,4,32,24,2023-2024,ligue-1
caio henrique oliveira silva,Monaco,105,231,200,19,528,9,55.6,4,44.4,828,15,7,11,3,2023-2024,ligue-1
moses simon,Nantes,50,233,441,117,705,89,52.8,38,42.7,2905,53,55,60,37,2023-2024,ligue-1
wilfried singo,Monaco,616,961,196,27,1754,41,70.7,9,22.0,3456,48,3,18,7,2023-2024,ligue-1
ayanda sishuba,Lens,5,9,33,11,47,13,61.5,4,30.8,182,3,6,8,2,2023-2024,ligue-1
ibrahima sissoko,Strasbourg,234,550,185,29,952,21,52.4,7,33.3,1422,30,1,27,23,2023-2024,ligue-1
moussa sissoko,Nantes,175,452,211,19,823,22,45.5,11,50.0,1644,25,1,23,8,2023-2024,ligue-1
