Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
javi sanchez,Valladolid,11,5,0.18,0.5,0.5,0.04,1.5,2024-2025,laliga
juanlu sanchez,Sevilla,13,6,0.31,2.1,2.1,0.17,1.9,2024-2025,laliga
manu sanchez,Alavés,12,2,0.08,1.7,1.7,0.15,-0.7,2024-2025,laliga
maroan sannadi,Athletic Club,19,7,0.05,3.5,3.5,0.18,-2.5,2024-2025,laliga
jesus santiago,Getafe,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,laliga
aleksandar sedlar,Alavés,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,laliga
sergi,Leganés,13,5,0.15,1.5,1.5,0.11,0.5,2024-2025,laliga
nicolas serrano,Athletic Club,5,1,0.0,0.2,0.2,0.03,-0.2,2024-2025,laliga
fabio silva,Las Palmas,46,20,0.17,8.8,6.4,0.14,1.2,2024-2025,laliga
rui silva,Betis,0,0,,0.0,0.0,,0.0,2024-2025,laliga
giuliano simeone,Atlético Madrid,22,7,0.09,2.2,2.2,0.1,-0.2,2024-2025,laliga
unai simon,Athletic Club,0,0,,0.0,0.0,,0.0,2024-2025,laliga
daley sinkgraven,Las Palmas,0,0,,0.0,0.0,,0.0,2024-2025,laliga
jailson siqueira,Celta Vigo,4,2,0.0,0.1,0.1,0.04,-0.1,2024-2025,laliga
antonio sivera,Alavés,0,0,,0.0,0.0,,0.0,2024-2025,laliga
justin smith,Espanyol,0,0,,0.0,0.0,,0.0,2024-2025,laliga
alex sola,Getafe,15,2,0.0,1.0,1.0,0.06,-1.0,2024-2025,laliga
arnau sola,Villarreal,0,0,,0.0,0.0,,0.0,2024-2025,laliga
jhon solis,Girona,4,1,0.25,0.7,0.7,0.16,0.3,2024-2025,laliga
david soria,Getafe,0,0,,0.0,0.0,,0.0,2024-2025,laliga
juan soriano,Leganés,0,0,,0.0,0.0,,0.0,2024-2025,laliga
hugo sotelo,Celta Vigo,4,0,0.0,0.2,0.2,0.05,-0.2,2024-2025,laliga
djibril sow,Sevilla,22,6,0.09,2.4,2.4,0.11,-0.4,2024-2025,laliga
carl starfelt,Celta Vigo,5,1,0.2,0.5,0.5,0.1,0.5,2024-2025,laliga
orri steinn oskarsson,Real Sociedad,19,7,0.16,5.2,5.2,0.27,-2.2,2024-2025,laliga
stoichkov,Alavés,18,3,0.0,1.1,1.1,0.06,-1.1,2024-2025,laliga
cristhian stuani,Girona,31,16,0.26,8.1,5.8,0.19,2.9,2024-2025,laliga
alex suarez,Las Palmas,6,3,0.0,0.5,0.5,0.09,-0.5,2024-2025,laliga
denis suarez,Villarreal,10,3,0.1,0.9,0.9,0.09,0.1,2024-2025,laliga
luka sucic,Real Sociedad,43,11,0.02,3.3,3.3,0.08,-2.3,2024-2025,laliga
suso,Sevilla,16,4,0.0,0.7,0.7,0.05,-0.7,2024-2025,laliga
williot swedberg,Celta Vigo,32,15,0.13,5.2,5.2,0.17,-1.2,2024-2025,laliga
mamadou sylla,Valladolid,18,3,0.06,5.1,2.0,0.11,-0.1,2024-2025,laliga
wojciech szczesny,Barcelona,0,0,,0.0,0.0,,0.0,2024-2025,laliga
alexander srloth,Atlético Madrid,78,40,0.24,16.8,16.0,0.21,3.2,2024-2025,laliga
renato tapia,Leganés,14,6,0.07,0.6,0.6,0.05,0.4,2024-2025,laliga
cesar tarrega,Valencia,20,6,0.1,1.9,1.9,0.1,0.1,2024-2025,laliga
aurelien tchouameni,Real Madrid,19,3,0.0,1.7,1.7,0.09,-1.7,2024-2025,laliga
alvaro tejero,Espanyol,17,4,0.06,0.6,0.6,0.04,0.4,2024-2025,laliga
martin tejon,Valencia,1,0,0.0,0.1,0.1,0.08,-0.1,2024-2025,laliga
