Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
willi orban,RB Leipzig,23,4,5,122,69.3,2024-2025,bundesliga
ivan ordets,Bochum,22,2,0,77,67.9,2024-2025,bundesliga
patrick osterhage,Freiburg,25,5,20,106,46.3,2024-2025,bundesliga
assan ouedraogo,RB Leipzig,1,0,1,6,,2024-2025,bundesliga
salih ozcan,Wolfsburg,5,0,8,27,55.6,2024-2025,bundesliga
salih ozcan,Dortmund,11,1,3,33,65.2,2024-2025,bundesliga
exequiel palacios,Leverkusen,9,0,4,76,11.1,2024-2025,bundesliga
joao palhinha,Bayern Munich,13,0,2,17,64.5,2024-2025,bundesliga
mats pannewig,Bochum,5,0,3,24,33.3,2024-2025,bundesliga
kevin paredes,Wolfsburg,1,0,1,7,50.0,2024-2025,bundesliga
felix passlack,Bochum,29,2,113,114,31.3,2024-2025,bundesliga
aleksandar pavlovic,Bayern Munich,17,0,5,72,54.5,2024-2025,bundesliga
mads pedersen,Augsburg,5,1,5,11,33.3,2024-2025,bundesliga
jordan pefok,Union Berlin,22,7,0,31,55.7,2024-2025,bundesliga
daniel peretz,Bayern Munich,0,0,0,10,,2024-2025,bundesliga
noah pesch,Gladbach,1,0,0,1,,2024-2025,bundesliga
luca philipp,Hoffenheim,0,0,0,7,,2024-2025,bundesliga
maximilian philipp,Freiburg,0,0,0,0,0.0,2024-2025,bundesliga
benedikt pichler,Holstein Kiel,14,13,11,15,56.9,2024-2025,bundesliga
amos pieper,Werder Bremen,11,0,4,56,50.0,2024-2025,bundesliga
marvin pieringer,Heidenheim,50,15,11,63,37.1,2024-2025,bundesliga
alassane plea,Gladbach,17,8,45,66,31.9,2024-2025,bundesliga
finn porath,Holstein Kiel,31,0,84,79,51.0,2024-2025,bundesliga
yussuf poulsen,RB Leipzig,8,1,2,16,71.1,2024-2025,bundesliga
alexander prass,Hoffenheim,17,0,54,92,44.1,2024-2025,bundesliga
david preu,Union Berlin,1,1,4,4,0.0,2024-2025,bundesliga
grischa promel,Hoffenheim,0,0,2,7,25.0,2024-2025,bundesliga
ivan prtajin,Union Berlin,1,2,3,4,37.0,2024-2025,bundesliga
tymoteusz puchacz,Holstein Kiel,2,1,37,32,50.0,2024-2025,bundesliga
leopold querfeld,Union Berlin,20,0,0,66,54.6,2024-2025,bundesliga
grant ranos,Gladbach,1,0,0,0,0.0,2024-2025,bundesliga
david raum,RB Leipzig,23,6,188,92,39.4,2024-2025,bundesliga
rocco reitz,Gladbach,20,0,22,94,52.9,2024-2025,bundesliga
nicolai remberg,Holstein Kiel,43,2,8,101,62.3,2024-2025,bundesliga
elvis rexhbecaj,Augsburg,13,1,71,85,34.5,2024-2025,bundesliga
gio reyna,Dortmund,8,0,15,19,53.8,2024-2025,bundesliga
fabian rieder,Stuttgart,14,0,39,45,23.5,2024-2025,bundesliga
lasse rie,Mainz 05,0,0,0,4,,2024-2025,bundesliga
lars ritzka,St. Pauli,10,1,19,35,24.1,2024-2025,bundesliga
mads roerslev,Wolfsburg,2,0,7,8,22.2,2024-2025,bundesliga
