Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
chadi riad,Crystal Palace,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
declan rice,Arsenal,48,14,0.08,3.5,3.5,0.07,0.5,2024-2025,premier-league
chris richards,Crystal Palace,12,6,0.08,1.4,1.4,0.12,-0.4,2024-2025,premier-league
richarlison,Tottenham,17,7,0.24,3.7,3.7,0.22,0.3,2024-2025,premier-league
andrew robertson,Liverpool,15,2,0.0,1.2,1.2,0.08,-1.2,2024-2025,premier-league
antonee robinson,Fulham,16,2,0.0,0.7,0.7,0.04,-0.7,2024-2025,premier-league
jay robinson,Southampton,1,1,0.0,0.0,0.0,0.05,0.0,2024-2025,premier-league
rodri,Manchester City,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
guido rodriguez,West Ham,8,1,0.0,0.2,0.2,0.03,-0.2,2024-2025,premier-league
mads roerslev,Brentford,5,2,0.0,0.2,0.2,0.04,-0.2,2024-2025,premier-league
morgan rogers,Aston Villa,55,20,0.15,6.6,6.6,0.12,1.4,2024-2025,premier-league
cristian romero,Tottenham,16,8,0.06,1.6,1.6,0.1,-0.6,2024-2025,premier-league
georginio rutter,Brighton,50,12,0.1,4.6,4.6,0.09,0.4,2024-2025,premier-league
jose sa,Wolves,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
bukayo saka,Arsenal,66,22,0.08,6.8,6.0,0.09,-0.8,2024-2025,premier-league
mohamed salah,Liverpool,121,50,0.17,25.2,18.2,0.15,3.8,2024-2025,premier-league
william saliba,Arsenal,6,2,0.33,2.3,2.3,0.38,-0.3,2024-2025,premier-league
robert sanchez,Chelsea,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jadon sancho,Chelsea,24,8,0.13,2.2,2.2,0.09,0.8,2024-2025,premier-league
ibrahim sangare,Nott'ham Forest,1,1,0.0,0.0,0.0,0.02,0.0,2024-2025,premier-league
pablo sarabia,Wolves,17,8,0.18,2.9,2.9,0.17,0.1,2024-2025,premier-league
jeremy sarmiento,Brighton,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
ismaila sarr,Crystal Palace,59,29,0.14,10.7,10.7,0.19,-2.7,2024-2025,premier-league
savio,Manchester City,55,21,0.02,5.0,5.0,0.09,-4.0,2024-2025,premier-league
oliver scarles,West Ham,3,0,0.0,0.1,0.1,0.04,-0.1,2024-2025,premier-league
dane scarlett,Tottenham,1,1,0.0,0.0,0.0,0.04,0.0,2024-2025,premier-league
kevin schade,Brentford,55,27,0.2,8.2,8.2,0.15,2.8,2024-2025,premier-league
