Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
jamal musiala,Bayern Munich,66,25,0.18,8.0,8.0,0.12,4.0,2022-2023,bundesliga
marlon mustapha,Mainz 05,3,0,0.0,0.5,0.5,0.18,-0.5,2022-2023,bundesliga
obite ndicka,Eint Frankfurt,17,3,0.06,1.4,1.4,0.08,-0.4,2022-2023,bundesliga
nathan ngoumou,Gladbach,13,4,0.08,0.8,0.8,0.06,0.2,2022-2023,bundesliga
stanley nsoki,Hoffenheim,6,2,0.17,0.5,0.5,0.09,0.5,2022-2023,bundesliga
nikolas nartey,Stuttgart,4,0,0.0,0.3,0.3,0.07,-0.3,2022-2023,bundesliga
luca netz,Gladbach,4,2,0.25,1.0,1.0,0.26,0.0,2022-2023,bundesliga
manuel neuer,Bayern Munich,2,1,0.0,0.2,0.2,0.11,-0.2,2022-2023,bundesliga
florian neuhaus,Gladbach,28,6,0.04,2.0,2.0,0.07,-1.0,2022-2023,bundesliga
jessic ngankam,Hertha BSC,18,7,0.17,4.1,3.3,0.19,-0.1,2022-2023,bundesliga
florian niederlechner,Augsburg,28,15,0.14,2.9,2.9,0.1,1.1,2022-2023,bundesliga
florian niederlechner,Hertha BSC,21,7,0.05,2.3,2.3,0.11,-1.3,2022-2023,bundesliga
justin njinmah,Dortmund,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
christopher nkunku,RB Leipzig,70,25,0.19,14.4,11.3,0.16,1.6,2022-2023,bundesliga
felix nmecha,Wolfsburg,37,9,0.08,2.7,2.7,0.07,0.3,2022-2023,bundesliga
lukas nmecha,Wolfsburg,22,7,0.18,3.0,3.0,0.14,1.0,2022-2023,bundesliga
hugo novoa,RB Leipzig,3,2,0.33,0.9,0.9,0.29,0.1,2022-2023,bundesliga
rjan nyland,RB Leipzig,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
tim oermann,Bochum,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
finn ole becker,Hoffenheim,6,2,0.0,0.4,0.4,0.07,-0.4,2022-2023,bundesliga
mathias olesen,Köln,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
dani olmo,RB Leipzig,43,16,0.05,2.9,2.9,0.07,-0.9,2022-2023,bundesliga
jan olschowsky,Gladbach,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
jonas omlin,Gladbach,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
karim onisiwo,Mainz 05,68,32,0.15,8.2,8.2,0.12,1.8,2022-2023,bundesliga
willi orban,RB Leipzig,27,10,0.15,3.0,3.0,0.11,1.0,2022-2023,bundesliga
ivan ordets,Bochum,17,1,0.0,1.4,1.4,0.08,-1.4,2022-2023,bundesliga
jordi oseitutu,Bochum,12,5,0.0,0.7,0.7,0.05,-0.7,2022-2023,bundesliga
patrick osterhage,Bochum,6,0,0.0,0.3,0.3,0.04,-0.3,2022-2023,bundesliga
paulo otavio,Wolfsburg,19,1,0.0,0.8,0.8,0.04,-0.8,2022-2023,bundesliga
thomas ouwejan,Schalke 04,5,1,0.0,0.1,0.1,0.03,-0.1,2022-2023,bundesliga
reece oxford,Augsburg,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
salih ozcan,Dortmund,3,1,0.0,0.6,0.6,0.19,-0.6,2022-2023,bundesliga
levin oztunal,Union Berlin,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
exequiel palacios,Leverkusen,17,4,0.06,3.0,0.6,0.04,1.0,2022-2023,bundesliga
milos pantovic,Union Berlin,5,2,0.2,1.4,0.6,0.11,-0.4,2022-2023,bundesliga
