Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
sergi darder,Mallorca,15,16,9,37.0,17,26,16,19,1,18,23,1,2024-2025,laliga
rodrigo de paul,Atlético Madrid,12,16,5,42.4,14,26,6,25,2,23,15,3,2024-2025,laliga
mouctar diakhaby,Valencia,8,0,0,66.7,4,3,11,8,6,2,56,0,2024-2025,laliga
assane diao,Betis,1,3,1,44.4,4,3,0,3,0,3,3,0,2024-2025,laliga
moussa diarra,Alavés,19,18,3,58.6,17,24,21,15,5,10,46,1,2024-2025,laliga
brahim diaz,Real Madrid,9,13,3,36.8,7,19,4,16,1,15,2,1,2024-2025,laliga
daniel diaz,Real Sociedad,1,0,0,,0,1,0,1,0,1,0,0,2024-2025,laliga
pedro diaz,Rayo Vallecano,7,14,2,34.1,14,15,7,16,0,16,7,1,2024-2025,laliga
diego,Leganés,0,0,1,14.3,1,1,2,4,1,3,11,0,2024-2025,laliga
stole dimitrievski,Valencia,0,0,0,,0,0,0,0,0,0,3,1,2024-2025,laliga
yan diomande,Leganés,1,8,5,33.3,5,9,8,8,0,8,6,0,2024-2025,laliga
alvaro djalo,Athletic Club,3,2,3,33.3,1,5,1,4,0,4,4,0,2024-2025,laliga
djene,Getafe,12,11,2,37.5,12,13,21,18,8,10,107,3,2024-2025,laliga
marko dmitrovic,Leganés,1,0,0,50.0,1,1,0,0,0,0,27,3,2024-2025,laliga
marc domenech,Mallorca,2,1,1,40.0,2,4,0,2,0,2,2,0,2024-2025,laliga
carlos dominguez,Celta Vigo,14,9,0,71.4,15,11,13,16,11,5,80,1,2024-2025,laliga
israel dominguez,Sevilla,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,laliga
sergi dominguez,Barcelona,1,0,0,,0,1,3,0,0,0,7,0,2024-2025,laliga
anastasios douvikas,Celta Vigo,2,6,1,50.0,3,4,3,5,2,3,6,0,2024-2025,laliga
domingos duarte,Getafe,22,4,2,81.0,17,15,18,28,16,12,152,1,2024-2025,laliga
duk,Leganés,3,3,2,60.0,3,4,1,4,0,4,2,0,2024-2025,laliga
pablo duran,Celta Vigo,4,7,6,31.3,5,9,8,12,3,9,18,0,2024-2025,laliga
hugo duro,Valencia,4,7,2,38.5,5,8,10,11,2,9,11,0,2024-2025,laliga
chidera ejuke,Sevilla,8,9,2,45.0,9,13,5,12,0,12,8,0,2024-2025,laliga
aritz elustondo,Real Sociedad,15,3,2,57.9,11,11,11,17,12,5,96,0,2024-2025,laliga
adri embarba,Rayo Vallecano,17,17,7,38.3,18,20,13,18,1,17,14,2,2024-2025,laliga
endrick,Real Madrid,1,0,0,33.3,1,1,4,0,0,0,1,0,2024-2025,laliga
alfonso espino,Rayo Vallecano,31,8,2,55.3,26,24,12,19,6,13,32,1,2024-2025,laliga
dario essugo,Las Palmas,28,26,5,60.9,28,45,42,28,11,17,47,7,2024-2025,laliga
etienne etoo,Rayo Vallecano,0,0,0,0.0,0,0,0,0,0,0,1,0,2024-2025,laliga
karl etta,Villarreal,0,0,0,0.0,0,0,0,1,0,1,0,0,2024-2025,laliga
edu exposito,Espanyol,9,13,1,39.1,9,13,15,3,0,3,21,2,2024-2025,laliga
abde ezzalzouli,Betis,17,16,4,55.6,15,25,7,22,3,19,19,0,2024-2025,laliga
ansu fati,Barcelona,0,2,2,50.0,1,1,1,1,0,1,0,1,2024-2025,laliga
nabil fekir,Betis,1,1,1,50.0,1,2,0,2,0,2,0,0,2024-2025,laliga
kiko femenia,Villarreal,34,14,2,57.9,33,34,40,21,10,11,62,3,2024-2025,laliga
aitor fernandez,Osasuna,0,0,0,,0,0,0,0,0,0,2,0,2024-2025,laliga
alvaro fernandez,Sevilla,0,0,0,0.0,0,0,0,0,0,0,7,0,2024-2025,laliga
pelayo fernandez,Rayo Vallecano,0,0,0,,0,0,2,0,0,0,9,0,2024-2025,laliga
roberto fernandez,Espanyol,2,1,1,0.0,0,4,3,9,1,8,26,0,2024-2025,laliga
valery fernandez,Mallorca,3,2,3,71.4,5,7,0,3,1,2,1,0,2024-2025,laliga
andre ferreira,Valladolid,0,0,0,,0,0,0,0,0,0,4,2,2024-2025,laliga
mateo flores,Betis,3,0,0,100.0,1,1,2,1,0,1,3,0,2024-2025,laliga
pablo fornals,Betis,12,6,3,33.3,10,13,23,24,4,20,15,1,2024-2025,laliga
hector fort,Barcelona,6,4,3,62.5,10,8,6,12,0,12,16,0,2024-2025,laliga
