Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
breel embolo,Monaco,2,7,6,50.0,5,9,5,14,3,11,12,0,2022-2023,ligue1
maxime esteve,Montpellier,17,5,2,70.6,12,13,34,28,17,11,90,0,2022-2023,ligue1
fabio,Nantes,1,2,1,66.7,4,2,3,2,0,2,11,0,2022-2023,ligue1
noah fadiga,Brest,18,9,3,53.8,14,21,26,17,7,10,18,0,2022-2023,ligue1
wout faes,Reims,1,0,0,50.0,1,1,7,6,3,3,19,0,2022-2023,ligue1
romain faivre,Lorient,5,4,4,20.0,5,8,1,11,0,11,4,0,2022-2023,ligue1
romain faivre,Lyon,2,2,2,33.3,1,3,0,3,0,3,0,0,2022-2023,ligue1
fallou fall,Reims,0,0,0,0.0,0,0,0,3,3,0,4,0,2022-2023,ligue1
khalil fayad,Montpellier,12,16,2,57.1,12,14,9,8,1,7,4,0,2022-2023,ligue1
cheikh faye,Montpellier,0,0,0,,0,0,1,0,0,0,0,0,2022-2023,ligue1
jordan ferri,Montpellier,32,19,4,33.7,30,35,26,22,6,16,21,0,2022-2023,ligue1
karol fila,Strasbourg,0,0,0,,0,0,1,0,0,0,1,0,2022-2023,ligue1
alexis flips,Reims,18,17,16,42.2,27,30,24,35,5,30,12,0,2022-2023,ligue1
seko fofana,Lens,8,18,2,38.5,15,13,19,17,4,13,14,0,2022-2023,ligue1
yahia fofana,Angers,0,0,0,,0,0,1,0,0,0,4,1,2022-2023,ligue1
youssouf fofana,Monaco,31,42,8,51.4,38,41,56,50,6,44,32,1,2022-2023,ligue1
thomas foket,Reims,18,11,6,37.0,17,22,33,21,7,14,29,2,2022-2023,ligue1
jose fonte,Lille,18,4,1,47.6,10,17,25,27,14,13,112,2,2022-2023,ligue1
steven fortes,Lens,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,ligue1
przemysaw frankowski,Lens,37,31,9,48.8,39,51,41,38,6,32,42,2,2022-2023,ligue1
angelo fulgini,Lens,2,4,8,35.7,5,7,8,11,0,11,2,0,2022-2023,ligue1
gauthier gallon,Troyes,2,0,0,50.0,2,2,2,0,0,0,17,0,2022-2023,ligue1
kevin gameiro,Strasbourg,6,10,4,28.6,8,10,9,10,1,9,0,0,2022-2023,ligue1
ignatius ganago,Nantes,2,3,4,57.1,4,7,2,13,1,12,12,0,2022-2023,ligue1
ignatius ganago,Lens,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,ligue1
johan gastien,Clermont Foot,30,23,9,34.2,38,34,36,37,7,30,25,1,2022-2023,ligue1
denis genreau,Toulouse,16,12,7,41.9,13,13,8,16,1,15,9,0,2022-2023,ligue1
valere germain,Montpellier,3,5,5,33.3,4,11,6,8,0,8,12,0,2022-2023,ligue1
gerson,Marseille,1,4,1,60.0,3,4,2,5,0,5,4,0,2022-2023,ligue1
ismael gharbi,Paris S-G,0,0,0,0.0,0,0,3,2,0,2,0,0,2022-2023,ligue1
faouzi ghoulam,Angers,1,1,1,60.0,3,3,4,4,2,2,12,1,2022-2023,ligue1
samuel gigot,Marseille,22,21,3,80.0,12,24,45,24,7,17,85,1,2022-2023,ligue1
andrei girotto,Nantes,71,45,6,56.1,74,73,73,55,24,31,176,1,2022-2023,ligue1
aleksandr golovin,Monaco,19,32,11,38.9,28,36,37,28,1,27,10,0,2022-2023,ligue1
andre gomes,Lille,12,17,8,36.5,19,19,9,20,5,15,16,1,2022-2023,ligue1
angel gomes,Lille,12,21,8,36.7,18,19,13,22,2,20,11,1,2022-2023,ligue1
maxime gonalons,Clermont Foot,25,21,6,47.2,25,32,20,21,1,20,7,1,2022-2023,ligue1
oumar gonzalez,Ajaccio,34,13,4,62.2,23,28,52,32,11,21,82,0,2022-2023,ligue1
amine gouiri,Nice,1,0,0,0.0,0,1,0,1,0,1,3,0,2022-2023,ligue1
amine gouiri,Rennes,14,16,12,42.4,14,25,12,21,0,21,10,0,2022-2023,ligue1
jonathan gradit,Lens,30,25,7,58.5,31,40,38,40,26,14,83,0,2022-2023,ligue1
andrew gravillon,Reims,9,6,1,61.5,8,8,21,18,9,9,36,0,2022-2023,ligue1
adrian grbic,Lorient,0,0,0,0.0,0,0,0,3,0,3,0,0,2022-2023,ligue1
gabriel gudmundsson,Lille,7,10,2,54.5,12,11,10,11,2,9,20,0,2022-2023,ligue1
axel gueguin,Montpellier,0,0,0,,0,0,0,1,0,1,0,0,2022-2023,ligue1
matteo guendouzi,Marseille,9,21,9,36.8,14,18,21,12,5,7,18,0,2022-2023,ligue1
evann guessand,Nantes,8,13,3,50.0,6,16,9,17,1,16,6,0,2022-2023,ligue1
pape gueye,Marseille,10,7,1,46.7,7,7,9,9,2,7,2,0,2022-2023,ligue1
frederic guilbert,Strasbourg,18,23,6,58.1,25,29,43,24,3,21,33,1,2022-2023,ligue1
serhou guirassy,Rennes,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,ligue1
rafik guitane,Reims,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,ligue1
malo gusto,Lyon,23,11,8,48.8,21,26,28,22,5,17,23,1,2022-2023,ligue1
jaouen hadjam,Nantes,13,9,5,64.0,16,21,12,10,3,7,12,0,2022-2023,ligue1
massadio haidara,Lens,9,9,6,50.0,12,16,36,26,9,17,39,1,2022-2023,ligue1
achraf hakimi,Paris S-G,19,20,15,52.5,31,34,16,34,2,32,19,0,2022-2023,ligue1
mathis hamdi,Troyes,0,0,0,0.0,0,0,1,0,0,0,1,0,2022-2023,ligue1
ben hamed toure,Ajaccio,2,2,0,20.0,1,4,1,2,0,2,4,0,2022-2023,ligue1
romain hamouma,Ajaccio,3,3,2,50.0,3,3,2,8,0,8,2,0,2022-2023,ligue1
said hamulic,Toulouse,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,ligue1
amine harit,Marseille,0,3,3,37.5,3,4,4,4,1,3,6,0,2022-2023,ligue1
rhys healey,Toulouse,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,ligue1
gauthier hein,Auxerre,13,11,3,37.5,18,20,6,10,0,10,10,0,2022-2023,ligue1
henrique,Lyon,3,2,4,46.2,6,4,5,3,1,2,8,0,2022-2023,ligue1
christophe herelle,Brest,7,2,1,30.8,4,4,20,16,11,5,48,0,2022-2023,ligue1
noah holm,Reims,2,2,2,40.0,2,4,0,0,0,0,5,0,2022-2023,ligue1
