Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
joan garcia,Espanyol,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
raul garcia,Athletic Club,3,4,5,33.3,5,8,6,13,1,12,9,0,2022-2023,laliga
ruben garcia,Osasuna,12,4,4,29.2,7,11,12,14,1,13,13,0,2022-2023,laliga
unai garcia,Osasuna,13,8,2,70.6,12,13,19,23,14,9,60,2,2022-2023,laliga
felix garreta,Betis,0,1,0,,0,0,1,1,1,0,4,0,2022-2023,laliga
aleix garrido,Barcelona,1,0,1,100.0,1,1,0,1,0,1,0,0,2022-2023,laliga
sekou gassama,Valladolid,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
gavi,Barcelona,7,30,10,38.2,21,31,18,32,5,27,22,0,2022-2023,laliga
paulo gazzaniga,Girona,0,0,0,0.0,0,0,1,0,0,0,9,5,2022-2023,laliga
bryan gil,Sevilla,11,7,4,43.5,10,11,8,10,0,10,10,0,2022-2023,laliga
david gil,Cádiz,0,0,0,,0,0,0,0,0,0,3,0,2022-2023,laliga
oscar gil,Espanyol,38,16,9,52.5,32,37,31,51,18,33,55,1,2022-2023,laliga
alvaro gimenez,Cádiz,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,laliga
dani gomez,Espanyol,1,1,0,50.0,1,1,1,0,0,0,0,0,2022-2023,laliga
maxi gomez,Valencia,0,0,0,,0,0,0,0,0,0,2,0,2022-2023,laliga
moi gomez,Osasuna,9,14,3,46.9,15,17,10,15,3,12,5,1,2022-2023,laliga
papu gomez,Sevilla,3,3,0,20.0,2,4,4,8,1,7,5,0,2022-2023,laliga
sergi gomez,Espanyol,20,9,0,81.8,18,16,27,33,19,14,125,1,2022-2023,laliga
antonio gomis,Atlético Madrid,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
diego gonzalez,Elche,9,3,0,63.6,7,7,7,14,12,2,50,1,2022-2023,laliga
edgar gonzalez,Betis,18,7,3,51.9,14,19,21,12,9,3,120,0,2022-2023,laliga
giovanni gonzalez,Mallorca,11,2,3,40.9,9,8,7,8,2,6,22,0,2022-2023,laliga
nicolas gonzalez,Valencia,11,13,3,36.0,9,15,19,21,7,14,16,0,2022-2023,laliga
roberto gonzalez,Betis,0,0,0,0.0,0,0,1,0,0,0,0,0,2022-2023,laliga
andoni gorosabel,Real Sociedad,23,9,9,60.5,26,25,17,21,2,19,23,0,2022-2023,laliga
jose gragera,Espanyol,11,6,2,54.5,6,9,7,10,4,6,18,0,2022-2023,laliga
ivo grbic,Atlético Madrid,0,0,0,,0,0,0,0,0,0,9,1,2022-2023,laliga
dominik greif,Mallorca,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
clement grenier,Mallorca,6,12,2,50.0,10,8,6,9,1,8,7,0,2022-2023,laliga
antoine griezmann,Atlético Madrid,15,23,11,30.3,20,34,24,34,3,31,31,0,2022-2023,laliga
andres guardado,Betis,17,20,4,41.9,18,25,23,14,5,9,29,0,2022-2023,laliga
sergi guardiola,Valladolid,6,5,1,50.0,2,7,2,6,0,6,7,0,2022-2023,laliga
sergi guardiola,Cádiz,0,6,3,25.0,3,7,3,5,0,5,7,0,2022-2023,laliga
