nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
genki haraguchi,stuttgart,MF,1991,2,0,27,0,0,0,0,1,3,0,2023-2024,bundesliga
makoto hasebe,eint frankfurt,"DF,MF",1984,8,2,218,0,0,1,0,0,10,3,2023-2024,bundesliga
thorgan hazard,dortmund,DF,1993,1,0,7,0,0,0,0,0,2,1,2023-2024,bundesliga
dominique heintz,koln,DF,1993,12,6,568,0,0,0,0,10,30,16,2023-2024,bundesliga
benjamin henrichs,rb leipzig,DF,1997,33,28,2526,1,5,5,0,53,124,161,2023-2024,bundesliga
patrick herrmann,gladbach,"FW,DF",1991,8,0,86,0,0,1,0,3,6,8,2023-2024,bundesliga
piero hincapie,leverkusen,DF,2002,26,16,1484,1,2,2,0,34,102,50,2023-2024,bundesliga
adam hlozek,leverkusen,"MF,FW",2002,23,5,459,2,3,1,0,14,13,33,2023-2024,bundesliga
nicolas hofler,freiburg,MF,1990,28,26,2330,1,1,10,1,14,94,15,2023-2024,bundesliga
jonas hofmann,leverkusen,MF,1992,32,26,2204,5,7,3,0,63,119,221,2023-2024,bundesliga
philipp hofmann,bochum,FW,1993,29,18,1571,4,2,1,0,7,36,86,2023-2024,bundesliga
