nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
alex sola,real sociedad,DF,1999,10,3,349,0,0,1,0,8,4,19,2022-2023,laliga
augusto solari,celta vigo,MF,1992,12,3,262,0,1,0,0,5,12,14,2022-2023,laliga
carlos soler,valencia,MF,1997,3,3,242,1,0,0,0,3,13,7,2022-2023,laliga
david soria,getafe,GK,1993,38,38,3420,0,0,2,0,0,1,0,2022-2023,laliga
hugo sotelo,celta vigo,MF,2003,1,0,17,0,0,0,0,0,2,0,2022-2023,laliga
dyego sousa,almeria,FW,1989,20,3,527,0,1,1,0,10,16,39,2022-2023,laliga
vinicius souza,espanyol,MF,1999,34,27,2428,1,1,10,1,13,82,14,2022-2023,laliga
jrgen strand larsen,celta vigo,FW,2000,32,20,1705,4,4,4,0,17,14,73,2022-2023,laliga
cristhian stuani,girona,FW,1986,32,8,1090,9,0,8,0,2,10,26,2022-2023,laliga
damian suarez,getafe,"DF,MF",1988,28,26,1946,1,1,7,0,21,80,72,2022-2023,laliga
denis suarez,espanyol,"MF,FW",1994,18,11,945,0,0,2,0,26,43,34,2022-2023,laliga
mario suarez,rayo vallecano,"MF,DF",1987,2,0,12,0,0,0,1,0,0,0,2022-2023,laliga
suso,sevilla,"MF,FW",1993,25,10,1065,2,4,1,0,27,86,96,2022-2023,laliga
williot swedberg,celta vigo,MF,2004,4,0,55,0,0,1,0,1,4,5,2022-2023,laliga
alexander srloth,real sociedad,FW,1995,34,28,2386,12,3,4,0,41,20,132,2022-2023,laliga
renato tapia,celta vigo,"MF,DF",1995,28,16,1451,0,0,8,1,12,68,8,2022-2023,laliga
aurelien tchouameni,real madrid,MF,2000,33,24,2119,0,4,2,0,41,142,23,2022-2023,laliga
alex telles,sevilla,DF,1992,27,15,1427,0,2,6,0,21,42,80,2022-2023,laliga
marcandre ter stegen,barcelona,GK,1992,38,38,3347,0,0,0,0,0,4,0,2022-2023,laliga
ramon terrats,villarreal,MF,2000,16,11,816,1,1,1,0,21,45,32,2022-2023,laliga
ramon terrats,girona,MF,2000,8,2,212,0,0,0,0,4,6,4,2022-2023,laliga
raul de tomas,rayo vallecano,FW,1994,19,9,805,4,0,2,0,13,18,51,2022-2023,laliga
pablo torre,barcelona,"FW,MF",2003,8,1,144,0,0,0,0,4,11,16,2022-2023,laliga
