nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
seydou fini,genoa,"DF,FW",2006,3,0,35,0,0,0,0,1,0,2,2023-2024,serie-a
vincenzo fiorillo,salernitana,GK,1990,4,4,360,0,0,1,1,0,0,0,2023-2024,serie-a
alessandro florenzi,milan,DF,1991,31,19,1732,1,4,5,0,29,106,50,2023-2024,serie-a
michael folorunsho,hellas verona,"MF,FW",1998,34,33,2781,5,1,5,0,56,54,110,2023-2024,serie-a
davide frattesi,inter,MF,1999,32,6,955,6,3,1,0,27,37,40,2023-2024,serie-a
morten frendrup,genoa,MF,2001,37,36,3145,2,5,6,0,36,105,69,2023-2024,serie-a
remo freuler,bologna,MF,1992,32,30,2624,1,1,9,0,37,165,48,2023-2024,serie-a
gerardo fusco,salernitana,FW,2005,1,0,15,0,0,0,0,0,0,1,2023-2024,serie-a
matteo gabbia,milan,DF,1999,18,14,1275,2,1,5,0,11,42,2,2023-2024,serie-a
gianluca gaetano,cagliari,"FW,MF",2000,11,10,745,4,1,1,1,17,41,42,2023-2024,serie-a
gianluca gaetano,napoli,MF,2000,9,1,161,1,0,1,0,6,6,5,2023-2024,serie-a
roberto gagliardini,monza,"MF,DF",1994,33,29,2360,1,2,5,0,38,120,36,2023-2024,serie-a
pablo galdames millan,genoa,"MF,DF",1996,2,0,11,0,0,0,0,0,5,1,2023-2024,serie-a
antonino gallo,lecce,DF,2000,35,30,2490,0,3,2,0,69,125,101,2023-2024,serie-a
luca garritano,frosinone,"MF,DF",1994,12,5,485,0,0,1,0,6,23,23,2023-2024,serie-a
federico gatti,juventus,DF,1998,32,30,2637,4,0,7,0,52,122,43,2023-2024,serie-a
francesco gelli,frosinone,"MF,DF",1996,27,16,1561,0,0,3,0,42,61,87,2023-2024,serie-a
luca gemello,torino,GK,2000,2,2,180,0,0,0,0,0,0,0,2023-2024,serie-a
valentin gendrey,lecce,DF,2000,37,35,3044,2,3,5,0,77,116,86,2023-2024,serie-a
fares ghedjemis,frosinone,"FW,MF",2002,6,1,182,0,0,1,0,7,2,19,2023-2024,serie-a
lautaro gianetti,udinese,DF,1993,7,7,630,1,0,4,0,2,4,0,2023-2024,serie-a
mario gila,lazio,DF,2000,21,21,1809,0,0,4,1,21,93,12,2023-2024,serie-a
gvidas gineitis,torino,MF,2004,14,4,538,0,0,2,0,9,25,12,2023-2024,serie-a
olivier giroud,milan,FW,1986,35,28,2363,15,8,1,1,9,28,95,2023-2024,serie-a
edoardo goldaniga,cagliari,DF,1993,13,12,1011,0,0,3,0,9,50,3,2023-2024,serie-a
pierluigi gollini,napoli,GK,1995,7,7,630,0,0,0,0,0,0,0,2023-2024,serie-a
papu gomez,monza,"MF,FW",1988,2,0,41,0,0,0,0,2,3,1,2023-2024,serie-a
iron gomis,salernitana,MF,1999,5,1,134,0,0,0,0,3,4,16,2023-2024,serie-a
joan gonzalez,lecce,MF,2002,29,13,1291,1,1,6,0,25,49,41,2023-2024,serie-a
nicolas gonzalez,fiorentina,FW,1998,29,21,1913,12,2,1,0,53,100,190,2023-2024,serie-a
alberto grassi,empoli,MF,1995,27,22,1807,0,1,6,1,13,75,13,2023-2024,serie-a
matteo guendouzi,lazio,MF,1999,33,27,2367,2,3,3,1,46,119,79,2023-2024,serie-a
axel guessand,udinese,DF,2004,1,0,45,0,0,0,0,1,1,1,2023-2024,serie-a
albert gumundsson,genoa,"FW,MF",1997,35,34,3016,14,4,4,0,82,120,168,2023-2024,serie-a
emmanuel gyasi,empoli,"DF,FW",1994,33,21,1879,1,2,8,0,15,41,60,2023-2024,serie-a
norbert gyomber,salernitana,DF,1992,22,20,1760,0,0,9,0,4,42,2,2023-2024,serie-a
nicolas haas,empoli,MF,1996,1,1,90,0,0,1,0,0,6,4,2023-2024,serie-a
ridgeciano haps,genoa,DF,1993,16,7,773,0,1,0,0,13,13,42,2023-2024,serie-a
abdou harroui,frosinone,"MF,FW",1998,18,13,1019,3,3,2,0,43,38,56,2023-2024,serie-a
hans hateboer,atalanta,DF,1994,23,10,1113,0,1,5,0,19,42,71,2023-2024,serie-a
pantelis hatzidiakos,cagliari,DF,1997,13,13,856,0,0,1,0,3,34,7,2023-2024,serie-a
silvan hefti,genoa,"MF,DF",1997,6,1,114,0,0,0,0,1,2,4,2023-2024,serie-a
liam henderson,empoli,MF,1996,1,0,5,0,0,0,0,0,0,0,2023-2024,serie-a
matheus henrique,sassuolo,MF,1997,31,27,2501,2,2,8,1,43,94,44,2023-2024,serie-a
thomas henry,hellas verona,FW,1994,18,2,334,3,0,2,2,2,3,20,2023-2024,serie-a
theo hernandez,milan,DF,1997,32,31,2791,5,4,11,1,116,166,124,2023-2024,serie-a
isak hien,hellas verona,DF,1999,10,9,864,0,0,1,1,8,26,1,2023-2024,serie-a
isak hien,atalanta,DF,1999,16,9,937,0,1,3,0,0,24,0,2023-2024,serie-a
emil holm,atalanta,DF,2000,22,12,947,1,1,5,0,28,27,80,2023-2024,serie-a
martin hongla,hellas verona,MF,1998,15,12,1084,0,0,0,0,6,57,6,2023-2024,serie-a
