"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","Season"
"Ligue 1","France",2024,"Angers SCO","25","Abdoulaye Bamba","Centre-Back",NA,35,"Cote d'Ivoire","Angers SCO","1.82","right",NA,"Without Club",NA,3e+05,"https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Yacine Gaya","Centre-Back",NA,20,"Algeria","Quevilly - Rouen Métropole","1.94","left",NA,NA,NA,NA,"https://www.transfermarkt.com/yacine-gaya/profil/spieler/743520","2024-2025"
"Ligue 1","France",2024,"Angers SCO","3","Jacques Ekomié","Left-Back",NA,21,"Gabon","Angers SCO","1.79","left",NA,"FC Girondins Bordeaux",NA,8e+05,"https://www.transfermarkt.com/jacques-ekomie/profil/spieler/970279","2024-2025"
"Ligue 1","France",2024,"Angers SCO","26","Florent Hanin","Left-Back",NA,35,"France","Angers SCO","1.77","left",NA,"Paris FC",NA,3e+05,"https://www.transfermarkt.com/florent-hanin/profil/spieler/111811","2024-2025"
"Ligue 1","France",2024,"Angers SCO","2","Carlens Arcus","Right-Back",NA,29,"Haiti","Angers SCO","1.76","right",NA,"Vitesse Arnhem",NA,1800000,"https://www.transfermarkt.com/carlens-arcus/profil/spieler/371686","2024-2025"
"Ligue 1","France",2024,"Angers SCO","27","Lilian Raolisoa","Right-Back",NA,25,"France","Angers SCO","1.78","right",NA,"Angers SCO B",NA,8e+05,"https://www.transfermarkt.com/lilian-raolisoa/profil/spieler/829874","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Halid Sabanovic","Right-Back",NA,25,"Bosnia-Herzegovina","Without Club","1.82","right",NA,"FK Sarajevo",NA,150000,"https://www.transfermarkt.com/halid-sabanovic/profil/spieler/422986","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Marius Louër","Right-Back",NA,18,"France","Angers SCO","1.81","right",NA,"Angers SCO B",NA,NA,"https://www.transfermarkt.com/marius-louer/profil/spieler/1103652","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Jean-Eudes Aholou","Defensive Midfield",NA,31,"Cote d'Ivoire","Umm Salal SC","1.86","left",NA,"RC Strasbourg Alsace",NA,2e+06,"https://www.transfermarkt.com/jean-eudes-aholou/profil/spieler/178313","2024-2025"
"Ligue 1","France",2024,"Angers SCO","12","Zinédine Ould Khaled","Defensive Midfield",NA,25,"France","Sabah FK","1.95","right",NA,"Angers SCO B",NA,4e+05,"https://www.transfermarkt.com/zinedine-ould-khaled/profil/spieler/650104","2024-2025"
"Ligue 1","France",2024,"Angers SCO","5","Marius Courcoul","Defensive Midfield",NA,18,"France","Angers SCO","1.82","right",NA,"Angers SCO B",NA,3e+05,"https://www.transfermarkt.com/marius-courcoul/profil/spieler/1075575","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Enzo Caumont","Defensive Midfield",NA,21,"France","AS Cannes",NA,"right",NA,NA,NA,50000,"https://www.transfermarkt.com/enzo-caumont/profil/spieler/743522","2024-2025"
"Ligue 1","France",2024,"Angers SCO","93","Haris Belkebla","Central Midfield",NA,31,"Algeria","Angers SCO","1.77","right",NA,"Ohod Club",NA,2e+06,"https://www.transfermarkt.com/haris-belkebla/profil/spieler/138055","2024-2025"
"Ligue 1","France",2024,"Angers SCO","14","Yassin Belkhdim","Central Midfield",NA,23,"Morocco","Angers SCO","1.75","right",NA,"Angers SCO B",NA,1e+06,"https://www.transfermarkt.com/yassin-belkhdim/profil/spieler/807688","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Joseph Lopy","Central Midfield",NA,33,"Senegal","Without Club","1.81","right",NA,"Nîmes Olympique",NA,3e+05,"https://www.transfermarkt.com/joseph-lopy/profil/spieler/204585","2024-2025"
