Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
javier manquillo,Celta Vigo,La-Liga,2024-2025,161,222,31,1,413,1,0.0,1,1.0,454,5,1,1,0
marcao,Sevilla,La-Liga,2024-2025,234,143,6,3,382,5,0.4,1,0.2,415,0,0,4,3
oscar de marcos,Athletic Club,La-Liga,2024-2025,303,573,288,16,1158,17,0.235,11,0.647,1036,24,2,11,7
alberto mari,Valencia,La-Liga,2024-2025,0,3,1,0,4,0,,0,,10,0,0,0,0
jose maria gimenez,Atlético Madrid,La-Liga,2024-2025,822,735,30,11,1582,3,0.667,1,0.33299999999999996,2336,2,0,6,3
arkaitz mariezkurrena,Real Sociedad,La-Liga,2024-2025,22,38,46,8,105,5,0.6,2,0.4,100,1,1,9,6
pablo marin,Real Sociedad,La-Liga,2024-2025,101,348,202,24,641,35,0.5710000000000001,13,0.371,753,20,6,40,17
mika marmol,Las Palmas,La-Liga,2024-2025,681,890,257,16,1820,15,0.467,8,0.5329999999999999,2342,26,1,15,5
mario maroto,Valladolid,La-Liga,2024-2025,9,29,11,1,49,1,1.0,0,0.0,18,2,0,1,0
unai marrero,Real Sociedad,La-Liga,2024-2025,66,0,0,0,66,0,,0,,48,0,0,0,0
carlos martin,Alavés,La-Liga,2024-2025,117,265,236,40,612,36,0.25,26,0.722,507,11,4,32,19
diego martin,Las Palmas,La-Liga,2024-2025,3,7,9,1,19,0,,0,,24,0,0,0,0
gerard martin,Barcelona,La-Liga,2024-2025,203,384,326,19,909,11,0.364,7,0.636,720,12,1,7,4
ivan martin,Girona,La-Liga,2024-2025,285,902,412,18,1577,47,0.532,16,0.34,3039,55,1,43,27
jon martin,Real Sociedad,La-Liga,2024-2025,381,278,20,13,677,0,,0,,1034,1,0,8,0
mario martin,Valladolid,La-Liga,2024-2025,349,582,164,25,1083,38,0.5,15,0.395,1352,16,2,37,23
arnau martinez,Girona,La-Liga,2024-2025,625,1009,488,55,2108,37,0.541,14,0.37799999999999995,2704,31,5,25,14
inigo martinez,Barcelona,La-Liga,2024-2025,875,1629,156,26,2652,3,1.0,0,0.0,7336,53,0,11,3
javi martinez,Osasuna,La-Liga,2024-2025,2,8,0,0,10,0,,0,,2,0,0,0,0
ramon martinez,Sevilla,La-Liga,2024-2025,83,75,9,3,167,1,1.0,0,0.0,204,1,0,1,1
toni martinez,Alavés,La-Liga,2024-2025,34,171,203,70,401,15,0.6,5,0.33299999999999996,270,9,7,41,11
javi marton,Athletic Club,La-Liga,2024-2025,1,8,5,0,14,0,,0,,1,0,0,5,0
marvin,Las Palmas,La-Liga,2024-2025,166,292,207,19,658,18,0.111,14,0.778,879,20,1,26,8
omar mascarell,Mallorca,La-Liga,2024-2025,374,719,107,10,1189,15,0.667,4,0.267,1063,13,1,11,9
jaime mata,Las Palmas,La-Liga,2024-2025,20,135,116,38,270,9,0.556,3,0.33299999999999996,158,3,2,17,3
borja mayoral,Getafe,La-Liga,2024-2025,27,174,171,40,365,20,0.3,10,0.5,321,9,8,23,20
kylian mbappe,Real Madrid,La-Liga,2024-2025,35,439,1114,320,1563,187,0.444,91,0.48700000000000004,3808,95,96,84,49
oliver mcburnie,Las Palmas,La-Liga,2024-2025,57,307,247,93,605,34,0.47100000000000003,18,0.529,233,4,7,38,21
scott mckenna,Las Palmas,La-Liga,2024-2025,1035,661,54,23,1745,3,1.0,0,0.0,2131,10,2,8,4
mateo mejia,Sevilla,La-Liga,2024-2025,0,1,1,0,2,1,0.0,0,0.0,0,0,0,0,0
arthur melo,Girona,La-Liga,2024-2025,174,488,150,2,806,14,0.5710000000000001,3,0.214,1684,18,0,10,9
brais mendez,Real Sociedad,La-Liga,2024-2025,129,527,369,58,1020,50,0.28,31,0.62,1127,17,8,37,34
ferland mendy,Real Madrid,La-Liga,2024-2025,188,408,149,4,739,6,0.5,3,0.5,717,10,1,10,9
nobel mendy,Betis,La-Liga,2024-2025,43,28,0,0,71,0,,0,,68,0,0,1,0
victor meseguer,Valladolid,La-Liga,2024-2025,59,124,51,11,234,4,0.25,3,0.75,151,1,0,7,3
miguel,Leganés,La-Liga,2024-2025,51,205,222,60,470,36,0.222,25,0.6940000000000001,343,17,9,72,26
eder militao,Real Madrid,La-Liga,2024-2025,395,395,33,13,819,8,0.625,3,0.375,1593,7,0,6,3
luis milla,Getafe,La-Liga,2024-2025,251,1049,524,20,1801,39,0.5379999999999999,14,0.359,2139,37,4,46,17
pere milla,Espanyol,La-Liga,2024-2025,44,107,91,17,239,7,0.28600000000000003,4,0.5710000000000001,239,5,4,16,6
oscar mingueza,Celta Vigo,La-Liga,2024-2025,598,1123,759,42,2460,60,0.41700000000000004,31,0.517,3345,62,12,41,14
kim minsu,Girona,La-Liga,2024-2025,0,8,10,0,18,2,0.0,2,1.0,9,0,0,3,1
bojan miovski,Girona,La-Liga,2024-2025,20,73,89,29,182,7,0.429,2,0.28600000000000003,83,1,4,17,6
rafa mir,Valencia,La-Liga,2024-2025,48,137,111,27,294,14,0.14300000000000002,11,0.7859999999999999,266,7,0,12,8
