Player,Squad,Season,Competition,Pos,Min,MP,Starts,Value,performance_score,penalty_score,adjusted_score,Evaluated_Position
adam smith,bournemouth,2024-2025,premier-league,Right-Back,1590.0,25.0,19.0,750000.0,0.14685858420796682,0.0412,0.10565858420796682,Right-Back
sergio carreira,celta vigo,2024-2025,laliga,Right-Back,1656.0,23.0,19.0,4000000.0,0.20977187506989392,0.035699999999999996,0.1740718750698939,Right-Back
tariq lamptey,brighton,2024-2025,premier-league,Right-Back,860.0,15.0,10.0,11000000.0,0.21824728394618287,0.0426,0.17564728394618287,Right-Back
santiago ascacibar,cremonese,2022-2023,serie-a,Defensive Midfield,727.0,13.0,7.0,6500000.0,0.20157290717426707,0.0371,0.16447290717426707,Defensive Midfield
oliver skipp,tottenham,2022-2023,premier-league,Defensive Midfield,1491.0,23.0,18.0,15000000.0,0.20079455682857755,0.0592,0.14159455682857755,Defensive Midfield
rodri,manchester city,2022-2023,premier-league,Defensive Midfield,2911.0,36.0,34.0,90000000.0,0.5025822803418754,0.0388,0.46378228034187535,Defensive Midfield
conor coventry,west ham,2022-2023,premier-league,Defensive Midfield,1.0,1.0,0.0,1800000.0,0.0,0.0,0.0,Defensive Midfield
christian gro,werder bremen,2022-2023,bundesliga,Defensive Midfield,1886.0,26.0,23.0,500000.0,0.22644872782942846,0.04970000000000001,0.17674872782942846,Defensive Midfield
walace,udinese,2022-2023,serie-a,Defensive Midfield,3190.0,37.0,37.0,7000000.0,0.3385824884380417,0.0453,0.29328248843804167,Defensive Midfield
rani khedira,union berlin,2022-2023,bundesliga,Defensive Midfield,2882.0,33.0,33.0,10000000.0,0.20661192131902983,0.042100000000000005,0.16451192131902984,Defensive Midfield
julian baumgartlinger,augsburg,2022-2023,bundesliga,Defensive Midfield,554.0,16.0,3.0,400000.0,0.14662836698637516,0.0341,0.11252836698637517,Defensive Midfield
eric martel,köln,2022-2023,bundesliga,Defensive Midfield,2019.0,29.0,23.0,9000000.0,0.2335673511472794,0.0637,0.16986735114727938,Defensive Midfield
etienne capoue,villarreal,2022-2023,laliga,Defensive Midfield,1955.0,28.0,22.0,3000000.0,0.22673903313541535,0.0402,0.18653903313541537,Defensive Midfield
maxime lopez,sassuolo,2022-2023,serie-a,Defensive Midfield,2296.0,30.0,25.0,15000000.0,0.3232992699989563,0.0412,0.2820992699989563,Defensive Midfield
jack colback,nott'ham forest,2022-2023,premier-league,Defensive Midfield,497.0,11.0,4.0,600000.0,0.11846811022478916,0.028999999999999998,0.08946811022478916,Defensive Midfield
nathaniel chalobah,fulham,2022-2023,premier-league,Defensive Midfield,12.0,4.0,1.0,1800000.0,0.14534659949839582,1.125,-0.9796534005016042,Defensive Midfield
ibrahim sangare,nott'ham forest,2023-2024,premier-league,Defensive Midfield,1035.0,17.0,13.0,30000000.0,0.10016956054097517,0.05739999999999999,0.04276956054097518,Defensive Midfield
lennard maloney,heidenheim,2023-2024,bundesliga,Defensive Midfield,2284.0,29.0,27.0,5000000.0,0.14075592315351454,0.035,0.10575592315351454,Defensive Midfield
lesley ugochukwu,chelsea,2023-2024,premier-league,Defensive Midfield,301.0,12.0,3.0,25000000.0,0.1144262078966861,0.057,0.0574262078966861,Defensive Midfield
ryan gravenberch,bayern munich,2023-2024,bundesliga,Defensive Midfield,10.0,1.0,0.0,35000000.0,0.04105772315420721,0.36,-0.3189422768457928,Defensive Midfield
aleksandar pavlovic,bayern munich,2023-2024,bundesliga,Defensive Midfield,1227.0,19.0,14.0,30000000.0,0.15990917667158538,0.057300000000000004,0.10260917667158538,Defensive Midfield
yves bissouma,tottenham,2023-2024,premier-league,Defensive Midfield,2068.0,28.0,26.0,35000000.0,0.2316883080389839,0.08449999999999999,0.14718830803898392,Defensive Midfield
tomas soucek,west ham,2023-2024,premier-league,Defensive Midfield,2870.0,37.0,34.0,30000000.0,0.13687487838808296,0.0334,0.10347487838808296,Defensive Midfield
lucien agoume,inter,2023-2024,serie-a,Defensive Midfield,5.0,1.0,0.0,6000000.0,0.0654336079670236,0.0,0.0654336079670236,Defensive Midfield
casemiro,manchester utd,2023-2024,premier-league,Defensive Midfield,1982.0,25.0,24.0,20000000.0,0.21599393833569075,0.0479,0.16809393833569075,Defensive Midfield
norman theuerkauf,heidenheim,2023-2024,bundesliga,Defensive Midfield,1259.0,25.0,14.0,300000.0,0.11844793995325464,0.0307,0.08774793995325464,Defensive Midfield
robert andrich,leverkusen,2023-2024,bundesliga,Defensive Midfield,1690.0,28.0,18.0,17000000.0,0.17325164126843806,0.032799999999999996,0.14045164126843807,Defensive Midfield
carlos baleba,brighton,2023-2024,premier-league,Defensive Midfield,1325.0,27.0,15.0,22000000.0,0.14907709925625962,0.08430000000000001,0.0647770992562596,Defensive Midfield
romeo lavia,chelsea,2023-2024,premier-league,Defensive Midfield,33.0,1.0,0.0,35000000.0,0.05108920015969874,0.0273,0.02378920015969874,Defensive Midfield
ibrahim sulemana,cagliari,2023-2024,serie-a,Defensive Midfield,1339.0,21.0,16.0,4000000.0,0.09692171920508842,0.0539,0.04302171920508842,Defensive Midfield
christian nrgaard,brentford,2023-2024,premier-league,Defensive Midfield,2505.0,31.0,30.0,18000000.0,0.1780315677069681,0.041699999999999994,0.1363315677069681,Defensive Midfield
robert andrich,leverkusen,2024-2025,bundesliga,Defensive Midfield,1598.0,23.0,19.0,9000000.0,0.23816799206785555,0.0331,0.20506799206785556,Defensive Midfield
martin zubimendi,real sociedad,2024-2025,laliga,Defensive Midfield,2962.0,36.0,33.0,60000000.0,0.3476964759366663,0.0456,0.30209647593666633,Defensive Midfield
kristijan jakic,augsburg,2024-2025,bundesliga,Defensive Midfield,2306.0,31.0,27.0,6500000.0,0.261766308667453,0.045,0.216766308667453,Defensive Midfield
oliver abildgaard,como,2024-2025,serie-a,Defensive Midfield,7.0,1.0,0.0,1000000.0,0.08131408668509965,0.0,0.08131408668509965,Defensive Midfield
yacine adli,fiorentina,2024-2025,serie-a,Defensive Midfield,1219.0,25.0,14.0,11000000.0,0.2769659371345467,0.046,0.23096593713454672,Defensive Midfield
aurelien tchouameni,real madrid,2024-2025,laliga,Defensive Midfield,2689.0,32.0,31.0,75000000.0,0.4061402722610669,0.0284,0.37774027226106693,Defensive Midfield
granit xhaka,leverkusen,2024-2025,bundesliga,Defensive Midfield,2888.0,33.0,33.0,12000000.0,0.44668445097547055,0.0369,0.40978445097547056,Defensive Midfield
pape gueye,villarreal,2024-2025,laliga,Defensive Midfield,2224.0,34.0,26.0,15000000.0,0.30134889820853483,0.060500000000000005,0.24084889820853483,Defensive Midfield
moises caicedo,chelsea,2024-2025,premier-league,Defensive Midfield,3351.0,38.0,38.0,90000000.0,0.438577577007557,0.0526,0.385977577007557,Defensive Midfield
tim breithaupt,augsburg,2024-2025,bundesliga,Defensive Midfield,120.0,2.0,2.0,2500000.0,0.16766708866202096,0.0675,0.10016708866202095,Defensive Midfield
thomas partey,arsenal,2024-2025,premier-league,Defensive Midfield,2797.0,35.0,31.0,14000000.0,0.37238427614257397,0.0436,0.328784276142574,Defensive Midfield
iker munoz,osasuna,2024-2025,laliga,Defensive Midfield,610.0,23.0,4.0,3000000.0,0.16212697516298152,0.0549,0.10722697516298152,Defensive Midfield
angelo stiller,stuttgart,2024-2025,bundesliga,Defensive Midfield,2741.0,32.0,31.0,45000000.0,0.39794380543822183,0.0427,0.3552438054382218,Defensive Midfield
eduardo camavinga,real madrid,2022-2023,laliga,Central Midfield,2010.0,37.0,21.0,85000000.0,0.26806794989566485,0.06810000000000001,0.19996794989566485,Central Midfield
tommaso milanese,cremonese,2022-2023,serie-a,Central Midfield,27.0,2.0,0.0,1200000.0,0.11366809909350441,0.19990000000000002,-0.08623190090649561,Central Midfield
lewis cook,bournemouth,2022-2023,premier-league,Central Midfield,1720.0,28.0,18.0,10000000.0,0.13813473147294242,0.0387,0.09943473147294242,Central Midfield
charles aranguiz,leverkusen,2022-2023,bundesliga,Central Midfield,493.0,10.0,4.0,3500000.0,0.10032647777878101,0.0402,0.06012647777878101,Central Midfield
kerem demirbay,leverkusen,2022-2023,bundesliga,Central Midfield,1544.0,25.0,17.0,6000000.0,0.18795471462664318,0.0658,0.12215471462664318,Central Midfield
paul pogba,juventus,2022-2023,serie-a,Central Midfield,111.0,6.0,1.0,15000000.0,0.09803413574473488,0.09720000000000002,0.0008341357447348569,Central Midfield
cafu,nott'ham forest,2022-2023,premier-league,Central Midfield,7.0,1.0,0.0,600000.0,0.05637620508896094,0.0,0.05637620508896094,Central Midfield
joe rothwell,bournemouth,2022-2023,premier-league,Central Midfield,1016.0,20.0,12.0,4000000.0,0.1082253922683685,0.0319,0.0763253922683685,Central Midfield
lewis miley,newcastle utd,2022-2023,premier-league,Central Midfield,15.0,1.0,0.0,,0.03088861166447645,0.0,0.03088861166447645,Central Midfield
jeanvictor makengo,udinese,2022-2023,serie-a,Central Midfield,805.0,16.0,11.0,10000000.0,0.11225306383806212,0.0581,0.05415306383806212,Central Midfield
niklas schmidt,werder bremen,2022-2023,bundesliga,Central Midfield,1087.0,24.0,11.0,2500000.0,0.1632513804794637,0.059800000000000006,0.10345138047946369,Central Midfield
albert sambi lokonga,arsenal,2022-2023,premier-league,Central Midfield,198.0,6.0,2.0,15000000.0,0.09420143093733652,0.018000000000000002,0.07620143093733651,Central Midfield
thiago alcantara,liverpool,2022-2023,premier-league,Central Midfield,1254.0,18.0,14.0,15000000.0,0.20753819816100375,0.065,0.14253819816100374,Central Midfield
ben pearson,bournemouth,2022-2023,premier-league,Central Midfield,286.0,7.0,3.0,2200000.0,0.05252661248456663,0.0565,-0.003973387515433371,Central Midfield
pablo fornals,west ham,2022-2023,premier-league,Central Midfield,1503.0,32.0,17.0,22000000.0,0.14446922370143891,0.039,0.10546922370143891,Central Midfield
andres guardado,betis,2022-2023,laliga,Central Midfield,1373.0,26.0,16.0,1500000.0,0.1560605280755367,0.0439,0.1121605280755367,Central Midfield
jens stage,werder bremen,2022-2023,bundesliga,Central Midfield,1855.0,32.0,21.0,5000000.0,0.10727192530339805,0.0454,0.061871925303398044,Central Midfield
jack hinshelwood,brighton,2022-2023,premier-league,Central Midfield,2.0,1.0,0.0,150000.0,0.10573156348010114,0.0,0.10573156348010114,Central Midfield
mattias svanberg,wolfsburg,2022-2023,bundesliga,Central Midfield,1835.0,32.0,21.0,18000000.0,0.13468927865962416,0.0638,0.07088927865962416,Central Midfield
josh onomah,fulham,2022-2023,premier-league,Central Midfield,15.0,2.0,0.0,1500000.0,0.08805003165735202,0.18,-0.09194996834264797,Central Midfield
ederson,atalanta,2022-2023,serie-a,Central Midfield,2215.0,35.0,25.0,20000000.0,0.2063283014341133,0.0601,0.1462283014341133,Central Midfield
lewis cook,bournemouth,2023-2024,premier-league,Central Midfield,2786.0,33.0,32.0,12000000.0,0.19323974668892033,0.0454,0.14783974668892033,Central Midfield
mathias jensen,brentford,2023-2024,premier-league,Central Midfield,2204.0,32.0,27.0,28000000.0,0.1785565498567491,0.046900000000000004,0.1316565498567491,Central Midfield
conor gallagher,chelsea,2023-2024,premier-league,Central Midfield,3128.0,37.0,37.0,50000000.0,0.23557700330597506,0.07700000000000001,0.15857700330597505,Central Midfield
james milner,brighton,2023-2024,premier-league,Central Midfield,773.0,15.0,11.0,1000000.0,0.13502629489193171,0.04889999999999999,0.08612629489193172,Central Midfield
daniel gore,manchester utd,2023-2024,premier-league,Central Midfield,1.0,1.0,0.0,900000.0,0.18478159537477734,0.0,0.18478159537477734,Central Midfield
yunus musah,milan,2023-2024,serie-a,Central Midfield,1478.0,30.0,13.0,22000000.0,0.1354334713753077,0.0631,0.0723334713753077,Central Midfield
jens stage,werder bremen,2023-2024,bundesliga,Central Midfield,2327.0,30.0,26.0,7500000.0,0.1347616312370954,0.0457,0.0890616312370954,Central Midfield
pablo fornals,west ham,2023-2024,premier-league,Central Midfield,426.0,15.0,4.0,14000000.0,0.09799389701684334,0.056999999999999995,0.04099389701684335,Central Midfield
janik haberer,union berlin,2023-2024,bundesliga,Central Midfield,1221.0,21.0,14.0,3000000.0,0.11784411883337771,0.051699999999999996,0.06614411883337772,Central Midfield
ruben loftuscheek,milan,2023-2024,serie-a,Central Midfield,2068.0,29.0,26.0,25000000.0,0.1405975371839438,0.060000000000000005,0.0805975371839438,Central Midfield
mohamed kaba,lecce,2023-2024,serie-a,Central Midfield,1378.0,23.0,15.0,3500000.0,0.10838728480304467,0.0847,0.023687284803044675,Central Midfield
josh brownhill,burnley,2023-2024,premier-league,Central Midfield,2252.0,33.0,23.0,15000000.0,0.1546837176471799,0.044000000000000004,0.11068371764717988,Central Midfield
piotr zielinski,napoli,2023-2024,serie-a,Central Midfield,1924.0,28.0,23.0,22000000.0,0.17453186873514126,0.032299999999999995,0.14223186873514126,Central Midfield
exequiel palacios,leverkusen,2023-2024,bundesliga,Central Midfield,1831.0,24.0,21.0,45000000.0,0.24853171160679305,0.045200000000000004,0.20333171160679303,Central Midfield
