Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
niclas fullkrug,Dortmund,378,66.1,340,70.9,110,68.2,36,63.9,3.1,3.3,4.9,25,16,1,2023-2024,bundesliga
cristian gamboa,Bochum,350,73.7,175,88.6,187,78.1,97,44.3,0.5,0.9,0.5,28,12,6,2023-2024,bundesliga
dennis geiger,Hoffenheim,8,66.7,5,60.0,6,83.3,1,0.0,0.2,0.1,-0.2,3,0,0,2023-2024,bundesliga
yannick gerhardt,Wolfsburg,585,77.4,379,87.1,261,77.4,57,45.6,0.9,1.8,0.1,43,8,2,2023-2024,bundesliga
anwar el ghazi,Mainz 05,15,68.2,12,75.0,6,50.0,1,100.0,0.2,0.0,0.8,1,0,0,2023-2024,bundesliga
benedikt gimber,Heidenheim,681,80.5,192,83.3,476,90.1,156,58.3,1.1,1.1,-0.1,14,0,0,2023-2024,bundesliga
matthias ginter,Freiburg,1039,83.1,378,91.5,682,88.7,165,49.7,1.4,1.5,0.6,86,9,2,2023-2024,bundesliga
jamie gittens,Dortmund,284,78.2,226,86.7,85,81.2,22,45.5,2.8,3.0,1.2,14,15,2,2023-2024,bundesliga
klaus gjasula,Darmstadt 98,615,82.4,237,89.0,354,87.0,128,67.2,0.2,0.8,-0.2,58,13,3,2023-2024,bundesliga
serge gnabry,Bayern Munich,180,84.1,117,91.5,70,87.1,11,54.5,1.2,2.0,-0.2,8,13,0,2023-2024,bundesliga
leon goretzka,Bayern Munich,1559,88.9,819,92.1,739,92.2,136,72.8,5.3,4.7,1.7,176,27,2,2023-2024,bundesliga
robin gosens,Union Berlin,858,72.5,544,82.7,429,71.8,129,56.6,3.0,3.3,0.0,78,35,17,2023-2024,bundesliga
mario gotze,Eint Frankfurt,1050,79.2,672,88.2,439,79.7,124,55.6,3.0,3.8,-1.0,81,32,5,2023-2024,bundesliga
jeffrey gouweleeuw,Augsburg,1147,77.0,375,89.1,711,89.5,354,47.2,1.8,1.6,-1.8,156,19,3,2023-2024,bundesliga
jens grahl,Eint Frankfurt,61,66.3,10,100.0,43,95.3,39,25.6,0.2,0.0,0.8,2,0,0,2023-2024,bundesliga
ryan gravenberch,Bayern Munich,5,71.4,2,100.0,3,100.0,0,,0.2,0.1,-0.2,0,0,0,2023-2024,bundesliga
michael gregoritsch,Freiburg,268,60.9,240,62.5,112,72.3,30,63.3,1.0,1.3,3.0,21,15,2,2023-2024,bundesliga
vincenzo grifo,Freiburg,971,72.7,523,85.3,465,78.7,259,46.3,8.2,7.5,-0.2,87,42,14,2023-2024,bundesliga
florian grillitsch,Hoffenheim,1496,85.3,642,90.3,826,90.8,234,63.2,1.7,1.9,4.3,152,20,3,2023-2024,bundesliga
alex grimaldo,Leverkusen,1762,82.0,1208,92.4,606,82.5,200,44.0,9.1,11.1,3.9,79,71,22,2023-2024,bundesliga
christian gro,Werder Bremen,427,85.6,187,86.6,254,90.2,39,66.7,0.4,0.3,0.6,32,4,1,2023-2024,bundesliga
brajan gruda,Mainz 05,425,64.6,269,77.7,229,67.7,92,33.7,4.1,5.1,-1.1,31,31,3,2023-2024,bundesliga
ilia gruev,Werder Bremen,1,100.0,1,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
raphael guerreiro,Bayern Munich,880,86.5,581,92.4,325,86.5,63,61.9,2.0,3.4,-2.0,68,26,9,2023-2024,bundesliga
josuha guilavogui,Mainz 05,155,86.1,64,92.2,90,92.2,19,47.4,0.1,0.2,0.9,6,1,0,2023-2024,bundesliga
serhou guirassy,Stuttgart,629,81.0,489,87.9,163,79.1,23,73.9,6.6,5.4,-3.6,38,25,0,2023-2024,bundesliga
peter gulacsi,RB Leipzig,406,86.4,112,100.0,213,100.0,145,55.9,0.0,0.0,0.0,2,0,0,2023-2024,bundesliga
manuel gulde,Freiburg,942,86.0,348,88.8,589,92.7,135,56.3,0.1,0.5,-0.1,59,6,1,2023-2024,bundesliga
robert gumny,Augsburg,138,70.8,72,76.4,92,70.7,22,68.2,0.1,0.2,-0.1,7,1,1,2023-2024,bundesliga
christian gunter,Freiburg,387,76.6,211,91.9,189,81.5,74,45.9,2.1,1.9,-0.1,18,11,9,2023-2024,bundesliga
janik haberer,Union Berlin,412,74.5,263,82.9,186,79.0,66,48.5,0.6,1.2,0.4,28,6,5,2023-2024,bundesliga
robin hack,Gladbach,389,74.1,256,85.5,148,77.7,61,49.2,2.3,2.0,-0.3,25,16,6,2023-2024,bundesliga
amadou haidara,RB Leipzig,694,84.1,372,87.1,350,88.6,63,71.4,1.6,1.6,-0.6,95,19,1,2023-2024,bundesliga
sebastien haller,Dortmund,78,67.8,66,71.2,27,70.4,3,100.0,0.7,0.9,0.3,9,1,0,2023-2024,bundesliga
andreas hancheolsen,Mainz 05,342,77.9,165,81.2,202,87.6,60,45.0,0.0,0.1,0.0,10,0,0,2023-2024,bundesliga
isak hansenaaren,Werder Bremen,11,78.6,6,83.3,5,80.0,2,50.0,0.1,0.1,-0.1,0,1,0,2023-2024,bundesliga
genki haraguchi,Stuttgart,14,77.8,9,88.9,5,100.0,3,33.3,0.0,0.0,0.0,2,0,0,2023-2024,bundesliga
makoto hasebe,Eint Frankfurt,166,87.8,56,92.9,109,91.7,23,60.9,0.0,0.2,0.0,7,2,0,2023-2024,bundesliga
thorgan hazard,Dortmund,7,77.8,6,66.7,2,100.0,1,100.0,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
dominique heintz,Köln,349,82.5,144,90.3,205,90.7,63,49.2,0.5,0.7,-0.5,24,6,5,2023-2024,bundesliga
benjamin henrichs,RB Leipzig,1314,78.7,743,88.4,673,81.4,165,51.5,4.4,6.0,0.6,78,46,11,2023-2024,bundesliga
patrick herrmann,Gladbach,29,65.9,23,69.6,11,63.6,7,85.7,0.1,0.1,-0.1,2,1,0,2023-2024,bundesliga
piero hincapie,Leverkusen,1307,91.1,788,96.2,509,92.1,91,57.1,0.5,0.9,1.5,99,9,0,2023-2024,bundesliga
adam hlozek,Leverkusen,123,80.9,88,88.6,42,81.0,8,75.0,0.9,1.2,2.1,5,2,0,2023-2024,bundesliga
nicolas hofler,Freiburg,985,85.4,492,86.6,515,90.9,81,72.8,0.4,0.7,0.6,82,6,0,2023-2024,bundesliga
jonas hofmann,Leverkusen,1214,79.3,795,88.1,437,82.6,183,56.3,8.1,8.3,-1.1,71,41,5,2023-2024,bundesliga
philipp hofmann,Bochum,266,63.9,233,71.7,130,59.2,10,60.0,1.7,1.3,0.3,17,11,0,2023-2024,bundesliga
lucas holer,Freiburg,494,66.8,419,71.8,182,69.8,36,66.7,2.1,2.0,-0.1,34,12,1,2023-2024,bundesliga
fabian holland,Darmstadt 98,720,78.3,349,88.0,361,86.7,162,54.3,1.5,1.4,0.5,84,9,2,2023-2024,bundesliga
benedict hollerbach,Union Berlin,253,63.6,190,80.5,106,65.1,35,48.6,1.3,1.4,-1.3,18,18,5,2023-2024,bundesliga
gerrit holtmann,Darmstadt 98,113,72.9,70,87.1,60,70.0,13,30.8,0.3,0.3,-0.3,12,4,0,2023-2024,bundesliga
franck honorat,Gladbach,802,66.4,520,83.1,365,67.4,211,39.8,9.3,9.4,-0.3,37,56,28,2023-2024,bundesliga
mathias honsak,Darmstadt 98,210,73.7,147,81.6,84,78.6,22,63.6,0.7,0.7,0.3,11,6,1,2023-2024,bundesliga
fraser hornby,Darmstadt 98,35,55.6,35,68.6,13,53.8,3,100.0,0.3,0.5,-0.3,0,2,0,2023-2024,bundesliga
lukas hradecky,Leverkusen,706,79.7,187,99.5,369,97.6,320,48.8,0.0,0.0,0.0,4,0,0,2023-2024,bundesliga
