Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
dodi lukebakio,Sevilla,269,76.6,173,88.4,100,80.0,40,57.5,0.7,1.1,0.3,8,10,4,2023-2024,laliga
andriy lunin,Real Madrid,580,87.1,148,99.3,335,98.5,176,56.8,0.3,0.0,-0.3,6,0,0,2023-2024,laliga
darwin machis,Cádiz,177,61.0,101,84.2,103,64.1,60,36.7,0.7,1.1,-0.7,12,7,6,2023-2024,laliga
pablo maffeo,Mallorca,374,62.0,207,83.1,233,66.5,116,32.8,0.9,0.9,1.1,32,9,8,2023-2024,laliga
jon magunazelaia,Real Sociedad,30,66.7,24,70.8,15,66.7,0,,0.5,0.3,-0.5,1,0,0,2023-2024,laliga
nemanja maksimovic,Getafe,844,81.5,557,86.9,338,82.2,62,59.7,1.1,1.6,-1.1,67,7,1,2023-2024,laliga
giorgi mamardashvili,Valencia,589,53.0,111,96.4,262,96.6,734,31.1,0.4,0.1,-0.4,26,1,0,2023-2024,laliga
wilson manafa,Granada,104,77.0,57,91.2,52,78.8,18,50.0,0.3,0.2,-0.3,2,3,1,2023-2024,laliga
reinildo mandava,Atlético Madrid,353,85.3,210,90.5,157,89.2,29,51.7,0.6,0.5,0.4,21,3,1,2023-2024,laliga
aissa mandi,Villarreal,671,91.4,257,91.4,355,96.6,108,81.5,0.7,0.4,-0.7,57,4,0,2023-2024,laliga
javier manquillo,Celta Vigo,357,81.9,198,90.4,193,82.9,26,42.3,0.2,0.4,0.8,22,4,0,2023-2024,laliga
faitout maouassa,Granada,58,59.8,39,69.2,29,82.8,22,22.7,0.5,0.4,0.5,4,1,1,2023-2024,laliga
marcao,Sevilla,176,88.4,67,97.0,105,91.4,20,70.0,0.2,0.1,-0.2,17,0,0,2023-2024,laliga
oscar de marcos,Athletic Club,1243,79.4,708,89.5,593,80.4,183,56.3,3.1,3.4,1.9,131,37,26,2023-2024,laliga
alberto mari,Valencia,38,62.3,30,73.3,16,68.8,2,100.0,0.9,0.9,0.1,3,1,0,2023-2024,laliga
jose mari,Cádiz,16,76.2,5,100.0,9,88.9,4,50.0,0.0,0.0,0.0,4,0,0,2023-2024,laliga
jose maria gimenez,Atlético Madrid,562,86.1,188,89.9,333,92.5,116,69.0,0.1,0.1,-0.1,27,0,0,2023-2024,laliga
mariano,Sevilla,37,69.8,26,73.1,14,71.4,8,62.5,0.1,0.1,-0.1,2,1,1,2023-2024,laliga
rafa marin,Alavés,846,82.5,291,89.0,506,89.7,211,60.2,0.3,0.4,-0.3,71,2,0,2023-2024,laliga
diego marino,Almería,23,85.2,11,100.0,10,100.0,6,33.3,0.0,0.0,0.0,1,0,0,2023-2024,laliga
mika marmol,Las Palmas,2282,88.2,1235,94.7,1048,92.5,218,44.0,1.0,1.1,0.0,147,5,2,2023-2024,laliga
unai marrero,Real Sociedad,28,62.2,6,83.3,13,100.0,26,38.5,0.0,0.1,0.0,2,0,0,2023-2024,laliga
roger marti,Cádiz,225,65.4,191,73.3,98,70.4,23,39.1,2.9,1.3,0.1,12,6,0,2023-2024,laliga
ivan martin,Girona,1487,91.3,873,94.4,592,93.2,76,81.6,3.4,3.3,0.6,104,17,1,2023-2024,laliga
jon martin,Real Sociedad,5,71.4,2,50.0,3,100.0,2,50.0,0.0,0.0,0.0,0,0,0,2023-2024,laliga
mario martin,Real Madrid,12,80.0,5,100.0,9,66.7,0,,0.0,0.0,0.0,1,0,0,2023-2024,laliga
arnau martinez,Girona,751,90.0,384,94.3,366,93.4,49,55.1,1.4,1.5,0.6,62,9,4,2023-2024,laliga
inigo martinez,Barcelona,1001,88.4,432,93.3,496,93.5,173,68.2,0.0,0.5,0.0,99,5,1,2023-2024,laliga
marc martinez,Granada,75,76.5,19,100.0,32,96.9,47,53.2,0.0,0.0,0.0,1,0,0,2023-2024,laliga
marvin,Las Palmas,557,72.0,378,83.6,266,76.3,52,32.7,2.5,2.0,-0.5,16,13,6,2023-2024,laliga
omar mascarell,Mallorca,638,81.9,310,87.7,317,88.0,120,65.8,0.0,0.2,0.0,64,6,0,2023-2024,laliga
jaime mata,Getafe,340,65.3,281,77.9,142,62.0,39,35.9,1.5,1.6,-0.5,12,11,6,2023-2024,laliga
luis maximiano,Almería,833,65.8,144,100.0,434,97.7,681,38.9,0.0,0.0,0.0,11,0,0,2023-2024,laliga
borja mayoral,Getafe,422,75.6,252,85.7,166,74.7,63,76.2,1.4,1.3,-0.4,48,7,2,2023-2024,laliga
mamadou mbaye,Cádiz,47,56.0,21,71.4,29,69.0,28,35.7,0.0,0.0,0.0,3,0,0,2023-2024,laliga
hannibal mejbri,Sevilla,41,82.0,29,93.1,16,81.3,4,25.0,0.5,0.2,-0.5,4,3,0,2023-2024,laliga
oscar melendo,Granada,328,80.2,180,88.9,156,82.1,41,65.9,0.5,1.0,-0.5,34,10,0,2023-2024,laliga
gonzalo melero,Almería,381,81.9,245,85.7,164,87.2,26,65.4,1.2,0.9,-0.2,44,7,0,2023-2024,laliga
memphis,Atlético Madrid,195,73.9,149,81.2,60,81.7,25,64.0,1.8,1.6,-0.8,20,9,2,2023-2024,laliga
houboulang mendes,Almería,129,72.9,69,89.9,75,72.0,22,45.5,0.0,0.0,0.0,12,1,1,2023-2024,laliga
tomas mendes,Alavés,4,66.7,2,50.0,3,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,laliga
brais mendez,Real Sociedad,942,75.7,609,84.1,357,85.2,181,45.9,4.2,4.4,1.8,109,30,5,2023-2024,laliga
bruno mendez,Granada,452,71.1,195,84.1,283,77.7,120,45.8,0.1,0.2,-0.1,45,5,2,2023-2024,laliga
diego mendez,Rayo Vallecano,2,100.0,1,100.0,1,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,laliga
ferland mendy,Real Madrid,1201,94.2,781,97.2,383,93.0,50,82.0,0.9,0.7,-0.9,63,10,1,2023-2024,laliga
jorge mere,Cádiz,166,71.2,54,83.3,106,86.8,66,42.4,0.0,0.0,0.0,15,1,0,2023-2024,laliga
