Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
grejohn kyei,Clermont Foot,376,71.3,277,76.5,152,73.7,34,70.6,1.6,1.5,1.4,31,11,2,2022-2023,ligue1
remy labeau lascary,Lens,23,79.3,14,78.6,9,77.8,3,100.0,0.0,0.0,0.0,1,1,0,2022-2023,ligue1
gaetan laborde,Nice,471,66.0,380,76.8,200,66.0,69,34.8,5.8,6.0,-2.8,25,28,7,2022-2023,ligue1
gaetan laborde,Rennes,41,67.2,35,71.4,17,70.6,5,40.0,0.2,0.2,-0.2,3,2,1,2022-2023,ligue1
alexandre lacazette,Lyon,661,72.1,457,77.0,269,76.2,68,54.4,5.4,5.6,-0.4,59,48,1,2022-2023,ligue1
qazim laci,Ajaccio,111,78.2,55,80.0,50,86.0,31,67.7,0.2,0.4,-0.2,18,1,0,2022-2023,ligue1
alban lafont,Nantes,835,70.1,119,99.2,395,97.7,672,49.0,0.1,0.1,-0.1,16,1,0,2022-2023,ligue1
kenny lala,Brest,660,75.5,289,84.1,364,81.3,190,60.5,2.0,2.3,0.0,46,17,9,2022-2023,ligue1
mohamed lamine bayo,Lille,81,62.8,74,66.2,29,58.6,3,100.0,1.8,1.9,-0.8,5,1,0,2022-2023,ligue1
julien laporte,Lorient,681,85.2,213,92.0,406,92.9,156,61.5,0.0,0.1,0.0,52,1,0,2022-2023,ligue1
yasser larouci,Troyes,621,75.4,390,84.1,325,76.6,64,37.5,1.6,1.3,-0.6,40,17,8,2022-2023,ligue1
armand lauriente,Lorient,73,76.8,33,84.8,38,86.8,11,45.5,1.1,0.8,-1.1,6,5,0,2022-2023,ligue1
theo le bris,Lorient,491,80.4,358,84.9,187,85.6,24,41.7,1.2,1.7,0.8,26,11,2,2022-2023,ligue1
julien le cardinal,Lens,90,74.4,52,80.8,48,75.0,14,64.3,0.6,0.4,-0.6,8,4,3,2022-2023,ligue1
jeremy le douaron,Brest,264,67.7,208,76.4,118,66.1,19,52.6,1.7,1.1,1.3,18,14,4,2022-2023,ligue1
enzo le fee,Lorient,1708,80.6,868,89.1,777,83.0,307,59.9,6.8,4.7,-0.8,170,37,5,2022-2023,ligue1
vincent le goff,Lorient,1702,83.3,967,89.7,791,87.2,189,49.2,0.7,1.7,-0.7,135,28,9,2022-2023,ligue1
maxime le marchand,Strasbourg,958,79.3,412,88.3,527,87.5,231,48.1,0.3,0.5,-0.3,85,9,3,2022-2023,ligue1
paolo lebas,Ajaccio,12,75.0,10,60.0,6,100.0,0,,0.0,0.0,0.0,2,0,0,2022-2023,ligue1
jeanlouis leca,Lens,32,82.1,11,90.9,8,100.0,20,70.0,0.0,0.0,0.0,1,0,0,2022-2023,ligue1
benjamin lecomte,Montpellier,411,63.9,53,100.0,177,96.6,409,45.5,0.1,0.0,-0.1,3,0,0,2022-2023,ligue1
pierre leesmelou,Brest,1198,82.0,520,87.5,551,87.5,322,68.9,2.3,2.4,2.7,150,14,5,2022-2023,ligue1
felix lemarechal,Brest,89,78.8,56,87.5,43,74.4,12,58.3,0.5,0.4,-0.5,6,4,1,2022-2023,ligue1
mario lemina,Nice,569,89.3,268,94.4,265,95.1,75,56.0,0.1,0.2,-0.1,44,3,0,2022-2023,ligue1
donovan leon,Auxerre,38,48.1,4,100.0,10,100.0,64,35.9,0.0,0.0,0.0,5,0,0,2022-2023,ligue1
johann lepenant,Lyon,1163,89.4,570,88.4,554,94.6,103,87.4,1.2,1.3,0.8,115,6,1,2022-2023,ligue1
benjamin leroy,Ajaccio,533,60.9,60,100.0,215,98.1,593,44.0,0.0,0.1,0.0,22,0,0,2022-2023,ligue1
leo leroy,Montpellier,387,74.3,263,76.8,149,82.6,60,58.3,0.9,1.1,-0.9,34,10,2,2022-2023,ligue1
alexandre letellier,Paris S-G,4,100.0,2,100.0,2,100.0,0,,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
ruan levine,Ajaccio,13,92.9,5,100.0,7,100.0,0,,0.1,0.0,-0.1,1,0,0,2022-2023,ligue1
dimitri lienard,Strasbourg,728,74.1,347,86.2,372,80.4,224,47.3,1.9,2.5,-1.9,49,25,9,2022-2023,ligue1
mateusz lis,Troyes,213,67.8,51,98.0,96,95.8,161,41.0,0.0,0.0,0.0,5,0,0,2022-2023,ligue1
bradley locko,Reims,362,77.0,229,86.9,177,72.9,38,55.3,0.5,0.5,-0.5,44,7,3,2022-2023,ligue1
bradley locko,Brest,99,78.0,46,91.3,58,74.1,19,57.9,0.2,0.2,-0.2,8,3,3,2022-2023,ligue1
anthony lopes,Lyon,792,77.2,173,100.0,396,99.0,447,49.9,0.0,0.0,0.0,9,0,0,2022-2023,ligue1
rony lopes,Troyes,603,69.2,358,79.9,287,73.5,157,48.4,4.9,4.1,0.1,68,29,10,2022-2023,ligue1
pau lopez,Marseille,877,78.6,145,98.6,468,98.5,495,54.3,0.4,0.3,1.6,17,1,0,2022-2023,ligue1
dion lopy,Reims,627,84.6,274,83.6,318,87.7,118,82.2,1.6,0.7,-0.6,82,4,0,2022-2023,ligue1
jordan lotomba,Nice,1183,83.8,775,90.3,484,84.3,69,55.1,0.9,1.4,1.1,70,22,10,2022-2023,ligue1
dejan lovren,Lyon,961,87.7,355,90.7,560,93.2,161,67.7,0.5,0.4,-0.5,65,0,0,2022-2023,ligue1
jean lucas,Monaco,134,87.0,67,89.6,59,91.5,22,77.3,0.2,0.2,-0.2,19,1,0,2022-2023,ligue1
castello lukeba,Lyon,2034,90.1,812,93.7,1182,93.9,207,66.7,0.3,0.8,-0.3,133,5,0,2022-2023,ligue1
youssouf mchangama,Auxerre,384,78.5,207,84.5,170,88.2,82,48.8,0.9,1.2,-0.9,35,8,3,2022-2023,ligue1
deiver machado,Lens,719,82.2,429,86.5,311,86.2,85,58.8,2.8,2.6,0.2,33,21,13,2022-2023,ligue1
soungoutou magassa,Monaco,27,79.4,15,80.0,8,100.0,9,66.7,0.0,0.0,0.0,3,0,0,2022-2023,ligue1
hugo magnetti,Brest,634,83.2,313,85.6,311,89.4,101,68.3,0.6,0.8,1.4,64,8,4,2022-2023,ligue1
yohann magnin,Clermont Foot,1121,83.8,577,87.9,531,87.2,141,66.0,2.3,1.8,-2.3,88,9,2,2022-2023,ligue1
lovro majer,Rennes,758,77.7,387,81.7,388,86.1,130,57.7,4.4,4.5,0.6,90,36,9,2022-2023,ligue1
jeanvictor makengo,Lorient,475,88.0,288,90.6,185,90.8,28,67.9,0.5,0.7,-0.5,33,3,0,2022-2023,ligue1
beni makouana,Montpellier,15,39.5,20,50.0,10,20.0,0,,0.0,0.0,0.0,0,1,0,2022-2023,ligue1
ruslan malinovskyi,Marseille,411,75.7,247,81.4,191,81.2,63,60.3,2.4,2.1,-1.4,53,18,5,2022-2023,ligue1
hianga mananga mbock,Brest,8,80.0,3,100.0,6,66.7,1,100.0,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
steve mandanda,Rennes,919,75.6,158,98.7,478,97.9,573,50.8,0.1,0.0,0.9,15,0,0,2022-2023,ligue1
thomas mangani,Ajaccio,634,69.7,294,76.2,355,76.3,222,54.1,1.9,2.1,-0.9,78,12,4,2022-2023,ligue1
vito mannone,Lorient,444,76.2,95,98.9,255,98.8,232,41.8,0.0,0.0,0.0,2,0,0,2022-2023,ligue1
myziane maolida,Reims,75,72.1,61,75.4,28,71.4,7,57.1,0.4,0.3,-0.4,6,6,0,2022-2023,ligue1
faitout maouassa,Montpellier,436,67.0,309,79.6,177,74.0,109,39.4,2.2,1.9,2.8,30,13,8,2022-2023,ligue1
vincent marchetti,Ajaccio,837,79.2,454,84.4,381,83.5,136,64.0,1.6,2.0,0.4,107,24,0,2022-2023,ligue1
guillermo maripan,Monaco,1015,87.3,293,90.1,655,91.6,180,75.0,0.1,0.3,-0.1,62,2,0,2022-2023,ligue1
marquinhos,Paris S-G,2068,95.1,864,96.6,1077,97.0,164,82.9,0.5,1.3,-0.5,104,3,0,2022-2023,ligue1
jonas martin,Lille,193,84.3,117,84.6,73,84.9,30,80.0,0.1,0.3,-0.1,19,2,0,2022-2023,ligue1
gelson martins,Monaco,121,78.1,86,86.0,49,79.6,8,37.5,0.3,0.4,-0.3,8,9,0,2022-2023,ligue1
hannoah massengo,Auxerre,385,85.0,187,88.2,188,89.4,43,83.7,0.6,1.1,-0.6,43,12,2,2022-2023,ligue1
