Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
ibrahim sulemana,Atalanta,159,88.3,66,89.4,91,93.4,15,86.7,0.0,0.1,0.0,18,1,0,2024-2025,serie-a
tomas suslov,Hellas Verona,387,73.2,198,85.4,181,80.7,111,56.8,1.9,1.7,-0.9,40,22,2,2024-2025,serie-a
zion suzuki,Parma,1008,67.4,172,98.8,520,98.5,797,40.3,0.0,0.1,0.0,47,1,0,2024-2025,serie-a
marin sverko,Venezia,495,82.2,226,90.7,282,85.8,71,56.3,0.3,0.3,-0.3,39,5,0,2024-2025,serie-a
mile svilar,Roma,1151,78.9,196,100.0,649,99.7,612,50.2,0.0,0.0,0.0,15,0,0,2024-2025,serie-a
michael svoboda,Venezia,703,84.8,286,90.6,443,89.4,79,51.9,0.6,1.2,-0.6,44,2,0,2024-2025,serie-a
adrien tameze,Torino,259,86.0,144,86.1,121,92.6,19,73.7,0.8,0.7,-0.8,10,6,1,2024-2025,serie-a
mehdi taremi,Inter,185,80.1,120,90.0,74,82.4,3,66.7,1.6,1.1,0.4,12,5,0,2024-2025,serie-a
nuno tavares,Lazio,820,78.7,502,89.4,366,79.2,124,49.2,4.8,4.9,3.2,69,44,23,2024-2025,serie-a
loum tchaouna,Lazio,172,69.6,122,83.6,76,69.7,29,37.9,0.6,0.7,-0.6,9,8,1,2024-2025,serie-a
jackson tchatchoua,Hellas Verona,837,74.3,570,87.0,373,76.7,117,32.5,2.8,3.0,0.2,39,29,18,2024-2025,serie-a
casper tengstedt,Hellas Verona,201,67.4,139,78.4,92,68.5,30,46.7,0.9,1.1,0.1,11,8,1,2024-2025,serie-a
filippo terracciano,Milan,226,87.9,111,91.0,123,91.1,16,62.5,0.1,0.1,-0.1,21,1,1,2024-2025,serie-a
