Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
sofiane diop,Nice,9,2,44,94,62.5,2022-2023,ligue-1
sofiane diop,Monaco,0,1,7,4,100.0,2022-2023,ligue-1
yehvann diouf,Reims,0,0,0,49,92.9,2022-2023,ligue-1
axel disasi,Monaco,31,0,14,236,70.3,2022-2023,ligue-1
tiago djalo,Lille,19,1,3,167,47.5,2022-2023,ligue-1
alexander djiku,Strasbourg,39,2,6,162,72.4,2022-2023,ligue-1
moussa djitte,Ajaccio,4,0,0,5,45.5,2022-2023,ligue-1
ouparine djoco,Clermont Foot,0,0,0,2,,2022-2023,ligue-1
alan do marcolino,Rennes,1,0,0,0,,2022-2023,ligue-1
jeremy doku,Rennes,16,0,24,89,23.1,2022-2023,ligue-1
kyliane dong,Troyes,1,3,6,5,0.0,2022-2023,ligue-1
jordan dongmo,Troyes,0,0,0,0,0.0,2022-2023,ligue-1
gianluigi donnarumma,Paris S-G,1,0,0,44,87.5,2022-2023,ligue-1
jodel dossou,Clermont Foot,3,3,10,7,20.0,2022-2023,ligue-1
lohann doucet,Nantes,2,0,0,11,0.0,2022-2023,ligue-1
sirine doucoure,Lorient,8,0,0,5,45.5,2022-2023,ligue-1
desire doue,Rennes,37,4,30,64,43.5,2022-2023,ligue-1
guela doue,Rennes,0,0,0,0,100.0,2022-2023,ligue-1
ismael doukoure,Strasbourg,30,0,11,148,43.9,2022-2023,ligue-1
kamory doumbia,Reims,15,0,9,83,24.1,2022-2023,ligue-1
souleyman doumbia,Angers,27,3,48,118,56.3,2022-2023,ligue-1
remy dugimont,Auxerre,5,2,0,11,43.8,2022-2023,ligue-1
maxime dupe,Toulouse,1,0,0,27,100.0,2022-2023,ligue-1
jeankevin duverne,Brest,39,4,85,159,60.0,2022-2023,ligue-1
hugo ekitike,Paris S-G,15,7,2,42,40.0,2022-2023,ligue-1
alberth elis,Brest,8,1,2,17,20.0,2022-2023,ligue-1
breel embolo,Monaco,50,14,4,59,41.3,2022-2023,ligue-1
maxime esteve,Montpellier,18,0,1,96,54.4,2022-2023,ligue-1
fabio,Nantes,3,0,6,12,57.1,2022-2023,ligue-1
noah fadiga,Brest,22,1,10,80,50.0,2022-2023,ligue-1
wout faes,Reims,2,0,0,15,40.0,2022-2023,ligue-1
romain faivre,Lorient,12,1,26,62,0.0,2022-2023,ligue-1
romain faivre,Lyon,7,0,17,16,66.7,2022-2023,ligue-1
fallou fall,Reims,1,0,0,1,,2022-2023,ligue-1
khalil fayad,Montpellier,17,0,10,47,17.6,2022-2023,ligue-1
cheikh faye,Montpellier,0,0,0,1,100.0,2022-2023,ligue-1
jordan ferri,Montpellier,47,1,30,278,40.5,2022-2023,ligue-1
