id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
13887,Jobe Bellingham,10,317,0,0.10113649815320969,0,0.18379279971122742,1,2,0,0,M S,Borussia Dortmund,0,0.10113649815320969,1.8926759883761406,1.7204932570457458
13907,Joël Schmied,10,735,0,0.08820877969264984,0,0.14580537378787994,2,2,4,0,D S,FC Cologne,0,0.08820877969264984,1.9902366548776627,1.8930764738470316
13908,Sebastian Sebulonsen,10,737,0,0.6844565011560917,0,1.4809485748410225,12,9,3,0,D S,FC Cologne,0,0.6844565011560917,3.202473234385252,1.384552387520671
13909,Kristoffer Lund,9,650,0,0.1894812397658825,0,0.13602473214268684,8,4,1,0,D M S,FC Cologne,0,0.1894812397658825,2.464709609746933,2.2706433832645416
13912,Jusuf Gazibegovic,1,17,0,0,0,0,0,0,0,0,S,FC Cologne,0,0,0.04475236311554909,0.04475236311554909
13913,Rav van den Berg,2,163,0,0,0,0,0,0,0,0,D,FC Cologne,0,0,0.9051594287157059,0.9051594287157059
13920,Daniel Elfadli,9,744,0,0.09667765721678734,0,0.17046347633004189,2,2,2,0,D S,Hamburger SV,0,0.09667765721678734,1.3284156173467636,1.2317379713058472
13921,Giorgi Gocholeishvili,7,515,0,0.6583385849371552,0,0.242953322827816,7,5,0,1,D S,Hamburger SV,0,0.6583385849371552,2.2607618421316147,1.5456936173141003
13922,Miro Muheim,10,894,0,0.6732544554397464,2,1.314430121332407,10,15,2,0,D,Hamburger SV,0,0.6732544554397464,2.0390085466206074,1.6518744248896837
13923,Nicolás Capaldo,8,581,0,0.08663018327206373,1,0.8037348613142967,3,4,2,0,D M S,Hamburger SV,0,0.08663018327206373,1.4352619796991348,0.6191435158252716
13924,Emir Sahiti,2,124,0,0,0,0.013570391573011875,0,1,0,0,F,Hamburger SV,0,0,0.013570391573011875,0
13926,Alexander Røssing-Lelesiit,6,197,0,0.029598575085401535,0,0.37468603253364563,1,1,0,0,F M S,Hamburger SV,0,0.029598575085401535,0.4399360902607441,0.03565148264169693
13927,Aboubaka Soumahoro,1,52,0,0,0,0,0,0,1,0,D,Hamburger SV,0,0,0,0
13928,Otto Stange,1,14,0,0,0,0,0,0,0,0,S,Hamburger SV,0,0,0,0
13966,Martijn Kaars,9,430,0,1.175318967550993,0,0.16241102386265993,8,4,0,0,F S,St. Pauli,0,1.175318967550993,1.9024338917806745,0.5647039227187634
13972,Andrija Maksimovic,3,20,0,0,0,0.12830227613449097,0,1,0,0,S,RasenBallsport Leipzig,0,0,0.12830227613449097,0.12830227613449097
13981,Aiman Dardari,2,12,0,0,0,0,0,0,1,0,S,Augsburg,0,0,0,0
13995,Sota Kawasaki,2,15,0,0.04572444409132004,0,0,1,0,0,0,S,Mainz 05,0,0.04572444409132004,0.04572444409132004,0
14008,Ezequiél Fernández,5,300,0,0.07284758985042572,0,0.3934779465198517,3,2,1,1,M S,Bayer Leverkusen,0,0.07284758985042572,3.2099568340927362,3.1800291035324335
14022,William Bøving,2,70,0,0.01329879555851221,0,0,1,0,1,0,M S,Mainz 05,0,0.01329879555851221,0.32251981645822525,0.32251981645822525
14023,Conrad Harder,8,77,0,0.24289798736572266,0,0.4365616552531719,6,3,1,0,S,RasenBallsport Leipzig,0,0.24289798736572266,0.8010297119617462,0.12157007306814194
14025,Alessio Castro-Montes,2,31,0,0,0,0.014591412618756294,0,1,0,0,S,FC Cologne,0,0,0.7566268593072891,0.7420354634523392
14036,Fabio Baldé,6,55,0,0.2269495204091072,0,0,2,0,0,0,S,Hamburger SV,0,0.2269495204091072,0.27766119688749313,0.20715300180017948
14058,Cameron Puertas,8,439,0,0.5245083086192608,0,0.4265039563179016,11,2,3,0,M S,Werder Bremen,0,0.5245083086192608,2.5916829723864794,1.730236740782857
14096,Tobias Weigel,1,1,0,0,0,0,0,0,0,0,S,FC Heidenheim,0,0,0.03532744571566582,0.03532744571566582
14121,Jan Urbich,3,28,0,0,0,0.027196358889341354,0,1,0,0,S,Borussia M.Gladbach,0,0,0.13196995854377747,0.10477359592914581
