Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,Touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
marco bizot,brest,Ligue-1,2024-2025,1197,7,0,0,1204,0,,0,,1538,0,0,2,0
ludovic blas,rennes,Ligue-1,2024-2025,134,535,612,105,1262,116,0.379,67,0.578,2376,46,31,71,46
augustine boakye,saintetienne,Ligue-1,2024-2025,32,130,191,29,349,24,0.542,10,0.41700000000000004,579,20,9,18,25
matheo bodmer,le havre,Ligue-1,2024-2025,1,2,0,0,3,0,,0,,0,0,0,0,0
jeremie boga,nice,Ligue-1,2024-2025,65,204,268,57,529,64,0.391,32,0.5,1837,37,24,18,17
moise bombito,nice,Ligue-1,2024-2025,767,855,63,9,1673,17,0.706,4,0.235,2693,10,1,16,3
saimon bouabre,monaco,Ligue-1,2024-2025,7,18,11,1,36,2,0.0,1,0.5,69,3,1,2,2
ayyoub bouaddi,lille,Ligue-1,2024-2025,149,378,181,14,703,29,0.483,14,0.483,682,9,3,34,15
badredine bouanani,nice,Ligue-1,2024-2025,53,228,299,43,570,36,0.389,19,0.528,1372,33,15,24,18
benjamin bouchouari,saintetienne,Ligue-1,2024-2025,219,644,386,14,1233,53,0.509,24,0.45299999999999996,1970,23,6,34,26
hicham boudaoui,nice,Ligue-1,2024-2025,312,806,377,45,1467,65,0.385,34,0.523,2308,45,7,38,26
justin bourgault,brest,Ligue-1,2024-2025,25,38,20,1,83,0,,0,,84,3,0,1,1
benjamin bourigeaud,rennes,Ligue-1,2024-2025,9,24,25,2,57,1,1.0,0,0.0,44,2,0,1,1
bilal brahimi,nice,Ligue-1,2024-2025,7,23,19,0,49,2,0.0,2,1.0,112,3,0,0,3
lilian brassier,marseille,Ligue-1,2024-2025,303,382,48,11,732,9,0.111,6,0.667,1109,8,0,9,4
lilian brassier,rennes,Ligue-1,2024-2025,440,529,99,16,1058,4,0.5,0,0.0,1812,17,1,6,1
anthony briancon,saintetienne,Ligue-1,2024-2025,0,0,0,0,0,0,,0,,0,0,0,0,0
aurelio buta,reims,Ligue-1,2024-2025,348,559,299,14,1195,22,0.409,11,0.5,1237,21,4,28,7
marcin buka,nice,Ligue-1,2024-2025,1187,9,1,1,1196,1,0.0,1,1.0,2185,0,0,2,0
remy cabella,lille,Ligue-1,2024-2025,75,357,483,51,900,38,0.5,18,0.474,1530,35,12,16,10
mathieu cafaro,saintetienne,Ligue-1,2024-2025,61,112,153,27,324,17,0.41200000000000003,9,0.529,529,8,7,16,10
duje caletacar,lyon,Ligue-1,2024-2025,601,546,34,21,1178,2,0.5,1,0.5,1409,1,0,7,2
issiaga camara,nice,Ligue-1,2024-2025,4,19,2,0,23,1,0.0,1,1.0,28,0,0,1,0
lamine camara,monaco,Ligue-1,2024-2025,258,1086,413,16,1743,25,0.48,8,0.32,1914,29,3,41,23
mahdi camara,brest,Ligue-1,2024-2025,268,841,441,78,1530,65,0.446,28,0.431,2478,40,14,38,28
ousmane camara,angers,Ligue-1,2024-2025,81,43,2,2,126,0,,0,,196,0,0,1,1
axel camblan,brest,Ligue-1,2024-2025,0,3,7,3,10,0,,0,,50,0,2,0,0
jaydee canvot,toulouse,Ligue-1,2024-2025,276,322,72,8,666,10,0.7,3,0.3,928,5,1,6,8
pierrick capelle,angers,Ligue-1,2024-2025,47,186,73,7,299,13,0.615,5,0.385,331,4,0,15,6
gabin capuano,lens,Ligue-1,2024-2025,0,2,2,0,4,0,,0,,1,0,0,1,0
maxence caqueret,lyon,Ligue-1,2024-2025,66,241,116,11,419,18,0.389,9,0.5,537,10,2,15,10
simon cara,montpellier,Ligue-1,2024-2025,0,2,5,1,7,1,0.0,1,1.0,5,0,0,0,0
valentin carboni,marseille,Ligue-1,2024-2025,6,35,40,2,81,3,0.0,3,1.0,100,4,0,2,0
irvin cardona,saintetienne,Ligue-1,2024-2025,48,161,292,53,496,22,0.273,14,0.636,693,21,10,38,12
patrik carlgren,nantes,Ligue-1,2024-2025,144,0,0,0,144,0,,0,,319,0,0,0,0
josue casimir,le havre,Ligue-1,2024-2025,161,301,370,76,814,48,0.45799999999999996,20,0.41700000000000004,1680,33,28,47,30
cristian casseres jr,toulouse,Ligue-1,2024-2025,442,990,330,18,1727,38,0.579,13,0.342,1955,27,4,39,12
jeancharles castelletto,nantes,Ligue-1,2024-2025,763,824,99,21,1682,3,1.0,0,0.0,2020,14,2,16,4
enzo caumont,angers,Ligue-1,2024-2025,7,6,7,0,20,0,,0,,24,0,0,0,0
