Player,Squad,Liga,Season,Fls,Off,Crosses,Recov,Aerialwon%
david lopez,girona,La-Liga,2024-2025,12,1,3,95,0.508
diego lopez,valencia,La-Liga,2024-2025,21,13,67,105,0.203
fer lopez,celta vigo,La-Liga,2024-2025,13,2,2,25,0.182
fermin lopez,barcelona,La-Liga,2024-2025,27,5,47,66,0.33299999999999996
javi lopez,real sociedad,La-Liga,2024-2025,30,1,60,92,0.345
pau lopez,girona,La-Liga,2024-2025,0,0,0,1,
roberto lopez,leganes,La-Liga,2024-2025,1,0,24,28,0.16699999999999998
unai lopez,rayo vallecano,La-Liga,2024-2025,18,1,33,117,0.35700000000000004
iker losada,celta vigo,La-Liga,2024-2025,3,0,5,8,0.222
iker losada,betis,La-Liga,2024-2025,1,0,4,19,0.429
pol lozano,espanyol,La-Liga,2024-2025,56,0,19,86,0.385
jose luis gaya,valencia,La-Liga,2024-2025,28,3,84,93,0.47600000000000003
dodi lukebakio,sevilla,La-Liga,2024-2025,39,27,124,120,0.462
daniel luna,mallorca,La-Liga,2024-2025,0,0,3,2,
andriy lunin,real madrid,La-Liga,2024-2025,0,0,0,14,1.0
darwin machis,valladolid,La-Liga,2024-2025,4,2,68,34,0.75
pablo maffeo,mallorca,La-Liga,2024-2025,22,1,96,107,0.5379999999999999
jon magunazelaia,real sociedad,La-Liga,2024-2025,1,0,0,5,1.0
giorgi mamardashvili,valencia,La-Liga,2024-2025,1,0,0,29,0.667
reinildo mandava,atletico madrid,La-Liga,2024-2025,19,1,8,52,0.41700000000000004
javier manquillo,celta vigo,La-Liga,2024-2025,9,0,3,18,0.385
marcao,sevilla,La-Liga,2024-2025,9,0,0,27,0.737
oscar de marcos,athletic club,La-Liga,2024-2025,16,1,55,89,0.4
alberto mari,valencia,La-Liga,2024-2025,1,0,0,0,
jose maria gimenez,atletico madrid,La-Liga,2024-2025,13,0,0,78,0.507
arkaitz mariezkurrena,real sociedad,La-Liga,2024-2025,13,0,5,10,0.5710000000000001
pablo marin,real sociedad,La-Liga,2024-2025,19,0,12,62,0.409
mika marmol,las palmas,La-Liga,2024-2025,33,3,57,78,0.5710000000000001
mario maroto,valladolid,La-Liga,2024-2025,2,0,2,2,0.5
unai marrero,real sociedad,La-Liga,2024-2025,0,0,0,1,
carlos martin,alaves,La-Liga,2024-2025,32,6,24,55,0.441
diego martin,las palmas,La-Liga,2024-2025,0,0,4,1,0.0
gerard martin,barcelona,La-Liga,2024-2025,14,0,36,42,0.7
ivan martin,girona,La-Liga,2024-2025,21,4,21,110,0.182
jon martin,real sociedad,La-Liga,2024-2025,20,0,0,22,0.855
mario martin,valladolid,La-Liga,2024-2025,50,1,11,83,0.47700000000000004
arnau martinez,girona,La-Liga,2024-2025,20,2,58,125,0.569
inigo martinez,barcelona,La-Liga,2024-2025,18,0,8,126,0.637
javi martinez,osasuna,La-Liga,2024-2025,0,0,0,0,
ramon martinez,sevilla,La-Liga,2024-2025,1,0,0,5,0.7
toni martinez,alaves,La-Liga,2024-2025,17,8,7,30,0.537
javi marton,athletic club,La-Liga,2024-2025,1,1,0,2,0.667
marvin,las palmas,La-Liga,2024-2025,20,0,52,53,0.37
omar mascarell,mallorca,La-Liga,2024-2025,30,0,5,90,0.638
jaime mata,las palmas,La-Liga,2024-2025,20,12,9,18,0.46399999999999997
borja mayoral,getafe,La-Liga,2024-2025,9,12,9,36,0.293
kylian mbappe,real madrid,La-Liga,2024-2025,25,44,35,36,0.4
oliver mcburnie,las palmas,La-Liga,2024-2025,32,9,2,40,0.483
scott mckenna,las palmas,La-Liga,2024-2025,13,1,2,69,0.659
mateo mejia,sevilla,La-Liga,2024-2025,0,0,0,0,1.0
arthur melo,girona,La-Liga,2024-2025,16,0,7,49,0.0
brais mendez,real sociedad,La-Liga,2024-2025,41,9,52,76,0.4
ferland mendy,real madrid,La-Liga,2024-2025,5,0,1,36,0.667
nobel mendy,betis,La-Liga,2024-2025,1,0,0,7,1.0
victor meseguer,valladolid,La-Liga,2024-2025,8,0,3,25,0.556
miguel,leganes,La-Liga,2024-2025,23,12,9,27,0.23199999999999998
eder militao,real madrid,La-Liga,2024-2025,18,0,2,44,0.636
luis milla,getafe,La-Liga,2024-2025,38,0,201,168,0.47
pere milla,espanyol,La-Liga,2024-2025,5,2,14,25,0.579
oscar mingueza,celta vigo,La-Liga,2024-2025,24,2,139,138,0.5
kim minsu,girona,La-Liga,2024-2025,0,0,0,1,0.0
bojan miovski,girona,La-Liga,2024-2025,13,8,3,13,0.371
rafa mir,valencia,La-Liga,2024-2025,13,5,7,18,0.364
luka modric,real madrid,La-Liga,2024-2025,23,2,112,105,0.316
johan mojica,mallorca,La-Liga,2024-2025,18,0,143,181,0.33299999999999996
