Player,Squad,Liga,Season,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR
roger hinojo,espanyol,La-Liga,2024-2025,2005,1,0,9,0,0,0,0,1,0,2
dinko horkas,las palmas,La-Liga,2024-2025,1999,13,11,1085,0,0,1,0,0,2,0
pablo ibanez,osasuna,La-Liga,2024-2025,1998,28,13,1294,1,1,4,0,21,51,31
stanis idumbo,sevilla,La-Liga,2024-2025,2005,14,3,284,1,1,0,0,10,8,20
iglesias,getafe,La-Liga,2024-2025,1998,37,32,2888,0,1,4,0,32,84,67
borja iglesias,celta vigo,La-Liga,2024-2025,1993,37,24,1952,11,3,2,0,22,28,108
kelechi iheanacho,sevilla,La-Liga,2024-2025,1996,9,5,400,0,0,0,0,6,5,17
isco,betis,La-Liga,2024-2025,1992,22,17,1547,9,8,5,0,38,152,112
diego iturralde,sevilla,La-Liga,2024-2025,2003,1,1,37,0,0,0,0,0,0,1
ivan jaime pajuelo,valencia,La-Liga,2024-2025,2000,9,2,297,0,0,0,0,8,15,14
karl jakob hein,valladolid,La-Liga,2024-2025,2002,31,31,2790,0,0,0,0,0,0,0
adnan januzaj,las palmas,La-Liga,2024-2025,1995,18,5,598,2,1,5,0,24,41,58
mikel jauregizar,athletic club,La-Liga,2024-2025,2003,34,25,2244,2,1,4,1,14,118,31
john joe,getafe,La-Liga,2024-2025,2003,4,0,48,0,0,1,0,1,0,6
jofre,espanyol,La-Liga,2024-2025,2001,37,26,2165,3,3,5,0,65,48,156
frenkie de jong,barcelona,La-Liga,2024-2025,1997,26,9,1143,2,2,3,0,36,120,24
joan jordan,alaves,La-Liga,2024-2025,1994,25,15,1414,5,2,4,0,7,104,35
juanmi,getafe,La-Liga,2024-2025,1993,13,8,696,0,0,2,0,6,8,28
juanmi,betis,La-Liga,2024-2025,1993,11,2,244,0,0,2,0,4,4,18
juanpe,girona,La-Liga,2024-2025,1991,12,8,727,0,0,2,0,2,26,0
abdulai juma bah,valladolid,La-Liga,2024-2025,2006,12,10,864,0,0,1,0,0,13,1
luiz lucio reis junior,villarreal,La-Liga,2024-2025,2001,17,16,1458,0,0,2,0,0,0,0
vinicius junior,real madrid,La-Liga,2024-2025,2000,30,24,2253,11,8,8,1,169,85,256
stanko juric,valladolid,La-Liga,2024-2025,1996,26,19,1729,0,0,7,1,5,57,8
willy kambwala,villarreal,La-Liga,2024-2025,2004,19,12,1117,0,0,1,1,2,16,0
abdoulaye keita,getafe,La-Liga,2024-2025,2002,3,1,95,0,0,0,0,1,2,4
kenedy,valladolid,La-Liga,2024-2025,1996,2,0,9,0,0,0,0,1,0,2
kike,alaves,La-Liga,2024-2025,1989,35,29,2542,13,0,5,1,25,50,158
koke,atletico madrid,La-Liga,2024-2025,1992,32,20,1926,1,1,4,0,22,132,18
