Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
aridane hernandez,Rayo Vallecano,1989.0,14,11,1025,0,0,1,0,2,38,0,2024-2025,laliga
jorge herrando,Osasuna,2001.0,18,15,1366,1,0,3,0,7,38,1,2024-2025,laliga
ander herrera,Athletic Club,1989.0,8,2,273,0,0,2,0,2,16,5,2024-2025,laliga
sergio herrera,Osasuna,1993.0,37,37,3330,0,0,5,0,0,2,0,2024-2025,laliga
yangel herrera,Girona,1998.0,29,27,2257,4,3,10,1,31,110,99,2024-2025,laliga
juan herzog,Las Palmas,2003.0,19,15,1315,0,0,1,0,0,27,1,2024-2025,laliga
omar el hilali,Espanyol,2003.0,36,36,3153,0,2,11,0,35,84,61,2024-2025,laliga
roger hinojo,Espanyol,2005.0,1,0,9,0,0,0,0,1,0,2,2024-2025,laliga
dinko horkas,Las Palmas,1999.0,13,11,1085,0,0,1,0,0,2,0,2024-2025,laliga
pablo ibanez,Osasuna,1998.0,28,13,1294,1,1,4,0,21,51,31,2024-2025,laliga
stanis idumbo,Sevilla,2005.0,14,3,284,1,1,0,0,10,8,20,2024-2025,laliga
iglesias,Getafe,1998.0,37,32,2888,0,1,4,0,32,84,67,2024-2025,laliga
borja iglesias,Celta Vigo,1993.0,37,24,1952,11,3,2,0,22,28,108,2024-2025,laliga
kelechi iheanacho,Sevilla,1996.0,9,5,400,0,0,0,0,6,5,17,2024-2025,laliga
isco,Betis,1992.0,22,17,1547,9,8,5,0,38,152,112,2024-2025,laliga
diego iturralde,Sevilla,2003.0,1,1,37,0,0,0,0,0,0,1,2024-2025,laliga
ivan jaime pajuelo,Valencia,2000.0,9,2,297,0,0,0,0,8,15,14,2024-2025,laliga
karl jakob hein,Valladolid,2002.0,31,31,2790,0,0,0,0,0,0,0,2024-2025,laliga
adnan januzaj,Las Palmas,1995.0,18,5,598,2,1,5,0,24,41,58,2024-2025,laliga
mikel jauregizar,Athletic Club,2003.0,34,25,2244,2,1,4,1,14,118,31,2024-2025,laliga
john joe,Getafe,2003.0,4,0,48,0,0,1,0,1,0,6,2024-2025,laliga
jofre,Espanyol,2001.0,37,26,2165,3,3,5,0,65,48,156,2024-2025,laliga
frenkie de jong,Barcelona,1997.0,26,9,1143,2,2,3,0,36,120,24,2024-2025,laliga
joan jordan,Alavés,1994.0,25,15,1414,5,2,4,0,7,104,35,2024-2025,laliga
juanmi,Getafe,1993.0,13,8,696,0,0,2,0,6,8,28,2024-2025,laliga
juanmi,Betis,1993.0,11,2,244,0,0,2,0,4,4,18,2024-2025,laliga
juanpe,Girona,1991.0,12,8,727,0,0,2,0,2,26,0,2024-2025,laliga
