Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
jesse joronen,Venezia,223,73.8,100.0,96.5,39.8,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
luka jovic,Milan,115,81.6,85.7,84.3,75.0,1.4,1.0,-1.4,11,8,1,2024-2025,serie-a
mohamed kaba,Lecce,139,80.8,84.3,88.9,46.2,0.0,0.1,0.0,18,1,0,2024-2025,serie-a
christian kabasele,Udinese,481,85.3,91.7,89.4,68.6,0.4,0.5,-0.4,44,1,0,2024-2025,serie-a
pierre kalulu,Juventus,1932,93.1,95.3,95.7,72.2,0.5,0.8,-0.5,133,11,5,2024-2025,serie-a
hassane kamara,Udinese,780,75.7,89.4,81.9,47.4,2.7,2.3,1.3,48,28,22,2024-2025,serie-a
yann karamoh,Torino,189,67.0,78.4,72.2,50.0,0.9,1.0,0.1,8,9,1,2024-2025,serie-a
jesper karlsson,Bologna,72,75.0,79.2,87.1,25.0,0.1,0.1,-0.1,2,2,1,2024-2025,serie-a
jesper karlsson,Lecce,109,69.0,81.6,67.5,45.5,0.6,0.5,-0.6,7,9,4,2024-2025,serie-a
jesper karlstrom,Udinese,1331,83.2,90.3,87.9,57.4,1.1,1.4,1.9,139,21,4,2024-2025,serie-a
lior kasa,Genoa,62,86.1,93.3,82.1,75.0,0.1,0.1,-0.1,6,1,0,2024-2025,serie-a
grigoris kastanos,Hellas Verona,224,69.3,78.3,72.5,51.9,1.7,1.0,-0.7,30,7,1,2024-2025,serie-a
michael kayode,Fiorentina,43,63.2,84.0,71.4,18.2,0.2,0.0,-0.2,4,1,0,2024-2025,serie-a
moise kean,Fiorentina,228,69.9,79.5,67.3,82.4,1.9,1.1,1.1,15,10,1,2024-2025,serie-a
mandela keita,Parma,660,90.5,95.0,91.2,80.3,1.0,0.8,1.0,55,3,0,2024-2025,serie-a
lloyd kelly,Juventus,559,83.1,92.7,89.0,43.2,0.1,0.3,-0.1,54,2,0,2024-2025,serie-a
marcoliver kempf,Como,1498,87.2,92.6,93.4,57.1,1.2,1.2,-1.2,116,9,1,2024-2025,serie-a
kialonda,Lecce,801,86.5,91.7,91.5,71.8,0.4,0.7,0.6,29,0,0,2024-2025,serie-a
magnus kofod andersen,Venezia,247,79.9,87.4,90.4,45.0,0.5,0.6,0.5,18,3,0,2024-2025,serie-a
sead kolasinac,Atalanta,1115,87.5,93.4,88.4,59.7,1.8,1.5,0.2,105,12,2,2024-2025,serie-a
randal kolo muani,Juventus,151,69.9,77.5,71.4,40.0,1.6,0.8,-0.6,8,9,0,2024-2025,serie-a
ismael konate,Empoli,15,45.5,42.9,55.6,100.0,0.0,0.0,1.0,2,0,0,2024-2025,serie-a
manu kone,Roma,1160,91.1,91.7,94.5,86.5,1.7,1.6,-0.7,113,15,1,2024-2025,serie-a
teun koopmeiners,Juventus,761,79.9,90.4,86.9,41.9,2.9,3.8,0.1,63,18,3,2024-2025,serie-a
odilon kossounou,Atalanta,599,88.2,92.1,90.9,72.6,0.0,0.2,0.0,53,2,0,2024-2025,serie-a
christian kouame,Fiorentina,137,69.5,77.7,70.0,70.6,1.5,0.7,-0.5,10,4,1,2024-2025,serie-a
christian kouame,Empoli,93,60.8,63.9,55.3,85.7,0.7,0.6,-0.7,9,8,1,2024-2025,serie-a
viktor kovalenko,Empoli,26,70.3,71.4,82.4,33.3,0.0,0.0,0.0,4,0,0,2024-2025,serie-a
mateusz kowalski,Parma,8,66.7,62.5,66.7,,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
thomas kristensen,Udinese,757,79.9,85.6,85.4,63.9,0.3,0.6,-0.3,66,7,2,2024-2025,serie-a
nikola krstovic,Lecce,434,66.4,70.8,75.5,56.5,2.9,1.7,2.1,38,15,1,2024-2025,serie-a
khvicha kvaratskhelia,Napoli,352,76.4,88.2,81.7,54.7,3.7,3.0,-0.7,31,23,4,2024-2025,serie-a
giorgos kyriakopoulos,Monza,1055,74.8,89.4,80.0,36.9,3.3,2.6,0.7,75,25,15,2024-2025,serie-a
mathis lambourde,Hellas Verona,13,56.5,66.7,66.7,0.0,0.1,0.1,-0.1,0,0,0,2024-2025,serie-a
gianluca lapadula,Cagliari,38,60.3,75.0,50.0,0.0,0.1,0.2,-0.1,3,1,0,2024-2025,serie-a
valentino lazaro,Torino,880,75.1,87.2,79.8,42.3,3.3,3.4,2.7,57,23,15,2024-2025,serie-a
darko lazovic,Hellas Verona,315,62.4,79.3,63.4,33.3,3.4,1.8,-0.4,21,15,7,2024-2025,serie-a
manuel lazzari,Lazio,609,79.1,89.4,81.6,45.3,1.3,1.6,-0.3,36,22,14,2024-2025,serie-a
